Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.6e-05,18.575113,[13  1] ; [ 1 11],[7.53846154 6.46153846] ; [6.46153846 5.53846154],1
s7,1,0.000141,14.489677,[12  1] ; [ 2 10],[7.28 5.72] ; [6.72 5.28],1
s6,1,0.019935,5.417605,[11  3] ; [4 8],[8.07692308 5.92307692] ; [6.92307692 5.07692308],0
a6,1,0.034442,4.472619,[8 6] ; [ 2 10],[5.38461538 8.61538462] ; [4.61538462 7.38461538],0
n5,1,0.074905,3.172113,[7 7] ; [10  2],[9.15384615 4.84615385] ; [7.84615385 4.15384615],0
s8,1,0.098543,2.728968,[5 9] ; [ 1 11],[ 3.23076923 10.76923077] ; [2.76923077 9.23076923],0
s5,1,0.103522,2.650421,[4 7] ; [ 1 11],[2.39130435 8.60869565] ; [2.60869565 9.39130435],0
r2,1,0.107364,2.592596,[9 4] ; [4 7],[7.04166667 5.95833333] ; [5.95833333 5.04166667],0
u2,1,0.134802,2.23631,[5 1] ; [3 4],[3.69230769 2.30769231] ; [4.30769231 2.69230769],0
p6,1,0.149173,2.080688,[6 8] ; [ 2 10],[4.30769231 9.69230769] ; [3.69230769 8.30769231],0
p3,1,0.191473,1.70625,[7 7] ; [3 9],[5.38461538 8.61538462] ; [4.61538462 7.38461538],0
r1,1,0.191785,1.703855,[ 4 10] ; [ 1 11],[ 2.69230769 11.30769231] ; [2.30769231 9.69230769],0
r3,1,0.248767,1.330215,[9 5] ; [5 7],[7.53846154 6.46153846] ; [6.46153846 5.53846154],0
v4,1,0.26501,1.242394,[11  3] ; [7 5],[9.69230769 4.30769231] ; [8.30769231 3.69230769],0
p2,1,0.26501,1.242394,[11  3] ; [7 5],[9.69230769 4.30769231] ; [8.30769231 3.69230769],0
p8,1,0.301941,1.065601,[7 6] ; [4 8],[5.72 7.28] ; [5.28 6.72],0
v2,1,0.319499,0.990997,[ 3 10] ; [5 7],[4.16 8.84] ; [3.84 8.16],0
d1,1,0.340018,0.910364,[6 8] ; [3 9],[4.84615385 9.15384615] ; [4.15384615 7.84615385],0
u3,1,0.390636,0.736961,[4 2] ; [3 4],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
p4,1,0.391153,0.735354,[7 7] ; [4 8],[5.92307692 8.07692308] ; [5.07692308 6.92307692],0
a5,1,0.391153,0.735354,[7 7] ; [4 8],[5.92307692 8.07692308] ; [5.07692308 6.92307692],0
n6,1,0.391153,0.735354,[7 7] ; [8 4],[8.07692308 5.92307692] ; [6.92307692 5.07692308],0
a3,1,0.431401,0.619048,[8 6] ; [5 7],[7. 7.] ; [6. 6.],0
p9,1,0.431401,0.619048,[8 6] ; [5 7],[7. 7.] ; [6. 6.],0
d5,1,0.462325,0.54026,[9 5] ; [6 6],[8.07692308 5.92307692] ; [6.92307692 5.07692308],0
d4,1,0.484118,0.489574,[10  4] ; [7 5],[9.15384615 4.84615385] ; [7.84615385 4.15384615],0
v1,1,0.489534,0.477551,[ 2 12] ; [3 9],[ 2.69230769 11.30769231] ; [2.30769231 9.69230769],0
p7,1,0.561471,0.337163,[8 5] ; [6 6],[7.28 5.72] ; [6.72 5.28],0
n2,1,0.59298,0.285714,[4 3] ; [3 4],[3.5 3.5] ; [3.5 3.5],0
s1,1,0.635788,0.224293,[ 2 12] ; [ 1 11],[ 1.61538462 12.38461538] ; [ 1.38461538 10.61538462],0
b1,1,0.715697,0.132653,[6 8] ; [6 6],[6.46153846 7.53846154] ; [5.53846154 6.46153846],0
n4,1,0.715697,0.132653,[8 6] ; [6 6],[7.53846154 6.46153846] ; [6.46153846 5.53846154],0
a7,1,0.715697,0.132653,[8 6] ; [6 6],[7.53846154 6.46153846] ; [6.46153846 5.53846154],0
d3,1,0.755794,0.096726,[9 5] ; [7 5],[8.61538462 5.38461538] ; [7.38461538 4.61538462],0
b5,1,0.755794,0.096726,[9 5] ; [7 5],[8.61538462 5.38461538] ; [7.38461538 4.61538462],0
b4,1,0.755794,0.096726,[5 9] ; [5 7],[5.38461538 8.61538462] ; [4.61538462 7.38461538],0
p11,1,0.755794,0.096726,[9 5] ; [7 5],[8.61538462 5.38461538] ; [7.38461538 4.61538462],0
a4,1,0.793117,0.068783,[ 4 10] ; [4 8],[4.30769231 9.69230769] ; [3.69230769 8.30769231],0
b2,1,0.799846,0.064286,[2 8] ; [2 6],[2.22222222 7.77777778] ; [1.77777778 6.22222222],0
b3,1,0.799846,0.064286,[2 8] ; [2 6],[2.22222222 7.77777778] ; [1.77777778 6.22222222],0
v3,1,0.909583,0.012897,[ 1 13] ; [ 1 11],[ 1.07692308 12.92307692] ; [ 0.92307692 11.07692308],0
d2,1,0.951159,0.003752,[6 8] ; [5 7],[5.92307692 8.07692308] ; [5.07692308 6.92307692],0
p10,1,0.951159,0.003752,[8 6] ; [7 5],[8.07692308 5.92307692] ; [6.92307692 5.07692308],0
n3,1,1.0,0.0,[4 3] ; [4 3],[4. 3.] ; [4. 3.],0
n1,1,1.0,0.0,[2 5] ; [2 5],[2. 5.] ; [2. 5.],0
