Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,9e-06,19.754941,[18  9] ; [15 60],[ 8.73529412 18.26470588] ; [24.26470588 50.73529412],1
p7,1,1.2e-05,19.203332,[19  7] ; [18 55],[ 9.71717172 16.28282828] ; [27.28282828 45.71717172],1
p5,1,0.000869,11.087799,[ 8 19] ; [ 4 70],[ 3.20792079 23.79207921] ; [ 8.79207921 65.20792079],1
p4,1,0.002816,8.923056,[17  9] ; [24 51],[10.55445545 15.44554455] ; [30.44554455 44.55445545],0
d2,1,0.007527,7.142594,[ 7 19] ; [43 32],[12.87128713 13.12871287] ; [37.12871287 37.87128713],0
d5,1,0.009413,6.742666,[14 12] ; [60 15],[19.04950495  6.95049505] ; [54.95049505 20.04950495],0
u1,1,0.021487,5.286822,[ 1 26] ; [18 58],[ 4.98058252 22.01941748] ; [14.01941748 61.98058252],0
r3,1,0.036158,4.389624,[22  5] ; [72  4],[24.6407767  2.3592233] ; [69.3592233  6.6407767],0
a2,1,0.051291,3.798754,[ 2 25] ; [19 57],[ 5.50485437 21.49514563] ; [15.49514563 60.50485437],0
s4,1,0.062207,3.477553,[ 4 23] ; [25 49],[ 7.75247525 19.24752475] ; [21.24752475 52.75247525],0
a3,1,0.069093,3.304426,[13 13] ; [53 23],[16.82352941  9.17647059] ; [49.17647059 26.82352941],0
b5,1,0.070387,3.273975,[14 13] ; [54 22],[17.82524272  9.17475728] ; [50.17475728 25.82524272],0
s7,1,0.108906,2.570027,[11 15] ; [43 28],[14.4742268 11.5257732] ; [39.5257732 31.4742268],0
p3,1,0.119425,2.42484,[13 13] ; [25 51],[ 9.68627451 16.31372549] ; [28.31372549 47.68627451],0
a4,1,0.140169,2.176107,[ 8 18] ; [36 40],[11.21568627 14.78431373] ; [32.78431373 43.21568627],0
r1,1,0.151134,2.060772,[18  9] ; [61 15],[20.70873786  6.29126214] ; [58.29126214 17.70873786],0
d1,1,0.156914,2.003719,[11 16] ; [43 33],[14.15533981 12.84466019] ; [39.84466019 36.15533981],0
p11,1,0.169152,1.890439,[20  7] ; [45 31],[17.03883495  9.96116505] ; [47.96116505 28.03883495],0
d4,1,0.176286,1.828659,[17  9] ; [59 16],[19.56435644  6.43564356] ; [56.43564356 18.56435644],0
p12,1,0.195339,1.676888,[ 5 22] ; [ 7 69],[ 3.14563107 23.85436893] ; [ 8.85436893 67.14563107],0
s5,1,0.196661,1.667,[14 13] ; [27 45],[11.18181818 15.81818182] ; [29.81818182 42.18181818],0
v2,1,0.20502,1.60625,[18  8] ; [39 32],[15.27835052 10.72164948] ; [41.72164948 29.27835052],0
n1,1,0.222423,1.488668,[3 1] ; [11 15],[1.86666667 2.13333333] ; [12.13333333 13.86666667],0
s8,1,0.253733,1.30263,[11 15] ; [42 34],[13.50980392 12.49019608] ; [39.49019608 36.50980392],0
v1,1,0.260069,1.268392,[16 11] ; [34 39],[13.5 13.5] ; [36.5 36.5],0
p10,1,0.283234,1.151507,[19  8] ; [44 31],[16.67647059 10.32352941] ; [46.32352941 28.67647059],0
n4,1,0.31998,0.989028,[16 11] ; [53 23],[18.08737864  8.91262136] ; [50.91262136 25.08737864],0
p9,1,0.405132,0.693041,[20  7] ; [49 26],[18.26470588  8.73529412] ; [50.73529412 24.26470588],0
r4,1,0.417991,0.655956,[23  4] ; [69  7],[24.11650485  2.88349515] ; [67.88349515  8.11650485],0
a5,1,0.428097,0.62798,[20  7] ; [50 26],[18.34951456  8.65048544] ; [51.65048544 24.34951456],0
u3,1,0.442703,0.589266,[8 6] ; [16  7],[9.08108108 4.91891892] ; [14.91891892  8.08108108],0
b1,1,0.464846,0.534201,[12 15] ; [40 36],[13.63106796 13.36893204] ; [38.36893204 37.63106796],0
s3,1,0.475426,0.509338,[14 11] ; [48 27],[15.5  9.5] ; [46.5 28.5],0
d3,1,0.502903,0.448805,[14 12] ; [46 29],[15.44554455 10.55445545] ; [44.55445545 30.44554455],0
n3,1,0.515579,0.422727,[2 2] ; [18  9],[2.58064516 1.41935484] ; [17.41935484  9.58064516],0
u2,1,0.517471,0.418931,[7 7] ; [14  9],[7.94594595 6.05405405] ; [13.05405405  9.94594595],0
n5,1,0.578428,0.308783,[19  8] ; [49 27],[17.82524272  9.17475728] ; [50.17475728 25.82524272],0
r2,1,0.611187,0.25845,[24  3] ; [70  6],[24.6407767  2.3592233] ; [69.3592233  6.6407767],0
p1,1,0.611187,0.25845,[ 3 24] ; [ 6 70],[ 2.3592233 24.6407767] ; [ 6.6407767 69.3592233],0
a7,1,0.629555,0.232665,[16 11] ; [49 27],[17.03883495  9.96116505] ; [47.96116505 28.03883495],0
v4,1,0.638223,0.221074,[25  2] ; [68  8],[24.37864078  2.62135922] ; [68.62135922  7.37864078],0
b4,1,0.655388,0.199174,[18  9] ; [47 29],[17.03883495  9.96116505] ; [47.96116505 28.03883495],0
v3,1,0.667854,0.184122,[11 16] ; [31 37],[11.93684211 15.06315789] ; [30.06315789 37.93684211],0
u4,1,0.74603,0.104897,[ 1 26] ; [ 4 72],[ 1.31067961 25.68932039] ; [ 3.68932039 72.31067961],0
s1,1,0.748699,0.102627,[ 2 25] ; [ 7 67],[ 2.40594059 24.59405941] ; [ 6.59405941 67.40594059],0
s2,1,0.803645,0.061818,[18  9] ; [48 27],[17.47058824  9.52941176] ; [48.52941176 26.47058824],0
b2,1,0.857154,0.032399,[ 5 10] ; [19 34],[5.29411765 9.70588235] ; [18.70588235 34.29411765],0
b3,1,0.857154,0.032399,[ 5 10] ; [19 34],[5.29411765 9.70588235] ; [18.70588235 34.29411765],0
n6,1,0.927064,0.00838,[21  5] ; [62 14],[21.15686275  4.84313725] ; [61.84313725 14.15686275],0
a8,1,0.947842,0.004279,[ 3 22] ; [ 9 63],[ 3.09278351 21.90721649] ; [ 8.90721649 63.09278351],0
a6,1,0.974552,0.001018,[15 11] ; [43 32],[14.93069307 11.06930693] ; [43.06930693 31.93069307],0
