Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,57.36263,[219  32] ; [73 66],[187.92820513  63.07179487] ; [104.07179487  34.92820513],1
p6,1,9e-06,19.747659,[142 105] ; [48 93],[120.95360825 126.04639175] ; [69.04639175 71.95360825],1
p5,1,0.00025,13.412692,[ 56 195] ; [ 11 130],[ 42.9005102 208.0994898] ; [ 24.0994898 116.9005102],1
p7,1,0.000332,12.880691,[219  30] ; [100  36],[206.31428571  42.68571429] ; [112.68571429  23.31428571],1
u1,1,0.000338,12.846509,[ 60 191] ; [ 13 128],[ 46.74234694 204.25765306] ; [ 26.25765306 114.74234694],1
p12,1,0.001129,10.603622,[ 35 215] ; [  5 135],[ 25.64102564 224.35897436] ; [ 14.35897436 125.64102564],0
p10,1,0.001455,10.13522,[230  21] ; [112  27],[220.10769231  30.89230769] ; [121.89230769  17.10769231],0
n4,1,0.002826,8.916637,[214  37] ; [102  38],[202.85421995  48.14578005] ; [113.14578005  26.85421995],0
p9,1,0.010086,6.619569,[232  19] ; [116  22],[224.54498715  26.45501285] ; [123.45501285  14.54498715],0
a2,1,0.012488,6.240303,[ 71 180] ; [ 24 117],[ 60.82908163 190.17091837] ; [ 34.17091837 106.82908163],0
s5,1,0.013188,6.143672,[108 134] ; [43 93],[ 96.67195767 145.32804233] ; [54.32804233 81.67195767],0
a4,1,0.017103,5.685781,[126 124] ; [53 87],[114.74358974 135.25641026] ; [64.25641026 75.74358974],0
d2,1,0.017361,5.659462,[140 111] ; [61 80],[128.70153061 122.29846939] ; [72.29846939 68.70153061],0
s8,1,0.022312,5.221312,[138 110] ; [61 79],[127.19587629 120.80412371] ; [71.80412371 68.19587629],0
s7,1,0.032298,4.582597,[137  97] ; [65 73],[127.06451613 106.93548387] ; [74.93548387 63.06451613],0
d1,1,0.044647,4.031943,[173  78] ; [83 58],[163.91836735  87.08163265] ; [92.08163265 48.91836735],0
v2,1,0.052559,3.75788,[160  86] ; [73 60],[151.2348285  94.7651715] ; [81.7651715 51.2348285],0
a5,1,0.059221,3.559059,[207  44] ; [105  36],[199.7755102  51.2244898] ; [112.2244898  28.7755102],0
n5,1,0.077782,3.110656,[207  44] ; [105  35],[200.28644501  50.71355499] ; [111.71355499  28.28644501],0
s4,1,0.079141,3.08245,[ 46 202] ; [ 16 121],[ 39.93766234 208.06233766] ; [ 22.06233766 114.93766234],0
r2,1,0.098554,2.728796,[244   5] ; [132   7],[241.29896907   7.70103093] ; [134.70103093   4.29896907],0
v3,1,0.104192,2.64017,[118 126] ; [54 82],[110.44210526 133.55789474] ; [61.55789474 74.44210526],0
a1,1,0.107522,2.590266,[ 14 237] ; [  3 138],[ 10.88520408 240.11479592] ; [  6.11479592 134.88520408],0
v1,1,0.120087,2.416186,[157  90] ; [76 61],[149.87239583  97.12760417] ; [83.12760417 53.87239583],0
b5,1,0.122124,2.389862,[131 120] ; [85 56],[138.30612245 112.69387755] ; [77.69387755 63.30612245],0
a7,1,0.146075,2.112769,[184  66] ; [113  28],[189.89769821  60.10230179] ; [107.10230179  33.89769821],0
