Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.02102,5.325123,[11 17] ; [13 61],[ 6.58823529 21.41176471] ; [17.41176471 56.58823529],0
p7,1,0.024801,5.037751,[16 12] ; [25 51],[11.03846154 16.96153846] ; [29.96153846 46.03846154],0
d3,1,0.030793,4.664476,[20  9] ; [35 42],[15.04716981 13.95283019] ; [39.95283019 37.04716981],0
r4,1,0.034519,4.4688,[22  7] ; [41 36],[17.23584906 11.76415094] ; [45.76415094 31.23584906],0
r3,1,0.046658,3.957678,[24  4] ; [50 26],[19.92307692  8.07692308] ; [54.07692308 21.92307692],0
s3,1,0.051411,3.794846,[12 17] ; [17 59],[ 8.00952381 20.99047619] ; [20.99047619 55.00952381],0
v2,1,0.068829,3.310734,[14 14] ; [23 52],[10.05825243 17.94174757] ; [26.94174757 48.05825243],0
r1,1,0.07406,3.190671,[22  6] ; [46 31],[18.13333333  9.86666667] ; [49.86666667 27.13333333],0
s2,1,0.074725,3.176044,[ 7 22] ; [ 8 68],[ 4.14285714 24.85714286] ; [10.85714286 65.14285714],0
b4,1,0.079773,3.069526,[13 16] ; [49 28],[16.96226415 12.03773585] ; [45.03773585 31.96226415],0
p2,1,0.084766,2.971066,[19 10] ; [36 41],[15.04716981 13.95283019] ; [39.95283019 37.04716981],0
a5,1,0.090604,2.86361,[20  9] ; [39 38],[16.14150943 12.85849057] ; [42.85849057 34.14150943],0
r2,1,0.091555,2.846814,[26  2] ; [59 16],[23.10679612  4.89320388] ; [61.89320388 13.10679612],0
n4,1,0.120455,2.411395,[21  7] ; [45 32],[17.6 10.4] ; [48.4 28.6],0
p3,1,0.125616,2.345865,[10 18] ; [16 60],[ 7. 21.] ; [19. 57.],0
s7,1,0.132461,2.263424,[ 7 19] ; [10 62],[ 4.51020408 21.48979592] ; [12.48979592 59.51020408],0
v4,1,0.146474,2.108588,[23  4] ; [54 22],[20.18446602  6.81553398] ; [56.81553398 19.18446602],0
p11,1,0.147241,2.100605,[17 12] ; [33 44],[13.67924528 15.32075472] ; [36.32075472 40.67924528],0
a3,1,0.190707,1.712145,[19 10] ; [39 37],[16.01904762 12.98095238] ; [41.98095238 34.01904762],0
n1,1,0.197428,1.6613,[5 4] ; [12 25],[3.32608696 5.67391304] ; [13.67391304 23.32608696],0
b2,1,0.198837,1.650895,[8 9] ; [14 33],[ 5.84375 11.15625] ; [16.15625 30.84375],0
b3,1,0.198837,1.650895,[8 9] ; [14 33],[ 5.84375 11.15625] ; [16.15625 30.84375],0
s1,1,0.215007,1.537387,[ 4 24] ; [ 5 71],[ 2.42307692 25.57692308] ; [ 6.57692308 69.42307692],0
s4,1,0.22938,1.444701,[ 4 25] ; [ 5 72],[ 2.46226415 26.53773585] ; [ 6.53773585 70.46226415],0
u2,1,0.292594,1.107648,[3 7] ; [18 19],[4.46808511 5.53191489] ; [16.53191489 20.46808511],0
n3,1,0.297264,1.086429,[7 3] ; [18 17],[5.55555556 4.44444444] ; [19.44444444 15.55555556],0
b5,1,0.31111,1.025957,[16 13] ; [34 43],[13.67924528 15.32075472] ; [36.32075472 40.67924528],0
u1,1,0.346052,0.887883,[ 4 25] ; [ 6 71],[ 2.73584906 26.26415094] ; [ 7.26415094 69.73584906],0
n2,1,0.367583,0.811818,[6 3] ; [19 19],[4.78723404 4.21276596] ; [20.21276596 17.78723404],0
u3,1,0.449022,0.573121,[5 5] ; [14 24],[3.95833333 6.04166667] ; [15.04166667 22.95833333],0
a2,1,0.451578,0.566689,[ 5 24] ; [ 9 68],[ 3.83018868 25.16981132] ; [10.16981132 66.83018868],0
d2,1,0.46618,0.531016,[12 17] ; [37 38],[13.66346154 15.33653846] ; [35.33653846 39.66346154],0
s5,1,0.492986,0.470002,[ 4 25] ; [ 7 69],[ 3.03809524 25.96190476] ; [ 7.96190476 68.03809524],0
a7,1,0.537689,0.37984,[17 11] ; [41 35],[15.61538462 12.38461538] ; [42.38461538 33.61538462],0
p6,1,0.618194,0.248414,[ 5 22] ; [11 65],[ 4.19417476 22.80582524] ; [11.80582524 64.19417476],0
n5,1,0.702064,0.146334,[13 15] ; [39 38],[13.86666667 14.13333333] ; [38.13333333 38.86666667],0
p1,1,0.704906,0.143418,[ 2 27] ; [ 7 69],[ 2.48571429 26.51428571] ; [ 6.51428571 69.48571429],0
s8,1,0.717857,0.130555,[ 2 27] ; [ 7 70],[ 2.46226415 26.53773585] ; [ 6.53773585 70.46226415],0
a8,1,0.730908,0.11828,[ 2 25] ; [ 4 68],[ 1.63636364 25.36363636] ; [ 4.36363636 67.63636364],0
d1,1,0.734557,0.114968,[11 18] ; [32 45],[11.76415094 17.23584906] ; [31.23584906 45.76415094],0
p10,1,0.76824,0.086835,[ 6 23] ; [18 59],[ 6.56603774 22.43396226] ; [17.43396226 59.56603774],0
d5,1,0.783846,0.075246,[18 11] ; [50 27],[18.60377358 10.39622642] ; [49.39622642 27.60377358],0
d4,1,0.786609,0.073288,[19 10] ; [47 28],[18.40384615 10.59615385] ; [47.59615385 27.40384615],0
a6,1,0.827022,0.047752,[18 11] ; [46 31],[17.50943396 11.49056604] ; [46.49056604 30.50943396],0
b1,1,0.827526,0.04747,[14 15] ; [39 38],[14.5 14.5] ; [38.5 38.5],0
p8,1,0.846907,0.037274,[ 7 22] ; [17 59],[ 6.62857143 22.37142857] ; [17.37142857 58.62857143],0
n6,1,0.877798,0.023643,[15 13] ; [42 34],[15.34615385 12.65384615] ; [41.65384615 34.34615385],0
a4,1,0.917763,0.010661,[11 18] ; [28 48],[10.77142857 18.22857143] ; [28.22857143 47.77142857],0
p4,1,0.99629,2.2e-05,[ 8 21] ; [21 55],[ 8.00952381 20.99047619] ; [20.99047619 55.00952381],0
