Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,140.01124,[337 155] ; [ 48 179],[263.44923505 228.55076495] ; [121.55076495 105.44923505],1
s3,1,0.0,137.61828,[349 140] ; [ 56 171],[276.59916201 212.40083799] ; [128.40083799  98.59916201],1
s7,1,0.0,83.314954,[295 180] ; [ 54 164],[239.21356421 235.78643579] ; [109.78643579 108.21356421],1
s8,1,0.0,76.362689,[281 211] ; [ 51 178],[226.5520111 265.4479889] ; [105.4479889 123.5520111],1
s5,1,0.0,64.969209,[217 261] ; [ 31 190],[169.59084406 308.40915594] ; [ 78.40915594 142.59084406],1
p4,1,1e-06,25.22415,[328 164] ; [105 119],[297.53631285 194.46368715] ; [135.46368715  88.53631285],1
s4,1,7e-06,20.06667,[104 383] ; [ 18 211],[ 82.98044693 404.01955307] ; [ 39.01955307 189.98044693],1
p6,1,3.2e-05,17.296397,[205 280] ; [ 58 165],[180.16242938 304.83757062] ; [ 82.83757062 140.16242938],1
p12,1,0.000126,14.699301,[ 52 440] ; [  5 220],[ 39.11297071 452.88702929] ; [ 17.88702929 207.11297071],1
p9,1,0.000207,13.768409,[431  56] ; [176  50],[414.59887798  72.40112202] ; [192.40112202  33.59887798],1
n5,1,0.000219,13.664625,[381 111] ; [146  81],[360.61752434 131.38247566] ; [166.38247566  60.61752434],1
r4,1,0.000416,12.458433,[464  30] ; [197  32],[451.63762102  42.36237898] ; [209.36237898  19.63762102],1
v1,1,0.000876,11.073619,[285 195] ; [103 121],[264.54545455 215.45454545] ; [123.45454545 100.54545455],1
p7,1,0.001368,10.248402,[321 154] ; [124 101],[301.96428571 173.03571429] ; [143.03571429  81.96428571],0
p10,1,0.001373,10.241929,[414  74] ; [170  57],[398.59020979  89.40979021] ; [185.40979021  41.59020979],0
p3,1,0.001478,10.105606,[268 225] ; [ 94 132],[248.21418637 244.78581363] ; [113.78581363 112.21418637],0
n6,1,0.00163,9.926024,[427  64] ; [178  51],[412.57638889  78.42361111] ; [192.42361111  36.57638889],0
u1,1,0.002674,9.017327,[117 377] ; [ 32 197],[101.80636238 392.19363762] ; [ 47.19363762 181.80636238],0
p5,1,0.002709,8.993731,[ 65 425] ; [ 13 213],[ 53.37988827 436.62011173] ; [ 24.62011173 201.37988827],0
p2,1,0.009055,6.811983,[423  68] ; [178  49],[410.9902507  80.0097493] ; [190.0097493  36.9902507],0
r3,1,0.009529,6.72086,[478  14] ; [213  16],[471.52843273  20.47156727] ; [219.47156727   9.52843273],0
u4,1,0.015858,5.818574,[ 17 477] ; [  1 228],[ 12.29875519 481.70124481] ; [  5.70124481 223.29875519],0
n4,1,0.026921,4.895864,[388 105] ; [163  66],[376.23684211 116.76315789] ; [174.76315789  54.23684211],0
a2,1,0.037106,4.345522,[142 352] ; [ 49 180],[130.50345781 363.49654219] ; [ 60.49654219 168.50345781],0
p8,1,0.042762,4.104794,[267 218] ; [106 120],[254.4374121 230.5625879] ; [118.5625879 107.4374121],0
a5,1,0.04822,3.902318,[387 107] ; [164  65],[376.47856155 117.52143845] ; [174.52143845  54.47856155],0
n1,1,0.053355,3.732762,[47 65] ; [14 39],[41.40606061 70.59393939] ; [19.59393939 33.40606061],0
n2,1,0.05768,3.60287,[87 26] ; [34 20],[81.8742515 31.1257485] ; [39.1257485 14.8742515],0
