Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000252,13.399933,[62 16] ; [ 6 11],[55.83157895 22.16842105] ; [12.16842105  4.83157895],1
n5,1,0.000732,11.405552,[60 18] ; [ 6 11],[54.18947368 23.81052632] ; [11.81052632  5.18947368],1
n4,1,0.005174,7.817548,[59 19] ; [ 7 10],[54.18947368 23.81052632] ; [11.81052632  5.18947368],0
s6,1,0.00601,7.547209,[71  5] ; [12  5],[67.82795699  8.17204301] ; [15.17204301  1.82795699],0
r4,1,0.008318,6.96375,[70  8] ; [11  6],[66.50526316 11.49473684] ; [14.49473684  2.50526316],0
p4,1,0.008579,6.908533,[54 24] ; [ 6 11],[49.26315789 28.73684211] ; [10.73684211  6.26315789],0
d2,1,0.010651,6.522627,[45 33] ; [ 4 13],[40.23157895 37.76842105] ; [8.76842105 8.23157895],0
v3,1,0.012543,6.232512,[30 48] ; [ 1 15],[25.72340426 52.27659574] ; [ 5.27659574 10.72340426],0
r1,1,0.022464,5.209497,[62 16] ; [9 8],[58.29473684 19.70526316] ; [12.70526316  4.29473684],0
a3,1,0.036502,4.373514,[64 14] ; [10  7],[60.75789474 17.24210526] ; [13.24210526  3.75789474],0
n3,1,0.042221,4.126316,[16  2] ; [3 3],[14.25  3.75] ; [4.75 1.25],0
a4,1,0.046941,3.947503,[39 39] ; [ 4 13],[35.30526316 42.69473684] ; [7.69473684 9.30526316],0
u1,1,0.051542,3.790558,[22 56] ; [ 1 16],[18.88421053 59.11578947] ; [ 4.11578947 12.88421053],0
d1,1,0.063635,3.440016,[51 27] ; [ 7 10],[47.62105263 30.37894737] ; [10.37894737  6.62105263],0
p11,1,0.071509,3.248036,[62 16] ; [10  7],[59.11578947 18.88421053] ; [12.88421053  4.11578947],0
p10,1,0.096411,2.763925,[67 11] ; [11  5],[64.72340426 13.27659574] ; [13.27659574  2.72340426],0
s8,1,0.103516,2.650519,[53 25] ; [8 9],[50.08421053 27.91578947] ; [10.91578947  6.08421053],0
u2,1,0.112123,2.524038,[7 7] ; [6 1],[8.66666667 5.33333333] ; [4.33333333 2.66666667],0
p6,1,0.13169,2.272474,[37 40] ; [11  5],[39.74193548 37.25806452] ; [8.25806452 7.74193548],0
r2,1,0.190727,1.711996,[74  3] ; [15  2],[72.90425532  4.09574468] ; [16.09574468  0.90425532],0
p7,1,0.200825,1.636364,[57 18] ; [9 6],[55. 20.] ; [11.  4.],0
b4,1,0.215106,1.536726,[45 33] ; [ 7 10],[42.69473684 35.30526316] ; [9.30526316 7.69473684],0
p8,1,0.257467,1.282326,[48 29] ; [7 8],[46.0326087 30.9673913] ; [8.9673913 6.0326087],0
v4,1,0.271846,1.207411,[74  4] ; [14  2],[73.0212766  4.9787234] ; [14.9787234  1.0212766],0
u3,1,0.305507,1.05,[9 5] ; [6 1],[10.  4.] ; [5. 2.],0
n1,1,0.317311,1.0,[ 5 13] ; [3 3],[ 6. 12.] ; [2. 4.],0
p2,1,0.33412,0.932865,[67 11] ; [13  4],[65.68421053 12.31578947] ; [14.31578947  2.68421053],0
p9,1,0.34606,0.887851,[69  8] ; [13  3],[67.89247312  9.10752688] ; [14.10752688  1.89247312],0
d4,1,0.404281,0.695557,[62 16] ; [15  2],[63.22105263 14.77894737] ; [13.77894737  3.22105263],0
d5,1,0.466796,0.52955,[63 15] ; [15  2],[64.04210526 13.95789474] ; [13.95789474  3.04210526],0
p3,1,0.482741,0.492665,[44 34] ; [8 9],[42.69473684 35.30526316] ; [9.30526316 7.69473684],0
s3,1,0.537005,0.381119,[64 14] ; [15  2],[64.86315789 13.13684211] ; [14.13684211  2.86315789],0
a6,1,0.544931,0.366476,[49 29] ; [12  5],[50.08421053 27.91578947] ; [10.91578947  6.08421053],0
b1,1,0.578508,0.308653,[31 47] ; [8 9],[32.02105263 45.97894737] ; [ 6.97894737 10.02105263],0
d3,1,0.5806,0.305266,[60 18] ; [12  5],[59.11578947 18.88421053] ; [12.88421053  4.11578947],0
s2,1,0.708718,0.139561,[67 11] ; [14  3],[66.50526316 11.49473684] ; [14.49473684  2.50526316],0
v2,1,0.714956,0.133377,[35 41] ; [ 7 10],[34.32258065 41.67741935] ; [7.67741935 9.32258065],0
b3,1,0.74254,0.107907,[12 36] ; [3 7],[12.4137931 35.5862069] ; [2.5862069 7.4137931],0
b2,1,0.74254,0.107907,[12 36] ; [3 7],[12.4137931 35.5862069] ; [2.5862069 7.4137931],0
s5,1,0.747873,0.103327,[47 26] ; [9 6],[46.45454545 26.54545455] ; [9.54545455 5.45454545],0
b5,1,0.758224,0.09475,[49 29] ; [10  7],[48.44210526 29.55789474] ; [10.55789474  6.44210526],0
r3,1,0.84134,0.040072,[72  6] ; [15  1],[72.19148936  5.80851064] ; [14.80851064  1.19148936],0
v1,1,0.901289,0.015384,[38 40] ; [8 9],[37.76842105 40.23157895] ; [8.23157895 8.76842105],0
a8,1,0.913569,0.01178,[ 4 68] ; [ 1 15],[ 4.09090909 67.90909091] ; [ 0.90909091 15.09090909],0
a7,1,0.962498,0.002211,[50 28] ; [11  6],[50.08421053 27.91578947] ; [10.91578947  6.08421053],0
p1,1,0.978925,0.000698,[ 9 69] ; [ 2 15],[ 9.03157895 68.96842105] ; [ 1.96842105 15.03157895],0
