Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,6e-06,20.345361,[ 1 24] ; [25 17],[ 9.70149254 15.29850746] ; [16.29850746 25.70149254],1
p11,1,0.000174,14.096421,[ 4 22] ; [26 16],[11.47058824 14.52941176] ; [18.52941176 23.47058824],1
p10,1,0.001309,10.329406,[ 4 21] ; [23 18],[10.22727273 14.77272727] ; [16.77272727 24.22727273],0
d5,1,0.001863,9.679615,[10 16] ; [32 10],[16.05882353  9.94117647] ; [25.94117647 16.05882353],0
n6,1,0.001896,9.647637,[ 7 19] ; [27 14],[13.19402985 12.80597015] ; [20.80597015 20.19402985],0
s6,1,0.00246,9.170192,[ 3 23] ; [19 21],[ 8.66666667 17.33333333] ; [13.33333333 26.66666667],0
p9,1,0.002499,9.14101,[ 6 19] ; [25 15],[11.92307692 13.07692308] ; [19.07692308 20.92307692],0
p2,1,0.003814,8.37012,[ 5 21] ; [23 19],[10.70588235 15.29411765] ; [17.29411765 24.70588235],0
n3,1,0.003932,8.315028,[ 3 10] ; [11  3],[6.74074074 6.25925926] ; [7.25925926 6.74074074],0
a7,1,0.005033,7.867396,[ 7 19] ; [26 16],[12.61764706 13.38235294] ; [20.38235294 21.61764706],0
a1,1,0.006349,7.448611,[ 6 20] ; [ 1 41],[ 2.67647059 23.32352941] ; [ 4.32352941 37.67647059],0
d4,1,0.014389,5.989836,[13 13] ; [33  9],[17.58823529  8.41176471] ; [28.41176471 13.58823529],0
p8,1,0.021561,5.280839,[ 2 24] ; [13 28],[ 5.82089552 20.17910448] ; [ 9.17910448 31.82089552],0
p1,1,0.022727,5.189255,[ 6 20] ; [ 2 40],[ 3.05882353 22.94117647] ; [ 4.94117647 37.05882353],0
p4,1,0.045785,3.989499,[ 4 22] ; [16 26],[ 7.64705882 18.35294118] ; [12.35294118 29.64705882],0
u2,1,0.0513,3.798465,[ 1 11] ; [ 7 10],[3.31034483 8.68965517] ; [ 4.68965517 12.31034483],0
r1,1,0.06024,3.530769,[ 7 19] ; [21 21],[10.70588235 15.29411765] ; [17.29411765 24.70588235],0
b4,1,0.074919,3.171827,[13 13] ; [30 12],[16.44117647  9.55882353] ; [26.55882353 15.44117647],0
d1,1,0.090069,2.873132,[ 7 19] ; [20 22],[10.32352941 15.67647059] ; [16.67647059 25.32352941],0
s2,1,0.09135,2.850421,[ 4 22] ; [14 27],[ 6.98507463 19.01492537] ; [11.01492537 29.98507463],0
b5,1,0.134328,2.241758,[10 16] ; [24 18],[13. 13.] ; [21. 21.],0
n2,1,0.135575,2.227482,[5 8] ; [10  5],[6.96428571 6.03571429] ; [8.03571429 6.96428571],0
s3,1,0.139065,2.188278,[ 7 18] ; [19 22],[ 9.84848485 15.15151515] ; [16.15151515 24.84848485],0
s5,1,0.173006,1.856703,[ 2 24] ; [ 8 32],[ 3.93939394 22.06060606] ; [ 6.06060606 33.93939394],0
r2,1,0.176022,1.830897,[12 13] ; [26 14],[14.61538462 10.38461538] ; [23.38461538 16.61538462],0
s7,1,0.191189,1.708429,[ 4 20] ; [12 26],[ 6.19354839 17.80645161] ; [ 9.80645161 28.19354839],0
a8,1,0.19205,1.701818,[ 2 23] ; [ 8 32],[ 3.84615385 21.15384615] ; [ 6.15384615 33.84615385],0
d2,1,0.265044,1.242216,[ 9 16] ; [21 21],[11.19402985 13.80597015] ; [18.80597015 23.19402985],0
a5,1,0.282036,1.157254,[12 14] ; [25 17],[14.14705882 11.85294118] ; [22.85294118 19.14705882],0
p7,1,0.367036,0.813675,[ 6 20] ; [14 28],[ 7.64705882 18.35294118] ; [12.35294118 29.64705882],0
d3,1,0.419269,0.652364,[11 15] ; [22 20],[12.61764706 13.38235294] ; [20.38235294 21.61764706],0
p3,1,0.481842,0.49469,[ 6 20] ; [13 29],[ 7.26470588 18.73529412] ; [11.73529412 30.26470588],0
n5,1,0.499668,0.455642,[17  9] ; [24 18],[15.67647059 10.32352941] ; [25.32352941 16.67647059],0
s1,1,0.53458,0.385679,[ 3 23] ; [ 3 39],[ 2.29411765 23.70588235] ; [ 3.70588235 38.29411765],0
n4,1,0.538998,0.3774,[18  8] ; [26 16],[16.82352941  9.17647059] ; [27.17647059 14.82352941],0
b2,1,0.543925,0.368314,[ 8 11] ; [ 9 18],[ 7.02173913 11.97826087] ; [ 9.97826087 17.02173913],0
b3,1,0.543925,0.368314,[ 8 11] ; [ 9 18],[ 7.02173913 11.97826087] ; [ 9.97826087 17.02173913],0
s4,1,0.590474,0.289605,[ 5 21] ; [ 6 36],[ 4.20588235 21.79411765] ; [ 6.79411765 35.20588235],0
b1,1,0.66912,0.182633,[15 11] ; [22 20],[14.14705882 11.85294118] ; [22.85294118 19.14705882],0
p12,1,0.741535,0.108782,[ 1 25] ; [ 1 40],[ 0.7761194 25.2238806] ; [ 1.2238806 39.7761194],0
a3,1,0.777303,0.079996,[14 11] ; [25 17],[14.55223881 10.44776119] ; [24.44776119 17.55223881],0
a4,1,0.824052,0.049433,[ 9 16] ; [14 28],[ 8.58208955 16.41791045] ; [14.41791045 27.58208955],0
a6,1,0.848597,0.036446,[13 13] ; [20 22],[12.61764706 13.38235294] ; [20.38235294 21.61764706],0
v1,1,0.895908,0.017117,[ 8 18] ; [12 29],[ 7.76119403 18.23880597] ; [12.23880597 28.76119403],0
v3,1,0.914219,0.011603,[ 6 20] ; [ 9 32],[ 5.82089552 20.17910448] ; [ 9.17910448 31.82089552],0
a2,1,0.963661,0.002076,[ 3 23] ; [ 5 37],[ 3.05882353 22.94117647] ; [ 4.94117647 37.05882353],0
n1,1,0.978351,0.000736,[6 7] ; [7 8],[6.03571429 6.96428571] ; [6.96428571 8.03571429],0
