Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000897,11.028666,[56 11] ; [10 11],[50.25 16.75] ; [15.75  5.25],1
n6,1,0.002932,8.849522,[61  7] ; [13  8],[56.53932584 11.46067416] ; [17.46067416  3.53932584],0
p10,1,0.004277,8.162448,[54 12] ; [10 10],[49.11627907 16.88372093] ; [14.88372093  5.11627907],0
p6,1,0.008713,6.880712,[23 45] ; [ 1 20],[18.33707865 49.66292135] ; [ 5.66292135 15.33707865],0
b1,1,0.029525,4.736728,[31 37] ; [ 4 17],[26.74157303 41.25842697] ; [ 8.25842697 12.74157303],0
s5,1,0.04361,4.071601,[21 45] ; [ 2 19],[17.44827586 48.55172414] ; [ 5.55172414 15.44827586],0
p3,1,0.05236,3.764233,[32 35] ; [ 5 16],[28.17045455 38.82954545] ; [ 8.82954545 12.17045455],0
p9,1,0.060482,3.524115,[53 15] ; [12  9],[49.66292135 18.33707865] ; [15.33707865  5.66292135],0
a6,1,0.065738,3.386353,[33 35] ; [15  6],[36.6741573 31.3258427] ; [11.3258427  9.6741573],0
s6,1,0.109495,2.561502,[49 16] ; [12  9],[46.10465116 18.89534884] ; [14.89534884  6.10465116],0
s7,1,0.142985,2.145534,[37 26] ; [ 8 12],[34.15662651 28.84337349] ; [10.84337349  9.15662651],0
a8,1,0.259795,1.269852,[10 53] ; [ 1 17],[ 8.55555556 54.44444444] ; [ 2.44444444 15.55555556],0
n1,1,0.278493,1.174428,[ 7 10] ; [1 5],[ 5.91304348 11.08695652] ; [2.08695652 3.91304348],0
b3,1,0.293558,1.103231,[ 8 34] ; [ 1 13],[ 6.75 35.25] ; [ 2.25 11.75],0
b2,1,0.293558,1.103231,[ 8 34] ; [ 1 13],[ 6.75 35.25] ; [ 2.25 11.75],0
p4,1,0.295963,1.092296,[38 30] ; [ 9 12],[35.91011236 32.08988764] ; [11.08988764  9.91011236],0
d2,1,0.30385,1.05722,[17 51] ; [ 3 18],[15.28089888 52.71910112] ; [ 4.71910112 16.28089888],0
p7,1,0.318848,0.993665,[45 22] ; [11  9],[43.12643678 23.87356322] ; [12.87356322  7.12643678],0
u2,1,0.336323,0.924397,[13 23] ; [2 8],[11.73913043 24.26086957] ; [3.26086957 6.73913043],0
v3,1,0.337497,0.919917,[26 42] ; [ 5 14],[24.22988506 43.77011494] ; [ 6.77011494 12.22988506],0
d5,1,0.339463,0.912457,[34 34] ; [ 8 13],[32.08988764 35.91011236] ; [ 9.91011236 11.08988764],0
r1,1,0.345622,0.889465,[43 23] ; [16  5],[44.75862069 21.24137931] ; [14.24137931  6.75862069],0
p11,1,0.376291,0.782785,[49 19] ; [13  8],[47.37078652 20.62921348] ; [14.62921348  6.37078652],0
a5,1,0.401748,0.703087,[35 33] ; [13  8],[36.6741573 31.3258427] ; [11.3258427  9.6741573],0
p8,1,0.489574,0.477462,[28 39] ; [ 7 14],[26.64772727 40.35227273] ; [ 8.35227273 12.64772727],0
p1,1,0.493783,0.468271,[11 57] ; [ 2 18],[10.04545455 57.95454545] ; [ 2.95454545 17.04545455],0
b4,1,0.506659,0.440962,[38 30] ; [10 11],[36.6741573 31.3258427] ; [11.3258427  9.6741573],0
a7,1,0.520132,0.413632,[41 27] ; [11 10],[39.73033708 28.26966292] ; [12.26966292  8.73033708],0
s1,1,0.525274,0.403525,[ 6 60] ; [ 1 20],[ 5.31034483 60.68965517] ; [ 1.68965517 19.31034483],0
r2,1,0.53548,0.383981,[61  6] ; [20  1],[61.67045455  5.32954545] ; [19.32954545  1.67045455],0
d3,1,0.537602,0.380003,[21 47] ; [ 8 13],[22.15730337 45.84269663] ; [ 6.84269663 14.15730337],0
r4,1,0.543352,0.369363,[58 10] ; [19  2],[58.83146067  9.16853933] ; [18.16853933  2.83146067],0
r3,1,0.545598,0.365263,[62  6] ; [20  1],[62.65168539  5.34831461] ; [19.34831461  1.65168539],0
v1,1,0.583355,0.300841,[31 35] ; [ 8 12],[29.93023256 36.06976744] ; [ 9.06976744 10.93023256],0
v4,1,0.603425,0.269861,[61  6] ; [18  1],[61.54651163  5.45348837] ; [17.45348837  1.54651163],0
b5,1,0.649011,0.20715,[35 33] ; [12  9],[35.91011236 32.08988764] ; [11.08988764  9.91011236],0
a3,1,0.669663,0.181996,[32 36] ; [11 10],[32.85393258 35.14606742] ; [10.14606742 10.85393258],0
u3,1,0.68502,0.164529,[17 19] ; [4 6],[16.43478261 19.56521739] ; [4.56521739 5.43478261],0
v2,1,0.740918,0.109322,[27 37] ; [ 8 13],[26.35294118 37.64705882] ; [ 8.64705882 12.35294118],0
a4,1,0.74546,0.105386,[15 52] ; [ 4 17],[14.46590909 52.53409091] ; [ 4.53409091 16.46590909],0
s2,1,0.815126,0.054671,[44 24] ; [13  8],[43.5505618 24.4494382] ; [13.4494382  7.5505618],0
p2,1,0.844054,0.038695,[53 15] ; [16  4],[53.31818182 14.68181818] ; [15.68181818  4.31818182],0
d1,1,0.946028,0.004583,[ 3 65] ; [ 1 20],[ 3.05617978 64.94382022] ; [ 0.94382022 20.05617978],0
a2,1,0.946028,0.004583,[ 3 65] ; [ 1 20],[ 3.05617978 64.94382022] ; [ 0.94382022 20.05617978],0
s8,1,0.964146,0.002021,[32 36] ; [10 11],[32.08988764 35.91011236] ; [ 9.91011236 11.08988764],0
s4,1,0.978918,0.000698,[16 52] ; [ 5 16],[16.04494382 51.95505618] ; [ 4.95505618 16.04494382],0
