Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.2e-05,19.118544,[50  8] ; [1 6],[45.50769231 12.49230769] ; [5.49230769 1.50769231],1
s4,1,0.001188,10.508285,[ 6 52] ; [4 3],[ 8.92307692 49.07692308] ; [1.07692308 5.92307692],0
r2,1,0.003991,8.288123,[56  2] ; [4 2],[54.375  3.625] ; [5.625 0.375],0
p10,1,0.00648,7.411765,[48  8] ; [3 4],[45.33333333 10.66666667] ; [5.66666667 1.33333333],0
r1,1,0.013609,6.088191,[43 15] ; [2 5],[40.15384615 17.84615385] ; [4.84615385 2.15384615],0
p11,1,0.034435,4.472957,[46 12] ; [3 4],[43.72307692 14.27692308] ; [5.27692308 1.72307692],0
v4,1,0.064842,3.408982,[53  4] ; [5 2],[51.65625  5.34375] ; [6.34375 0.65625],0
d4,1,0.109489,2.561576,[48 10] ; [4 3],[46.4 11.6] ; [5.6 1.4],0
p6,1,0.146298,2.110437,[17 40] ; [4 3],[18.703125 38.296875] ; [2.296875 4.703125],0
d5,1,0.146298,2.110437,[40 17] ; [3 4],[38.296875 18.703125] ; [4.703125 2.296875],0
n1,1,0.170904,1.875,[3 9] ; [2 1],[4. 8.] ; [1. 2.],0
v2,1,0.180954,1.789773,[31 25] ; [2 5],[29.33333333 26.66666667] ; [3.66666667 3.33333333],0
p9,1,0.198714,1.651803,[45 12] ; [4 3],[43.640625 13.359375] ; [5.359375 1.640625],0
a3,1,0.202486,1.624354,[39 19] ; [3 4],[37.47692308 20.52307692] ; [4.52307692 2.47692308],0
d3,1,0.205841,1.600438,[35 22] ; [6 1],[36.515625 20.484375] ; [4.484375 2.515625],0
u2,1,0.231289,1.432915,[11  8] ; [1 3],[9.91304348 9.08695652] ; [2.08695652 1.91304348],0
b5,1,0.247102,1.339612,[28 30] ; [5 2],[29.44615385 28.55384615] ; [3.55384615 3.44615385],0
s1,1,0.343249,0.898258,[ 3 55] ; [1 6],[ 3.56923077 54.43076923] ; [0.43076923 6.56923077],0
s3,1,0.357397,0.84702,[40 18] ; [6 1],[41.04615385 16.95384615] ; [4.95384615 2.04615385],0
a7,1,0.358298,0.843849,[42 15] ; [4 3],[40.96875 16.03125] ; [5.03125 1.96875],0
n6,1,0.358298,0.843849,[42 15] ; [4 3],[40.96875 16.03125] ; [5.03125 1.96875],0
b1,1,0.426266,0.632976,[24 34] ; [4 3],[24.98461538 33.01538462] ; [3.01538462 3.98461538],0
d2,1,0.461118,0.54318,[25 33] ; [2 5],[24.09230769 33.90769231] ; [2.90769231 4.09230769],0
n5,1,0.463218,0.538109,[41 17] ; [4 3],[40.15384615 17.84615385] ; [4.84615385 2.15384615],0
p3,1,0.473289,0.514286,[24 32] ; [4 3],[24.88888889 31.11111111] ; [3.11111111 3.88888889],0
p7,1,0.491171,0.473961,[36 20] ; [3 3],[35.22580645 20.77419355] ; [3.77419355 2.22580645],0
p4,1,0.505242,0.443908,[25 32] ; [4 3],[25.828125 31.171875] ; [3.171875 3.828125],0
v3,1,0.511368,0.431267,[22 31] ; [2 5],[21.2 31.8] ; [2.8 4.2],0
b4,1,0.536969,0.381187,[32 26] ; [3 4],[31.23076923 26.76923077] ; [3.76923077 3.23076923],0
p2,1,0.659735,0.193846,[44 12] ; [6 1],[44.44444444 11.55555556] ; [5.55555556 1.44444444],0
s8,1,0.661598,0.191588,[20 38] ; [3 4],[20.52307692 37.47692308] ; [2.47692308 4.52307692],0
a4,1,0.661598,0.191588,[20 38] ; [3 4],[20.52307692 37.47692308] ; [2.47692308 4.52307692],0
n2,1,0.711531,0.136752,[10  3] ; [2 1],[9.75 3.25] ; [2.25 0.75],0
d1,1,0.721036,0.127503,[29 29] ; [3 4],[28.55384615 29.44615385] ; [3.44615385 3.55384615],0
v1,1,0.721546,0.127016,[28 28] ; [4 3],[28.44444444 27.55555556] ; [3.55555556 3.44444444],0
a5,1,0.730547,0.11861,[37 21] ; [4 3],[36.58461538 21.41538462] ; [4.41538462 2.58461538],0
s7,1,0.737348,0.112472,[24 32] ; [3 3],[24.38709677 31.61290323] ; [2.61290323 3.38709677],0
u3,1,0.772205,0.083806,[11  8] ; [2 2],[10.73913043  8.26086957] ; [2.26086957 1.73913043],0
a6,1,0.800222,0.064039,[36 22] ; [4 3],[35.69230769 22.30769231] ; [4.30769231 2.69230769],0
u1,1,0.843822,0.038812,[10 48] ; [1 6],[ 9.81538462 48.18461538] ; [1.18461538 5.81538462],0
b3,1,0.86322,0.029679,[15 18] ; [2 2],[15.16216216 17.83783784] ; [1.83783784 2.16216216],0
b2,1,0.86322,0.029679,[15 18] ; [2 2],[15.16216216 17.83783784] ; [1.83783784 2.16216216],0
p8,1,0.898611,0.016235,[23 34] ; [3 4],[23.15625 33.84375] ; [2.84375 4.15625],0
n4,1,0.956118,0.003028,[42 16] ; [5 2],[41.93846154 16.06153846] ; [5.06153846 1.93846154],0
a2,1,0.971565,0.001271,[ 8 50] ; [1 6],[ 8.03076923 49.96923077] ; [0.96923077 6.03076923],0
