Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,26.758642,[41 27] ; [ 1 28],[29.44329897 38.55670103] ; [12.55670103 16.44329897],1
d3,1,4e-06,21.424129,[56 12] ; [10 19],[46.26804124 21.73195876] ; [19.73195876  9.26804124],1
d5,1,0.000452,12.304011,[58 10] ; [15 14],[51.17525773 16.82474227] ; [21.82474227  7.17525773],1
a3,1,0.006682,7.356618,[50 18] ; [13 16],[44.16494845 23.83505155] ; [18.83505155 10.16494845],0
a5,1,0.006702,7.351176,[48 20] ; [12 17],[42.06185567 25.93814433] ; [17.93814433 11.06185567],0
v2,1,0.017754,5.620285,[34 32] ; [ 7 21],[28.78723404 37.21276596] ; [12.21276596 15.78723404],0
d2,1,0.063652,3.439571,[30 38] ; [ 7 22],[25.93814433 42.06185567] ; [11.06185567 17.93814433],0
v4,1,0.06731,3.347436,[64  4] ; [23  5],[61.625  6.375] ; [25.375  2.625],0
r2,1,0.08192,3.02639,[63  4] ; [24  5],[60.71875  6.28125] ; [26.28125  2.71875],0
a4,1,0.092456,2.83109,[26 42] ; [ 6 23],[22.43298969 45.56701031] ; [ 9.56701031 19.43298969],0
p9,1,0.1213,2.400459,[53 13] ; [19 10],[50.02105263 15.97894737] ; [21.97894737  7.02105263],0
a6,1,0.123256,2.375449,[42 26] ; [13 16],[38.55670103 29.44329897] ; [16.44329897 12.55670103],0
v3,1,0.140009,2.177864,[22 45] ; [ 5 23],[19.04210526 47.95789474] ; [ 7.95789474 20.04210526],0
a7,1,0.142349,2.152376,[48 20] ; [16 13],[44.86597938 23.13402062] ; [19.13402062  9.86597938],0
u2,1,0.154248,2.029727,[10  8] ; [ 5 11],[ 7.94117647 10.05882353] ; [7.05882353 8.94117647],0
n4,1,0.162108,1.954451,[39 29] ; [21  8],[42.06185567 25.93814433] ; [17.93814433 11.06185567],0
n5,1,0.179719,1.79995,[42 26] ; [22  7],[44.86597938 23.13402062] ; [19.13402062  9.86597938],0
u3,1,0.183226,1.771266,[13  5] ; [8 8],[11.11764706  6.88235294] ; [9.88235294 6.11764706],0
b4,1,0.204946,1.606773,[40 28] ; [13 16],[37.15463918 30.84536082] ; [15.84536082 13.15463918],0
p10,1,0.215032,1.537219,[52 15] ; [19 10],[49.55208333 17.44791667] ; [21.44791667  7.55208333],0
s5,1,0.260668,1.265205,[27 37] ; [ 8 19],[24.61538462 39.38461538] ; [10.38461538 16.61538462],0
u1,1,0.284875,1.143684,[10 58] ; [ 2 27],[ 8.41237113 59.58762887] ; [ 3.58762887 25.41237113],0
a2,1,0.284875,1.143684,[10 58] ; [ 2 27],[ 8.41237113 59.58762887] ; [ 3.58762887 25.41237113],0
r3,1,0.316894,1.001722,[63  5] ; [25  4],[61.69072165  6.30927835] ; [26.30927835  2.69072165],0
r1,1,0.329787,0.949732,[49 19] ; [18 11],[46.96907216 21.03092784] ; [20.03092784  8.96907216],0
r4,1,0.355807,0.852638,[57 11] ; [22  7],[55.3814433 12.6185567] ; [23.6185567  5.3814433],0
s3,1,0.385229,0.753949,[49 19] ; [17 10],[47.24210526 20.75789474] ; [18.75789474  8.24210526],0
v1,1,0.434081,0.61188,[27 41] ; [14 15],[28.74226804 39.25773196] ; [12.25773196 16.74226804],0
b1,1,0.459804,0.546372,[24 44] ; [ 8 21],[22.43298969 45.56701031] ; [ 9.56701031 19.43298969],0
p7,1,0.483456,0.491056,[29 37] ; [15 14],[30.56842105 35.43157895] ; [13.43157895 15.56842105],0
n3,1,0.485972,0.485431,[16  6] ; [10  2],[16.82352941  5.17647059] ; [9.17647059 2.82352941],0
p12,1,0.537873,0.379497,[ 1 66] ; [ 1 28],[ 1.39583333 65.60416667] ; [ 0.60416667 28.39583333],0
p8,1,0.578848,0.308101,[19 47] ; [10 19],[20.14736842 45.85263158] ; [ 8.85263158 20.14736842],0
s1,1,0.584108,0.29964,[ 3 65] ; [ 2 26],[ 3.54166667 64.45833333] ; [ 1.45833333 26.54166667],0
p3,1,0.588161,0.293226,[25 43] ; [ 9 20],[23.83505155 44.16494845] ; [10.16494845 18.83505155],0
n6,1,0.607258,0.264188,[59  9] ; [24  5],[58.18556701  9.81443299] ; [24.81443299  4.18556701],0
s8,1,0.627794,0.235064,[27 41] ; [10 19],[25.93814433 42.06185567] ; [11.06185567 17.93814433],0
n2,1,0.676701,0.173864,[15  7] ; [9 3],[15.52941176  6.47058824] ; [8.47058824 3.52941176],0
p11,1,0.685197,0.164335,[44 24] ; [20  9],[44.86597938 23.13402062] ; [19.13402062  9.86597938],0
p2,1,0.745459,0.105386,[47 21] ; [21  8],[47.67010309 20.32989691] ; [20.32989691  8.67010309],0
b5,1,0.771505,0.084336,[42 26] ; [17 12],[41.36082474 26.63917526] ; [17.63917526 11.36082474],0
s2,1,0.774964,0.081732,[44 24] ; [16 10],[43.40425532 24.59574468] ; [16.59574468  9.40425532],0
s6,1,0.78396,0.075165,[53 13] ; [21  6],[52.51612903 13.48387097] ; [21.48387097  5.51612903],0
s7,1,0.838134,0.041731,[31 34] ; [14 14],[31.4516129 33.5483871] ; [13.5483871 14.4516129],0
p4,1,0.869779,0.026876,[27 41] ; [11 18],[26.63917526 41.36082474] ; [11.36082474 17.63917526],0
n1,1,0.885857,0.020606,[ 6 16] ; [3 9],[ 5.82352941 16.17647059] ; [3.17647059 8.82352941],0
