Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.007349,7.185614,[ 2 24] ; [5 6],[ 4.91891892 21.08108108] ; [2.08108108 8.91891892],0
p5,1,0.008907,6.841451,[ 2 23] ; [5 6],[ 4.86111111 20.13888889] ; [2.13888889 8.86111111],0
n3,1,0.015013,5.915,[9 1] ; [1 3],[7.14285714 2.85714286] ; [2.85714286 1.14285714],0
b2,1,0.021925,5.251736,[ 1 15] ; [4 5],[ 3.2 12.8] ; [1.8 7.2],0
b3,1,0.021925,5.251736,[ 1 15] ; [4 5],[ 3.2 12.8] ; [1.8 7.2],0
d5,1,0.045342,4.005869,[12 14] ; [9 2],[14.75675676 11.24324324] ; [6.24324324 4.75675676],0
p4,1,0.04852,3.8919,[15 11] ; [10  1],[17.56756757  8.43243243] ; [7.43243243 3.56756757],0
p3,1,0.056646,3.632969,[10 16] ; [8 3],[12.64864865 13.35135135] ; [5.35135135 5.64864865],0
d2,1,0.061629,3.493007,[ 6 20] ; [6 5],[ 8.43243243 17.56756757] ; [3.56756757 7.43243243],0
r4,1,0.062719,3.463997,[ 8 18] ; [7 4],[10.54054054 15.45945946] ; [4.45945946 6.54054054],0
n6,1,0.090628,2.863176,[11 15] ; [8 3],[13.35135135 12.64864865] ; [5.64864865 5.35135135],0
r1,1,0.103388,2.652483,[ 9 17] ; [7 4],[11.24324324 14.75675676] ; [4.75675676 6.24324324],0
a7,1,0.13821,2.197779,[14 12] ; [3 8],[11.94594595 14.05405405] ; [5.05405405 5.94594595],0
s6,1,0.13821,2.197779,[12 14] ; [8 3],[14.05405405 11.94594595] ; [5.94594595 5.05405405],0
d4,1,0.160008,1.974146,[15 11] ; [9 2],[16.86486486  9.13513514] ; [7.13513514 3.86486486],0
s4,1,0.160086,1.973415,[ 8 18] ; [ 1 10],[ 6.32432432 19.67567568] ; [2.67567568 8.32432432],0
v2,1,0.166439,1.914725,[ 9 17] ; [6 4],[10.83333333 15.16666667] ; [4.16666667 5.83333333],0
s8,1,0.173458,1.852805,[ 6 20] ; [5 6],[ 7.72972973 18.27027027] ; [3.27027027 7.72972973],0
n4,1,0.202152,1.626759,[13 13] ; [8 3],[14.75675676 11.24324324] ; [6.24324324 4.75675676],0
p10,1,0.22842,1.450676,[16 10] ; [9 2],[17.56756757  8.43243243] ; [7.43243243 3.56756757],0
v4,1,0.22842,1.450676,[16 10] ; [9 2],[17.56756757  8.43243243] ; [7.43243243 3.56756757],0
v1,1,0.259071,1.273713,[ 9 17] ; [6 5],[10.54054054 15.45945946] ; [4.45945946 6.54054054],0
s7,1,0.279044,1.171739,[ 6 18] ; [4 5],[ 7.27272727 16.72727273] ; [2.72727273 6.27272727],0
a5,1,0.284984,1.143166,[14 12] ; [8 3],[15.45945946 10.54054054] ; [6.54054054 4.45945946],0
b4,1,0.284984,1.143166,[12 14] ; [3 8],[10.54054054 15.45945946] ; [4.45945946 6.54054054],0
p12,1,0.347635,0.882072,[ 2 24] ; [2 9],[ 2.81081081 23.18918919] ; [1.18918919 9.81081081],0
n5,1,0.388741,0.742877,[15 11] ; [8 3],[16.16216216  9.83783784] ; [6.83783784 4.16216216],0
s2,1,0.392416,0.731442,[ 8 18] ; [5 6],[ 9.13513514 16.86486486] ; [3.86486486 7.13513514],0
u3,1,0.410117,0.678462,[5 8] ; [3 2],[5.77777778 7.22222222] ; [2.22222222 2.77777778],0
r3,1,0.430684,0.620979,[18  8] ; [9 2],[18.97297297  7.02702703] ; [8.02702703 2.97297297],0
b5,1,0.49478,0.466115,[15 11] ; [5 6],[14.05405405 11.94594595] ; [5.94594595 5.05405405],0
u1,1,0.519023,0.415834,[ 1 25] ; [ 1 10],[ 1.40540541 24.59459459] ; [ 0.59459459 10.40540541],0
s3,1,0.582716,0.301865,[12 14] ; [4 7],[11.24324324 14.75675676] ; [4.75675676 6.24324324],0
s5,1,0.587042,0.294987,[ 5 21] ; [3 8],[ 5.62162162 20.37837838] ; [2.37837838 8.62162162],0
p2,1,0.587042,0.294987,[21  5] ; [8 3],[20.37837838  5.62162162] ; [8.62162162 2.37837838],0
n1,1,0.596701,0.28,[4 6] ; [1 3],[3.57142857 6.42857143] ; [1.42857143 2.57142857],0
d3,1,0.640654,0.217887,[12 14] ; [6 5],[12.64864865 13.35135135] ; [5.35135135 5.64864865],0
a6,1,0.640654,0.217887,[14 12] ; [5 6],[13.35135135 12.64864865] ; [5.64864865 5.35135135],0
a8,1,0.646767,0.21,[ 4 21] ; [1 9],[ 3.57142857 21.42857143] ; [1.42857143 8.57142857],0
u2,1,0.647743,0.208757,[9 4] ; [4 1],[9.38888889 3.61111111] ; [3.61111111 1.38888889],0
p8,1,0.668576,0.183273,[14 11] ; [7 4],[14.58333333 10.41666667] ; [6.41666667 4.58333333],0
n2,1,0.732678,0.116667,[6 4] ; [2 2],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
a4,1,0.739693,0.110396,[ 8 18] ; [4 7],[ 8.43243243 17.56756757] ; [3.56756757 7.43243243],0
p11,1,0.785704,0.073926,[20  6] ; [8 3],[19.67567568  6.32432432] ; [8.32432432 2.67567568],0
a3,1,0.800391,0.063929,[13 13] ; [6 5],[13.35135135 12.64864865] ; [5.64864865 5.35135135],0
p9,1,0.831573,0.045234,[18  8] ; [8 3],[18.27027027  7.72972973] ; [7.72972973 3.27027027],0
s1,1,0.886721,0.020293,[ 2 24] ; [ 1 10],[ 2.10810811 23.89189189] ; [ 0.89189189 10.10810811],0
p6,1,0.918904,0.010366,[ 9 17] ; [4 7],[ 9.13513514 16.86486486] ; [3.86486486 7.13513514],0
b1,1,0.918904,0.010366,[17  9] ; [7 4],[16.86486486  9.13513514] ; [7.13513514 3.86486486],0
