Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,81.476488,[268   8] ; [13 13],[256.80794702  19.19205298] ; [24.19205298  1.80794702],1
r2,1,0.0,48.559787,[272   5] ; [18  8],[265.11551155  11.88448845] ; [24.88448845  1.11551155],1
v4,1,0.0,46.443275,[265  10] ; [16 10],[256.72757475  18.27242525] ; [24.27242525  1.72757475],1
p11,1,1.8e-05,18.385758,[206  71] ; [10 18],[196.1704918  80.8295082] ; [19.8295082  8.1704918],1
p9,1,9e-05,15.337769,[208  62] ; [12 16],[199.32885906  70.67114094] ; [20.67114094  7.32885906],1
s1,1,0.00051,12.077576,[  9 263] ; [ 5 23],[ 12.69333333 259.30666667] ; [ 1.30666667 26.69333333],1
n6,1,0.001292,10.353855,[216  60] ; [13 13],[209.28476821  66.71523179] ; [19.71523179  6.28476821],0
p8,1,0.002318,9.279123,[ 96 174] ; [ 2 26],[ 88.79194631 181.20805369] ; [ 9.20805369 18.79194631],0
p2,1,0.005139,7.829832,[204  73] ; [13 14],[197.72697368  79.27302632] ; [19.27302632  7.72697368],0
a1,1,0.005867,7.590727,[  9 268] ; [ 4 24],[ 11.80655738 265.19344262] ; [ 1.19344262 26.80655738],0
n3,1,0.018246,5.57233,[55 18] ; [ 9 10],[50.7826087 22.2173913] ; [13.2173913  5.7826087],0
p7,1,0.022365,5.217152,[134 132] ; [ 7 19],[128.44520548 137.55479452] ; [12.55479452 13.44520548],0
s8,1,0.030418,4.685536,[106 169] ; [ 5 23],[100.74257426 174.25742574] ; [10.25742574 17.74257426],0
s6,1,0.035107,4.439966,[163 109] ; [11 17],[157.76 114.24] ; [16.24 11.76],0
p3,1,0.054665,3.692265,[ 65 212] ; [ 2 25],[ 61.04934211 215.95065789] ; [ 5.95065789 21.04934211],0
a5,1,0.060523,3.522995,[196  81] ; [15 13],[191.6295082  85.3704918] ; [19.3704918  8.6295082],0
n2,1,0.064302,3.422794,[57 18] ; [11  9],[53.68421053 21.31578947] ; [14.31578947  5.68421053],0
u1,1,0.100298,2.700806,[ 41 236] ; [ 1 27],[ 38.1442623 238.8557377] ; [ 3.8557377 24.1442623],0
a6,1,0.103319,2.653556,[189  86] ; [15 13],[185.14851485  89.85148515] ; [18.85148515  9.14851485],0
p10,1,0.115841,2.47267,[195  78] ; [16 12],[191.37209302  81.62790698] ; [19.62790698  8.37209302],0
b4,1,0.131764,2.271595,[157 120] ; [20  8],[160.75081967 116.24918033] ; [16.24918033 11.75081967],0
n5,1,0.15936,1.980285,[180  95] ; [14 13],[176.65562914  98.34437086] ; [17.34437086  9.65562914],0
p6,1,0.165083,1.927035,[ 47 224] ; [ 2 26],[ 44.41137124 226.58862876] ; [ 4.58862876 23.41137124],0
v2,1,0.188722,1.727564,[145 115] ; [11 15],[141.81818182 118.18181818] ; [14.18181818 11.81818182],0
a8,1,0.204462,1.61021,[ 43 213] ; [ 2 25],[ 40.70671378 215.29328622] ; [ 4.29328622 22.70671378],0
s2,1,0.207912,1.585909,[122 152] ; [ 9 19],[118.85430464 155.14569536] ; [12.14569536 15.85430464],0
u3,1,0.232664,1.424504,[49 33] ; [4 6],[47.23913043 34.76086957] ; [5.76086957 4.23913043],0
a7,1,0.265024,1.242325,[193  84] ; [16 11],[190.4375  86.5625] ; [18.5625  8.4375],0
p5,1,0.273808,1.197572,[  9 266] ; [ 2 25],[ 10.01655629 264.98344371] ; [ 0.98344371 26.01655629],0
d3,1,0.324737,0.969771,[174 102] ; [15 13],[171.59210526 104.40789474] ; [17.40789474 10.59210526],0
p1,1,0.364743,0.821496,[ 10 265] ; [ 2 26],[ 10.89108911 264.10891089] ; [ 1.10891089 26.89108911],0
b5,1,0.377555,0.778648,[172 105] ; [15 13],[169.83278689 107.16721311] ; [17.16721311 10.83278689],0
a2,1,0.382293,0.763315,[ 59 218] ; [ 4 24],[ 57.21639344 219.78360656] ; [ 5.78360656 22.21639344],0
v1,1,0.432211,0.616875,[128 144] ; [11 17],[126.02666667 145.97333333] ; [12.97333333 15.02666667],0
b1,1,0.443176,0.588045,[108 169] ; [13 15],[109.89180328 167.10819672] ; [11.10819672 16.89180328],0
s5,1,0.445854,0.581171,[ 75 191] ; [ 6 22],[ 73.28571429 192.71428571] ; [ 7.71428571 20.28571429],0
n4,1,0.509921,0.434229,[194  82] ; [18 10],[192.47368421  83.52631579] ; [19.52631579  8.47368421],0
v3,1,0.514236,0.425438,[ 92 173] ; [ 8 20],[ 90.44368601 174.55631399] ; [ 9.55631399 18.44368601],0
s7,1,0.518389,0.417098,[109 156] ; [ 9 17],[107.45704467 157.54295533] ; [10.54295533 15.45704467],0
d5,1,0.584172,0.299538,[210  66] ; [20  8],[208.81578947  67.18421053] ; [21.18421053  6.81578947],0
s4,1,0.608212,0.262787,[ 39 235] ; [ 3 25],[ 38.10596026 235.89403974] ; [ 3.89403974 24.10596026],0
d2,1,0.615462,0.252297,[116 160] ; [10 17],[114.77227723 161.22772277] ; [11.22772277 15.77227723],0
a4,1,0.626766,0.236472,[115 161] ; [13 15],[116.21052632 159.78947368] ; [11.78947368 16.21052632],0
a3,1,0.644509,0.212893,[195  80] ; [18  9],[193.95695364  81.04304636] ; [19.04304636  7.95695364],0
d1,1,0.84118,0.040154,[144 133] ; [14 14],[143.49508197 133.50491803] ; [14.50491803 13.49508197],0
n1,1,0.878901,0.023214,[31 43] ; [ 8 12],[30.70212766 43.29787234] ; [ 8.29787234 11.70212766],0
b3,1,0.90517,0.014193,[53 99] ; [ 5 10],[52.79041916 99.20958084] ; [5.20958084 9.79041916],0
b2,1,0.90517,0.014193,[53 99] ; [ 5 10],[52.79041916 99.20958084] ; [5.20958084 9.79041916],0
s3,1,0.929167,0.007902,[144 129] ; [14 13],[143.78 129.22] ; [14.22 12.78],0
u2,1,0.943754,0.004978,[44 37] ; [5 4],[44.1 36.9] ; [4.9 4.1],0
d4,1,0.960527,0.002449,[223  52] ; [22  5],[223.09602649  51.90397351] ; [21.90397351  5.09602649],0
