Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,25.230336,[111  22] ; [21 25],[98.07821229 34.92178771] ; [33.92178771 12.07821229],1
p9,1,8.9e-05,15.347499,[120  16] ; [28 17],[111.20441989  24.79558011] ; [36.79558011  8.20441989],1
n5,1,0.000691,11.512337,[98 38] ; [21 26],[88.43715847 47.56284153] ; [30.56284153 16.43715847],1
n4,1,0.002507,9.135525,[95 42] ; [21 26],[86.36956522 50.63043478] ; [29.63043478 17.36956522],0
s8,1,0.008246,6.97921,[52 85] ; [ 8 39],[44.67391304 92.32608696] ; [15.32608696 31.67391304],0
b1,1,0.014406,5.987718,[48 89] ; [26 21],[55.09782609 81.90217391] ; [18.90217391 28.09782609],0
s6,1,0.016982,5.698187,[81 53] ; [18 27],[74.11173184 59.88826816] ; [24.88826816 20.11173184],0
p2,1,0.018385,5.559112,[106  28] ; [29 18],[99.94475138 34.05524862] ; [35.05524862 11.94475138],0
p8,1,0.021085,5.319746,[64 70] ; [13 33],[57.32222222 76.67777778] ; [19.67777778 26.32222222],0
d5,1,0.062557,3.468256,[103  34] ; [28 18],[98.07103825 38.92896175] ; [32.92896175 13.07103825],0
a3,1,0.074491,3.181189,[86 51] ; [22 24],[80.85245902 56.14754098] ; [27.14754098 18.85245902],0
b4,1,0.078836,3.088735,[87 50] ; [23 24],[81.90217391 55.09782609] ; [28.09782609 18.90217391],0
s7,1,0.098598,2.728071,[54 77] ; [12 32],[49.40571429 81.59428571] ; [16.59428571 27.40571429],0
b5,1,0.103526,2.650366,[84 53] ; [35 12],[88.60326087 48.39673913] ; [30.39673913 16.60326087],0
s4,1,0.104992,2.628036,[ 23 114] ; [13 34],[ 26.80434783 110.19565217] ; [ 9.19565217 37.80434783],0
d4,1,0.108114,2.581569,[104  33] ; [30 17],[99.77173913 37.22826087] ; [34.22826087 12.77173913],0
a6,1,0.119531,2.423453,[82 55] ; [22 25],[77.43478261 59.56521739] ; [26.56521739 20.43478261],0
n3,1,0.135579,2.227434,[35 10] ; [10  7],[32.66129032 12.33870968] ; [12.33870968  4.66129032],0
p6,1,0.142993,2.145455,[48 84] ; [11 34],[44. 88.] ; [15. 30.],0
n6,1,0.187539,1.736848,[114  23] ; [35 12],[110.94021739  26.05978261] ; [38.05978261  8.94021739],0
s5,1,0.215873,1.531594,[ 29 100] ; [14 30],[32.06358382 96.93641618] ; [10.93641618 33.06358382],0
v1,1,0.227407,1.457009,[56 75] ; [15 31],[52.5480226 78.4519774] ; [18.4519774 27.5480226],0
a7,1,0.270194,1.21576,[87 50] ; [25 21],[83.84699454 53.15300546] ; [28.15300546 17.84699454],0
p5,1,0.290952,1.115212,[ 16 119] ; [ 3 44],[ 14.09340659 120.90659341] ; [ 4.90659341 42.09340659],0
a5,1,0.304196,1.055707,[76 61] ; [22 25],[72.9673913 64.0326087] ; [25.0326087 21.9673913],0
d1,1,0.317219,1.000377,[61 76] ; [17 30],[58.07608696 78.92391304] ; [19.92391304 27.07608696],0
v3,1,0.326256,0.963702,[42 91] ; [11 35],[39.37988827 93.62011173] ; [13.62011173 32.37988827],0
v2,1,0.348072,0.880475,[61 71] ; [18 29],[58.25698324 73.74301676] ; [20.74301676 26.25698324],0
p4,1,0.348645,0.878384,[70 66] ; [20 26],[67.25274725 68.74725275] ; [22.74725275 23.25274725],0
u2,1,0.349881,0.873887,[25 26] ; [ 9 15],[23.12 27.88] ; [10.88 13.12],0
d2,1,0.374641,0.788213,[48 88] ; [20 27],[50.53551913 85.46448087] ; [17.46448087 29.53551913],0
