Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,90.623881,[41 65] ; [301  54],[78.63774403 27.36225597] ; [263.36225597  91.63774403],1
d3,1,0.0,65.230445,[71 35] ; [339  17],[94.06926407 11.93073593] ; [315.93073593  40.06926407],1
a2,1,0.0,27.96156,[15 91] ; [151 207],[37.92241379 68.07758621] ; [128.07758621 229.92241379],1
u1,1,1e-06,24.635015,[ 9 97] ; [118 240],[29.01293103 76.98706897] ; [ 97.98706897 260.01293103],1
b1,1,3e-05,17.416946,[55 51] ; [107 251],[37.00862069 68.99137931] ; [124.99137931 233.00862069],1
b5,1,6.4e-05,15.974663,[49 57] ; [242 116],[66.47844828 39.52155172] ; [224.52155172 133.47844828],1
r1,1,0.004597,8.031599,[81 25] ; [311  44],[90.13449024 15.86550976] ; [301.86550976  53.13449024],0
v4,1,0.007325,7.191495,[99  7] ; [349   6],[103.01084599   2.98915401] ; [344.98915401  10.01084599],0
d2,1,0.0262,4.942767,[85 21] ; [246 110],[75.94372294 30.05627706] ; [255.05627706 100.94372294],0
p10,1,0.029534,4.736224,[91 14] ; [334  24],[96.38228942  8.61771058] ; [328.61771058  29.38228942],0
s5,1,0.0388,4.269601,[49 52] ; [126 214],[40.07936508 60.92063492] ; [134.92063492 205.07936508],0
a4,1,0.062722,3.463899,[71 35] ; [203 154],[62.7300216 43.2699784] ; [211.2699784 145.7300216],0
p12,1,0.068788,3.311706,[ 6 98] ; [ 43 315],[11.03030303 92.96969697] ; [ 37.96969697 320.03030303],0
r2,1,0.06914,3.30333,[99  5] ; [347   6],[101.49671772   2.50328228] ; [344.50328228   8.49671772],0
n4,1,0.07136,3.251465,[93 12] ; [290  68],[86.8574514 18.1425486] ; [296.1425486  61.8574514],0
u3,1,0.085608,2.955082,[6 8] ; [47 23],[8.83333333 5.16666667] ; [44.16666667 25.83333333],0
r4,1,0.107377,2.592405,[95 11] ; [337  21],[98.68965517  7.31034483] ; [333.31034483  24.68965517],0
u2,1,0.107907,2.584615,[6 8] ; [46 24],[8.66666667 5.33333333] ; [43.33333333 26.66666667],0
v2,1,0.113098,2.510383,[58 45] ; [222 120],[64.80898876 38.19101124] ; [215.19101124 126.80898876],0
p5,1,0.147581,2.097075,[19 85] ; [ 45 310],[14.50108932 89.49891068] ; [ 49.49891068 305.50108932],0
a3,1,0.163302,1.943382,[92 14] ; [288  68],[87.18614719 18.81385281] ; [292.81385281  63.18614719],0
