Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,44.968696,[243  33] ; [12 18],[230.  46.] ; [25.  5.],1
r2,1,0.0,29.505297,[264  10] ; [19  8],[257.61461794  16.38538206] ; [25.38538206  1.61461794],1
p2,1,3e-06,22.086289,[205  70] ; [10 20],[193.85245902  81.14754098] ; [21.14754098  8.85245902],1
p10,1,1.3e-05,19.083338,[202  68] ; [11 19],[191.7  78.3] ; [21.3  8.7],1
r3,1,1.8e-05,18.343018,[256  18] ; [21  9],[249.66447368  24.33552632] ; [27.33552632  2.66447368],1
r1,1,0.000203,13.801522,[213  61] ; [14 16],[204.59868421  69.40131579] ; [22.40131579  7.59868421],1
p9,1,0.00031,13.008357,[209  57] ; [14 15],[201.0779661  64.9220339] ; [21.9220339  7.0779661],1
s6,1,0.001182,10.518836,[160 111] ; [ 8 21],[151.76 119.24] ; [16.24 12.76],0
n6,1,0.001735,9.811206,[217  58] ; [16 14],[210.08196721  64.91803279] ; [22.91803279  7.08196721],0
p7,1,0.002493,9.145953,[129 134] ; [ 6 24],[121.1774744 141.8225256] ; [13.8225256 16.1774744],0
b1,1,0.005832,7.601639,[ 95 181] ; [18 12],[101.92156863 174.07843137] ; [11.07843137 18.92156863],0
b5,1,0.018494,5.548714,[188  88] ; [14 16],[182.19607843  93.80392157] ; [19.80392157 10.19607843],0
p8,1,0.027821,4.839097,[ 91 178] ; [ 4 25],[ 85.75503356 183.24496644] ; [ 9.24496644 19.75503356],0
s2,1,0.029407,4.743637,[121 154] ; [ 7 23],[115.40983607 159.59016393] ; [12.59016393 17.40983607],0
v1,1,0.029655,4.729173,[122 148] ; [ 7 22],[116.48829431 153.51170569] ; [12.51170569 16.48829431],0
s8,1,0.041713,4.146822,[107 168] ; [ 6 24],[101.8852459 173.1147541] ; [11.1147541 18.8852459],0
b4,1,0.060642,3.519751,[163 113] ; [23  7],[167.76470588 108.23529412] ; [18.23529412 11.76470588],0
d3,1,0.065627,3.389133,[192  83] ; [16 14],[187.54098361  87.45901639] ; [20.45901639  9.54098361],0
a6,1,0.07258,3.223686,[191  84] ; [16 14],[186.63934426  88.36065574] ; [20.36065574  9.63934426],0
v3,1,0.097026,2.75376,[ 93 172] ; [ 6 24],[ 88.93220339 176.06779661] ; [10.06779661 19.93220339],0
n5,1,0.097171,2.751366,[179  95] ; [15 15],[174.85526316  99.14473684] ; [19.14473684 10.85526316],0
a8,1,0.10842,2.577104,[ 32 221] ; [ 7 23],[ 34.86572438 218.13427562] ; [ 4.13427562 25.86572438],0
n2,1,0.120523,2.410507,[62 28] ; [5 6],[59.7029703 30.2970297] ; [7.2970297 3.7029703],0
v2,1,0.133592,2.250257,[141 118] ; [12 18],[137.11764706 121.88235294] ; [15.88235294 14.11764706],0
p6,1,0.149065,2.081793,[ 45 223] ; [ 2 28],[ 42.26845638 225.73154362] ; [ 4.73154362 25.26845638],0
a1,1,0.173275,1.854379,[ 12 264] ; [ 3 27],[ 13.52941176 262.47058824] ; [ 1.47058824 28.52941176],0
p11,1,0.175851,1.832342,[190  86] ; [17 13],[186.70588235  89.29411765] ; [20.29411765  9.70588235],0
a2,1,0.177538,1.818115,[ 67 209] ; [ 4 26],[ 64.03921569 211.96078431] ; [ 6.96078431 23.03921569],0
n1,1,0.183647,1.767857,[30 58] ; [6 5],[32. 56.] ; [4. 7.],0
d2,1,0.189884,1.718515,[135 139] ; [18 11],[138.35643564 135.64356436] ; [14.64356436 14.35643564],0
u3,1,0.208881,1.579167,[39 34] ; [2 5],[37.4125 35.5875] ; [3.5875 3.4125],0
a7,1,0.298275,1.081889,[199  76] ; [19 11],[196.55737705  78.44262295] ; [21.44262295  8.55737705],0
a5,1,0.313619,1.015372,[199  77] ; [19 11],[196.62745098  79.37254902] ; [21.37254902  8.62745098],0
s7,1,0.316692,1.002559,[105 161] ; [ 8 19],[102.58703072 163.41296928] ; [10.41296928 16.58703072],0
p3,1,0.361737,0.831854,[ 66 208] ; [ 5 25],[ 63.99342105 210.00657895] ; [ 7.00657895 22.99342105],0
s4,1,0.431147,0.619732,[ 42 231] ; [ 3 27],[ 40.54455446 232.45544554] ; [ 4.45544554 25.54455446],0
u4,1,0.439499,0.597591,[  4 272] ; [ 1 29],[  4.50980392 271.49019608] ; [ 0.49019608 29.50980392],0
s5,1,0.490024,0.476473,[ 70 193] ; [ 6 23],[ 68.45205479 194.54794521] ; [ 7.54794521 21.45205479],0
u1,1,0.501281,0.452223,[ 40 236] ; [ 3 27],[ 38.78431373 237.21568627] ; [ 4.21568627 25.78431373],0
u2,1,0.519569,0.414749,[40 32] ; [3 4],[39.18987342 32.81012658] ; [3.81012658 3.18987342],0
n3,1,0.567551,0.326797,[62 28] ; [6 4],[61.2 28.8] ; [6.8 3.2],0
n4,1,0.576756,0.311509,[188  87] ; [22  8],[189.3442623  85.6557377] ; [20.6557377  9.3442623],0
b2,1,0.654442,0.200346,[52 97] ; [ 8 12],[52.89940828 96.10059172] ; [ 7.10059172 12.89940828],0
b3,1,0.654442,0.200346,[52 97] ; [ 8 12],[52.89940828 96.10059172] ; [ 7.10059172 12.89940828],0
d1,1,0.65496,0.199704,[177  99] ; [18 12],[175.88235294 100.11764706] ; [19.11764706 10.88235294],0
d4,1,0.667563,0.184466,[240  35] ; [27  3],[240.73770492  34.26229508] ; [26.26229508  3.73770492],0
a3,1,0.735242,0.114353,[203  72] ; [23  7],[203.7704918  71.2295082] ; [22.2295082  7.7704918],0
p1,1,0.787305,0.072799,[ 15 259] ; [ 2 28],[ 15.32236842 258.67763158] ; [ 1.67763158 28.32236842],0
a4,1,0.844365,0.038539,[129 147] ; [13 16],[128.49836066 147.50163934] ; [13.50163934 15.49836066],0
s3,1,0.874461,0.024962,[137 138] ; [14 15],[136.59539474 138.40460526] ; [14.40460526 14.59539474],0
p5,1,0.926989,0.008397,[ 10 263] ; [ 1 29],[  9.91089109 263.08910891] ; [ 1.08910891 28.91089109],0
s1,1,0.994319,5.1e-05,[  9 263] ; [ 1 29],[  9.00662252 262.99337748] ; [ 0.99337748 29.00662252],0
