Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,6e-06,20.407307,[158 144] ; [ 7 37],[144.01734104 157.98265896] ; [20.98265896 23.01734104],1
s7,1,9e-06,19.668374,[239  62] ; [22 23],[227.05491329  73.94508671] ; [33.94508671 11.05491329],1
s8,1,0.000351,12.778986,[210 102] ; [19 28],[199.01949861 112.98050139] ; [29.98050139 17.01949861],1
s3,1,0.000416,12.456991,[280  30] ; [34 13],[272.66106443  37.33893557] ; [41.33893557  5.66106443],1
p4,1,0.002408,9.20895,[221  90] ; [23 24],[211.96648045  99.03351955] ; [32.03351955 14.96648045],0
n6,1,0.004843,7.937319,[290  22] ; [37  9],[284.98324022  27.01675978] ; [42.01675978  3.98324022],0
p9,1,0.005952,7.564805,[280  30] ; [36 11],[274.3977591  35.6022409] ; [41.6022409  5.3977591],0
d5,1,0.018289,5.568236,[267  44] ; [34 13],[261.48324022  49.51675978] ; [39.51675978  7.48324022],0
r3,1,0.027601,4.852846,[301  11] ; [42  5],[298.09470752  13.90529248] ; [44.90529248  2.09470752],0
v4,1,0.034483,4.470584,[304   8] ; [43  4],[301.57103064  10.42896936] ; [45.42896936  1.57103064],0
r4,1,0.038276,4.292702,[294  20] ; [40  7],[290.51523546  23.48476454] ; [43.48476454  3.51523546],0
a2,1,0.046369,3.96814,[ 98 216] ; [ 8 39],[ 92.19944598 221.80055402] ; [13.80055402 33.19944598],0
b3,1,0.047184,3.938816,[ 77 128] ; [16 12],[ 81.82403433 123.17596567] ; [11.17596567 16.82403433],0
b2,1,0.047184,3.938816,[ 77 128] ; [16 12],[ 81.82403433 123.17596567] ; [11.17596567 16.82403433],0
d1,1,0.06692,3.356991,[216  98] ; [26 21],[210.49307479 103.50692521] ; [31.50692521 15.49307479],0
p6,1,0.079499,3.075105,[147 161] ; [16 31],[141.41971831 166.58028169] ; [21.58028169 25.41971831],0
p8,1,0.085035,2.965946,[173 136] ; [20 27],[167.51966292 141.48033708] ; [25.48033708 21.51966292],0
u1,1,0.095984,2.771031,[ 82 232] ; [ 7 40],[ 77.41274238 236.58725762] ; [11.58725762 35.41274238],0
a3,1,0.120839,2.406416,[250  62] ; [33 14],[245.94986072  66.05013928] ; [37.05013928  9.94986072],0
d2,1,0.166354,1.915497,[179 132] ; [22 25],[174.61173184 136.38826816] ; [26.38826816 20.61173184],0
p12,1,0.205115,1.605574,[ 40 272] ; [ 3 44],[ 37.37047354 274.62952646] ; [ 5.62952646 41.37047354],0
u3,1,0.224608,1.474688,[43 21] ; [7 7],[41.02564103 22.97435897] ; [8.97435897 5.02564103],0
b5,1,0.260764,1.264695,[194 120] ; [25 22],[190.48753463 123.51246537] ; [28.51246537 18.48753463],0
v1,1,0.263223,1.251724,[185 119] ; [24 22],[181.53142857 122.46857143] ; [27.46857143 18.53142857],0
r2,1,0.266095,1.236769,[300  10] ; [43  3],[298.67977528  11.32022472] ; [44.32022472  1.67977528],0
n2,1,0.286785,1.134652,[42 10] ; [8 4],[40.625 11.375] ; [9.375 2.625],0
a4,1,0.304035,1.056411,[165 148] ; [21 26],[161.71666667 151.28333333] ; [24.28333333 22.71666667],0
s4,1,0.347425,0.882841,[ 64 244] ; [ 7 40],[ 61.6 246.4] ; [ 9.4 37.6],0
u2,1,0.349082,0.876793,[40 23] ; [7 7],[38.45454545 24.54545455] ; [8.54545455 5.45454545],0
r1,1,0.353465,0.860977,[270  44] ; [38  9],[267.90027701  46.09972299] ; [40.09972299  6.90027701],0
p1,1,0.400655,0.706361,[ 32 279] ; [ 3 44],[ 30.40502793 280.59497207] ; [ 4.59497207 42.40502793],0
p10,1,0.425069,0.636259,[273  40] ; [39  8],[271.26666667  41.73333333] ; [40.73333333  6.26666667],0
u4,1,0.505124,0.444156,[ 13 301] ; [ 1 46],[ 12.17728532 301.82271468] ; [ 1.82271468 45.17728532],0
p3,1,0.506551,0.441185,[179 133] ; [24 22],[176.91620112 135.08379888] ; [26.08379888 19.91620112],0
b1,1,0.510269,0.433516,[131 183] ; [22 25],[133.08033241 180.91966759] ; [19.91966759 27.08033241],0
a8,1,0.511809,0.430367,[ 46 240] ; [ 9 36],[ 47.52265861 238.47734139] ; [ 7.47734139 37.52265861],0
a1,1,0.519635,0.414618,[ 19 295] ; [ 4 43],[ 20.00554017 293.99445983] ; [ 2.99445983 44.00554017],0
p7,1,0.540445,0.374716,[207  96] ; [30 17],[205.17428571  97.82571429] ; [31.82571429 15.17428571],0
p2,1,0.596097,0.280923,[268  44] ; [39  8],[266.80779944  45.19220056] ; [40.19220056  6.80779944],0
n5,1,0.647537,0.209019,[280  33] ; [41  6],[279.09166667  33.90833333] ; [41.90833333  5.09166667],0
a5,1,0.679505,0.170684,[248  65] ; [36 11],[246.92222222  66.07777778] ; [37.07777778  9.92222222],0
n1,1,0.688343,0.160885,[25 27] ; [5 7],[24.375 27.625] ; [5.625 6.375],0
a7,1,0.703117,0.145249,[224  88] ; [35 12],[225.09192201  86.90807799] ; [33.90807799 13.09192201],0
b4,1,0.73241,0.116911,[182 132] ; [26 21],[180.91966759 133.08033241] ; [27.08033241 19.91966759],0
a6,1,0.740402,0.109773,[199 111] ; [29 18],[197.98319328 112.01680672] ; [30.01680672 16.98319328],0
n3,1,0.781637,0.076832,[38 14] ; [9 4],[37.6 14.4] ; [9.4 3.6],0
v2,1,0.789666,0.071152,[182 122] ; [26 19],[181.18051576 122.81948424] ; [26.81948424 18.18051576],0
d3,1,0.832786,0.044576,[223  88] ; [33 14],[222.39106145  88.60893855] ; [33.60893855 13.39106145],0
d4,1,0.870518,0.026569,[273  37] ; [41  6],[272.66106443  37.33893557] ; [41.33893557  5.66106443],0
p11,1,0.91127,0.012418,[256  58] ; [38  9],[255.72299169  58.27700831] ; [38.27700831  8.72299169],0
v3,1,0.914686,0.011477,[142 161] ; [21 23],[142.3314121 160.6685879] ; [20.6685879 23.3314121],0
s1,1,0.946212,0.004551,[ 19 291] ; [ 3 44],[ 19.10364146 290.89635854] ; [ 2.89635854 44.10364146],0
