Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.228489,[22  5] ; [27 67],[10.9338843 16.0661157] ; [38.0661157 55.9338843],1
p5,1,9e-06,19.797207,[10 21] ; [ 4 96],[ 3.3129771 27.6870229] ; [10.6870229 89.3129771],1
s2,1,3.5e-05,17.101424,[20 11] ; [24 75],[10.49230769 20.50769231] ; [33.50769231 65.49230769],1
s6,1,0.000182,14.012167,[25  4] ; [47 53],[16.18604651 12.81395349] ; [55.81395349 44.18604651],1
p6,1,0.002941,8.843559,[16 15] ; [23 75],[ 9.37209302 21.62790698] ; [29.62790698 68.37209302],0
s8,1,0.004989,7.883478,[16 14] ; [26 74],[ 9.69230769 20.30769231] ; [32.30769231 67.69230769],0
p8,1,0.00978,6.674454,[20 10] ; [39 59],[13.828125 16.171875] ; [45.171875 52.828125],0
p7,1,0.023274,5.147974,[23  8] ; [50 48],[17.54263566 13.45736434] ; [55.45736434 42.54263566],0
s4,1,0.039352,4.245606,[ 9 22] ; [13 86],[ 5.24615385 25.75384615] ; [16.75384615 82.24615385],0
u1,1,0.051269,3.79947,[ 3 28] ; [ 2 98],[ 1.18320611 29.81679389] ; [ 3.81679389 96.18320611],0
v4,1,0.075312,3.163265,[30  1] ; [83 15],[27.15503876  3.84496124] ; [85.84496124 12.15503876],0
s1,1,0.075898,3.150621,[ 4 27] ; [ 4 94],[ 1.92248062 29.07751938] ; [ 6.07751938 91.92248062],0
r1,1,0.094349,2.798566,[25  6] ; [64 35],[21.22307692  9.77692308] ; [67.77692308 31.22307692],0
r2,1,0.096903,2.755795,[30  1] ; [85 14],[27.42307692  3.57692308] ; [87.57692308 11.42307692],0
n5,1,0.099766,2.709276,[30  1] ; [86 14],[27.45038168  3.54961832] ; [88.54961832 11.45038168],0
v2,1,0.146206,2.11139,[16 14] ; [36 58],[12.58064516 17.41935484] ; [39.41935484 54.58064516],0
b1,1,0.147525,2.097662,[16 15] ; [37 63],[12.54198473 18.45801527] ; [40.45801527 59.54198473],0
r4,1,0.156371,2.008972,[27  4] ; [75 25],[24.13740458  6.86259542] ; [77.86259542 22.13740458],0
b5,1,0.178523,1.809881,[15 16] ; [62 38],[18.22137405 12.77862595] ; [58.77862595 41.22137405],0
n2,1,0.178529,1.809829,[9 1] ; [17  8],[7.42857143 2.57142857] ; [18.57142857  6.42857143],0
a6,1,0.216525,1.527256,[16 15] ; [64 36],[18.93129771 12.06870229] ; [61.06870229 38.93129771],0
s3,1,0.228536,1.449948,[18 12] ; [46 51],[15.11811024 14.88188976] ; [48.88188976 48.11811024],0
u3,1,0.229421,1.444444,[8 7] ; [18 32],[6. 9.] ; [20. 30.],0
p4,1,0.240362,1.378472,[18 13] ; [46 54],[15.14503817 15.85496183] ; [48.85496183 51.14503817],0
p10,1,0.244475,1.354602,[24  7] ; [65 33],[21.3875969  9.6124031] ; [67.6124031 30.3875969],0
p1,1,0.255243,1.294377,[ 7 24] ; [14 86],[ 4.96946565 26.03053435] ; [16.03053435 83.96946565],0
p9,1,0.257969,1.279621,[24  6] ; [68 30],[21.5625  8.4375] ; [70.4375 27.5625],0
