Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3e-06,21.574371,[112  19] ; [87 57],[94.79636364 36.20363636] ; [104.20363636  39.79636364],1
s6,1,2.2e-05,18.047191,[123   7] ; [109  34],[110.47619048  19.52380952] ; [121.52380952  21.47619048],1
s4,1,0.000368,12.686533,[38 93] ; [ 17 127],[ 26.2 104.8] ; [ 28.8 115.2],1
p5,1,0.004912,7.9117,[37 95] ; [ 20 121],[ 27.56043956 104.43956044] ; [ 29.43956044 111.56043956],0
s3,1,0.007523,7.143727,[105  25] ; [95 48],[95.23809524 34.76190476] ; [104.76190476  38.23809524],0
p6,1,0.012456,6.24471,[82 49] ; [68 75],[71.71532847 59.28467153] ; [78.28467153 64.71532847],0
v3,1,0.012699,6.210624,[72 58] ; [55 82],[61.83520599 68.16479401] ; [65.16479401 71.83520599],0
p7,1,0.01575,5.830628,[110  20] ; [103  39],[101.80147059  28.19852941] ; [111.19852941  30.80147059],0
d5,1,0.043768,4.065498,[117  14] ; [116  28],[110.99272727  20.00727273] ; [122.00727273  21.99272727],0
p9,1,0.055476,3.667734,[125   7] ; [127  17],[120.52173913  11.47826087] ; [131.47826087  12.52173913],0
a4,1,0.059667,3.546627,[75 57] ; [65 78],[67.2 64.8] ; [72.8 70.2],0
n2,1,0.066242,3.373775,[25  5] ; [16 10],[21.96428571  8.03571429] ; [19.03571429  6.96428571],0
d1,1,0.073562,3.201705,[95 37] ; [89 55],[88. 44.] ; [96. 48.],0
v1,1,0.088968,2.892946,[87 45] ; [77 61],[80.17777778 51.82222222] ; [83.82222222 54.17777778],0
r4,1,0.097501,2.745952,[126   6] ; [130  14],[122.43478261   9.56521739] ; [133.56521739  10.43478261],0
d4,1,0.113084,2.510578,[117  14] ; [119  25],[112.42181818  18.57818182] ; [123.57818182  20.42181818],0
d3,1,0.132954,2.257672,[108  24] ; [107  37],[102.82608696  29.17391304] ; [112.17391304  31.82608696],0
s8,1,0.140425,2.173299,[96 35] ; [93 50],[90.36131387 40.63868613] ; [98.63868613 44.36131387],0
p8,1,0.147428,2.098662,[91 41] ; [86 56],[85.27007299 46.72992701] ; [91.72992701 50.27007299],0
p10,1,0.166921,1.910385,[119  12] ; [123  21],[115.28  15.72] ; [126.72  17.28],0
v2,1,0.167338,1.906626,[84 48] ; [77 62],[78.42066421 53.57933579] ; [82.57933579 56.42066421],0
p3,1,0.196297,1.66971,[98 34] ; [96 47],[93.12 38.88] ; [100.88  42.12],0
n6,1,0.229295,1.445232,[121   9] ; [128  16],[118.13868613  11.86131387] ; [130.86131387  13.13868613],0
a5,1,0.233094,1.421883,[111  21] ; [113  31],[107.13043478  24.86956522] ; [116.86956522  27.13043478],0
r3,1,0.250348,1.32136,[129   3] ; [137   7],[127.2173913   4.7826087] ; [138.7826087   5.2173913],0
b5,1,0.258989,1.274155,[69 63] ; [85 59],[73.65217391 58.34782609] ; [80.34782609 63.65217391],0
u1,1,0.265653,1.239057,[37 95] ; [ 32 112],[33. 99.] ; [ 36. 108.],0
u4,1,0.304126,1.056015,[  4 128] ; [  8 136],[  5.73913043 126.26086957] ; [  6.26086957 137.73913043],0
a6,1,0.306556,1.045455,[84 48] ; [100  44],[88. 44.] ; [96. 48.],0
r1,1,0.307534,1.041236,[114  16] ; [120  24],[111.02189781  18.97810219] ; [122.97810219  21.02189781],0
p1,1,0.309154,1.034288,[ 18 113] ; [ 14 129],[ 15.29927007 115.70072993] ; [ 16.70072993 126.29927007],0
b1,1,0.315202,1.008751,[49 83] ; [62 82],[53.08695652 78.91304348] ; [57.91304348 86.08695652],0
a2,1,0.316352,1.003968,[44 88] ; [ 40 104],[40.17391304 91.82608696] ; [ 43.82608696 100.17391304],0
a3,1,0.333703,0.934476,[112  20] ; [115  28],[108.96  23.04] ; [118.04  24.96],0
p2,1,0.344493,0.893638,[124   8] ; [130  13],[121.92  10.08] ; [132.08  10.92],0
