Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000325,12.922483,[10 13] ; [62 14],[16.72727273  6.27272727] ; [55.27272727 20.72727273],1
d2,1,0.001138,10.588193,[ 3 20] ; [39 37],[ 9.75757576 13.24242424] ; [32.24242424 43.75757576],0
a6,1,0.003306,8.630215,[ 8 15] ; [53 24],[14.03  8.97] ; [46.97 30.03],0
r3,1,0.019458,5.459878,[10 13] ; [54 23],[14.72  8.28] ; [49.28 27.72],0
a7,1,0.022439,5.21139,[ 9 14] ; [50 26],[13.70707071  9.29292929] ; [45.29292929 30.70707071],0
r1,1,0.028002,4.82792,[ 7 16] ; [43 33],[11.61616162 11.38383838] ; [38.38383838 37.61616162],0
u3,1,0.032654,4.563831,[ 1 12] ; [11 16],[3.9 9.1] ; [ 8.1 18.9],0
d3,1,0.033748,4.50741,[ 8 15] ; [45 30],[12.43877551 10.56122449] ; [40.56122449 34.43877551],0
d5,1,0.041205,4.167546,[10 13] ; [51 25],[14.17171717  8.82828283] ; [46.82828283 29.17171717],0
d1,1,0.04163,4.150198,[ 5 18] ; [35 42],[ 9.2 13.8] ; [30.8 46.2],0
b1,1,0.042385,4.119751,[16  7] ; [35 42],[11.73 11.27] ; [39.27 37.73],0
a5,1,0.046055,3.979566,[ 8 15] ; [45 32],[12.19 10.81] ; [40.81 36.19],0
a8,1,0.051733,3.784374,[ 3 19] ; [ 2 68],[ 1.19565217 20.80434783] ; [ 3.80434783 66.19565217],0
p8,1,0.053022,3.743231,[ 2 20] ; [22 53],[ 5.44329897 16.55670103] ; [18.55670103 56.44329897],0
p6,1,0.06316,3.452405,[ 1 20] ; [17 58],[ 3.9375 17.0625] ; [14.0625 60.9375],0
a3,1,0.071689,3.243926,[10 12] ; [50 25],[13.60824742  8.39175258] ; [46.39175258 28.60824742],0
p10,1,0.112191,2.523087,[ 5 17] ; [31 44],[ 8.16494845 13.83505155] ; [27.83505155 47.16494845],0
v2,1,0.112796,2.514599,[ 3 19] ; [23 52],[ 5.89690722 16.10309278] ; [20.10309278 54.89690722],0
b4,1,0.148202,2.090663,[15  8] ; [37 40],[11.96 11.04] ; [40.04 36.96],0
a2,1,0.151129,2.060817,[ 2 21] ; [17 60],[ 4.37 18.63] ; [14.63 62.37],0
n6,1,0.197082,1.663866,[ 8 14] ; [40 37],[10.66666667 11.33333333] ; [37.33333333 39.66666667],0
a4,1,0.20161,1.630672,[ 6 17] ; [31 45],[ 8.5959596 14.4040404] ; [28.4040404 47.5959596],0
n1,1,0.204621,1.609084,[ 3 10] ; [11 14],[4.78947368 8.21052632] ; [ 9.21052632 15.78947368],0
s4,1,0.245252,1.350149,[ 1 22] ; [10 67],[ 2.53 20.47] ; [ 8.47 68.53],0
n2,1,0.257362,1.282895,[5 8] ; [15 11],[6.66666667 6.33333333] ; [13.33333333 12.66666667],0
v1,1,0.269835,1.217588,[ 4 19] ; [22 54],[ 6.04040404 16.95959596] ; [19.95959596 56.04040404],0
p9,1,0.280878,1.162835,[ 7 14] ; [34 39],[ 9.15957447 11.84042553] ; [31.84042553 41.15957447],0
n5,1,0.368136,0.809947,[11 12] ; [45 32],[12.88 10.12] ; [43.12 33.88],0
n4,1,0.368136,0.809947,[11 12] ; [45 32],[12.88 10.12] ; [43.12 33.88],0
s8,1,0.374299,0.789342,[ 1 22] ; [ 8 69],[ 2.07 20.93] ; [ 6.93 70.07],0
u2,1,0.377282,0.779539,[ 3 10] ; [10 17],[4.225 8.775] ; [ 8.775 18.225],0
p7,1,0.400125,0.707952,[ 6 17] ; [27 49],[ 7.66666667 15.33333333] ; [25.33333333 50.66666667],0
n3,1,0.428602,0.626609,[5 8] ; [12 11],[6.13888889 6.86111111] ; [10.86111111 12.13888889],0
p3,1,0.434632,0.610414,[ 4 18] ; [20 56],[ 5.3877551 16.6122449] ; [18.6122449 57.3877551],0
a1,1,0.439994,0.596298,[ 3 20] ; [ 6 71],[ 2.07 20.93] ; [ 6.93 70.07],0
s1,1,0.439994,0.596298,[ 3 20] ; [ 6 71],[ 2.07 20.93] ; [ 6.93 70.07],0
s3,1,0.565247,0.3307,[ 5 17] ; [22 54],[ 6.06122449 15.93877551] ; [20.93877551 55.06122449],0
p2,1,0.583462,0.300671,[10 13] ; [38 38],[11.15151515 11.84848485] ; [36.84848485 39.15151515],0
p4,1,0.632661,0.22847,[ 6 17] ; [16 59],[ 5.16326531 17.83673469] ; [16.83673469 58.16326531],0
d4,1,0.665425,0.187,[14  9] ; [50 26],[14.86868687  8.13131313] ; [49.13131313 26.86868687],0
b5,1,0.697987,0.150574,[13 10] ; [47 30],[13.8  9.2] ; [46.2 30.8],0
s2,1,0.764584,0.08968,[ 3 20] ; [12 65],[ 3.45 19.55] ; [11.55 65.45],0
s7,1,0.839576,0.04098,[ 3 17] ; [12 59],[ 3.2967033 16.7032967] ; [11.7032967 59.2967033],0
b3,1,0.869092,0.027163,[ 6 10] ; [13 24],[ 5.73584906 10.26415094] ; [13.26415094 23.73584906],0
b2,1,0.869092,0.027163,[ 6 10] ; [13 24],[ 5.73584906 10.26415094] ; [13.26415094 23.73584906],0
p1,1,0.87009,0.026747,[ 1 22] ; [ 4 73],[ 1.15 21.85] ; [ 3.85 73.15],0
