Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.000693,11.506621,[48 15] ; [ 8 14],[41.50588235 21.49411765] ; [14.49411765  7.50588235],1
b5,1,0.004107,8.235755,[47 16] ; [ 9 13],[41.50588235 21.49411765] ; [14.49411765  7.50588235],0
v4,1,0.008732,6.876864,[59  4] ; [16  6],[55.58823529  7.41176471] ; [19.41176471  2.58823529],0
d3,1,0.037153,4.343365,[49 14] ; [12 10],[45.21176471 17.78823529] ; [15.78823529  6.21176471],0
n4,1,0.040774,4.185368,[44 19] ; [10 12],[40.02352941 22.97647059] ; [13.97647059  8.02352941],0
s7,1,0.042625,4.110224,[30 31] ; [ 5 16],[26.03658537 34.96341463] ; [ 8.96341463 12.03658537],0
s1,1,0.048694,3.885876,[ 3 60] ; [ 4 18],[ 5.18823529 57.81176471] ; [ 1.81176471 20.18823529],0
n2,1,0.08648,2.938709,[17  3] ; [5 4],[15.17241379  4.82758621] ; [6.82758621 2.17241379],0
a6,1,0.087264,2.924144,[39 24] ; [ 9 13],[35.57647059 27.42352941] ; [12.42352941  9.57647059],0
s3,1,0.098056,2.736875,[38 24] ; [ 9 13],[34.69047619 27.30952381] ; [12.30952381  9.69047619],0
r3,1,0.101762,2.677705,[59  4] ; [18  4],[57.07058824  5.92941176] ; [19.92941176  2.07058824],0
s8,1,0.138942,2.189638,[25 37] ; [ 5 17],[22.14285714 39.85714286] ; [ 7.85714286 14.14285714],0
b3,1,0.145023,2.123832,[13 32] ; [7 7],[15.25423729 29.74576271] ; [4.74576271 9.25423729],0
b2,1,0.145023,2.123832,[13 32] ; [7 7],[15.25423729 29.74576271] ; [4.74576271 9.25423729],0
p7,1,0.148696,2.085581,[37 26] ; [ 9 13],[34.09411765 28.90588235] ; [11.90588235 10.09411765],0
r4,1,0.155875,2.013792,[52 11] ; [15  7],[49.65882353 13.34117647] ; [17.34117647  4.65882353],0
p11,1,0.195533,1.675425,[33 30] ; [ 8 14],[30.38823529 32.61176471] ; [10.61176471 11.38823529],0
v1,1,0.196604,1.667423,[27 36] ; [ 6 16],[24.45882353 38.54117647] ; [ 8.54117647 13.45882353],0
p9,1,0.243378,1.360922,[26 37] ; [ 6 16],[23.71764706 39.28235294] ; [ 8.28235294 13.71764706],0
n6,1,0.264616,1.244444,[47 16] ; [13  8],[45. 18.] ; [15.  6.],0
r1,1,0.28457,1.145134,[45 18] ; [13  9],[42.98823529 20.01176471] ; [15.01176471  6.98823529],0
s5,1,0.285938,1.138648,[13 47] ; [ 7 14],[14.81481481 45.18518519] ; [ 5.18518519 15.81481481],0
d1,1,0.298002,1.083112,[32 31] ; [14  8],[34.09411765 28.90588235] ; [11.90588235 10.09411765],0
s2,1,0.300944,1.070006,[30 31] ; [ 8 14],[27.92771084 33.07228916] ; [10.07228916 11.92771084],0
a5,1,0.360461,0.836285,[39 24] ; [16  6],[40.76470588 22.23529412] ; [14.23529412  7.76470588],0
p1,1,0.363886,0.824438,[ 7 56] ; [ 1 21],[ 5.92941176 57.07058824] ; [ 2.07058824 19.92941176],0
u3,1,0.378556,0.775385,[14 12] ; [7 3],[15.16666667 10.83333333] ; [5.83333333 4.16666667],0
u1,1,0.386077,0.751263,[14 49] ; [ 3 19],[12.6 50.4] ; [ 4.4 17.6],0
