Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000502,12.106368,[ 4 12] ; [74 32],[10.2295082  5.7704918] ; [67.7704918 38.2295082],1
p2,1,0.003499,8.527298,[10  6] ; [95 11],[13.7704918  2.2295082] ; [91.2295082 14.7704918],0
b3,1,0.038722,4.273016,[6 1] ; [29 36],[3.40277778 3.59722222] ; [31.59722222 33.40277778],0
b2,1,0.038722,4.273016,[6 1] ; [29 36],[3.40277778 3.59722222] ; [31.59722222 33.40277778],0
s3,1,0.049378,3.86244,[ 4 11] ; [57 49],[7.56198347 7.43801653] ; [53.43801653 52.56198347],0
a6,1,0.070439,3.272752,[13  3] ; [61 45],[9.70491803 6.29508197] ; [64.29508197 41.70491803],0
b1,1,0.071868,3.239831,[ 4 12] ; [52 54],[7.3442623 8.6557377] ; [48.6557377 57.3442623],0
r1,1,0.087411,2.921418,[9 7] ; [81 25],[11.80327869  4.19672131] ; [78.19672131 27.80327869],0
p5,1,0.100659,2.69507,[ 1 15] ; [26 80],[ 3.54098361 12.45901639] ; [23.45901639 82.54098361],0
n5,1,0.117308,2.452896,[10  6] ; [84 21],[12.42975207  3.57024793] ; [81.57024793 23.42975207],0
s5,1,0.155046,2.021888,[ 3 11] ; [42 60],[5.43103448 8.56896552] ; [39.56896552 62.43103448],0
p9,1,0.166764,1.911794,[15  1] ; [84 22],[12.98360656  3.01639344] ; [86.01639344 19.98360656],0
n2,1,0.179767,1.799546,[1 2] ; [20  8],[2.03225806 0.96774194] ; [18.96774194  9.03225806],0
p4,1,0.180239,1.795654,[9 7] ; [77 29],[11.27868852  4.72131148] ; [74.72131148 31.27868852],0
a7,1,0.183775,1.766827,[13  3] ; [67 37],[10.66666667  5.33333333] ; [69.33333333 34.66666667],0
u3,1,0.190583,1.713103,[6 2] ; [23 23],[4.2962963 3.7037037] ; [24.7037037 21.2962963],0
d3,1,0.232044,1.42829,[9 7] ; [42 62],[6.8 9.2] ; [44.2 59.8],0
s8,1,0.247849,1.335387,[ 5 11] ; [49 56],[7.14049587 8.85950413] ; [46.85950413 58.14049587],0
n6,1,0.272501,1.204113,[12  4] ; [90 15],[13.48760331  2.51239669] ; [88.51239669 16.48760331],0
b5,1,0.29048,1.117395,[12  4] ; [65 41],[10.09836066  5.90163934] ; [66.90163934 39.09836066],0
b4,1,0.291171,1.114199,[11  5] ; [58 48],[9.04918033 6.95081967] ; [59.95081967 46.04918033],0
p10,1,0.307449,1.041604,[11  5] ; [84 21],[12.56198347  3.43801653] ; [82.43801653 22.56198347],0
u2,1,0.326229,0.963809,[6 2] ; [26 20],[4.74074074 3.25925926] ; [27.25925926 18.74074074],0
p1,1,0.340983,0.906731,[ 1 15] ; [16 90],[ 2.2295082 13.7704918] ; [14.7704918 91.2295082],0
