Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3e-06,21.976242,[36  7] ; [21 36],[24.51 18.49] ; [32.49 24.51],1
s5,1,6e-06,20.400871,[25 13] ; [11 45],[14.55319149 23.44680851] ; [21.44680851 34.55319149],1
s7,1,1.1e-05,19.349292,[31  7] ; [19 35],[20.65217391 17.34782609] ; [29.34782609 24.65217391],1
s6,1,0.000145,14.429814,[37  3] ; [32 24],[28.75 11.25] ; [40.25 15.75],1
a8,1,0.001822,9.720507,[10 27] ; [ 2 49],[ 5.04545455 31.95454545] ; [ 6.95454545 44.04545455],0
p9,1,0.002731,8.978948,[36  6] ; [31 23],[29.3125 12.6875] ; [37.6875 16.3125],0
r4,1,0.002787,8.942211,[40  3] ; [39 18],[33.97  9.03] ; [45.03 11.97],0
p10,1,0.00393,8.315671,[32  9] ; [27 28],[25.19791667 15.80208333] ; [33.80208333 21.19791667],0
d5,1,0.004698,7.992244,[39  4] ; [38 19],[33.11  9.89] ; [43.89 13.11],0
p6,1,0.006092,7.52283,[20 23] ; [11 43],[13.74226804 29.25773196] ; [17.25773196 36.74226804],0
s3,1,0.00769,7.104319,[30 13] ; [24 32],[23.45454545 19.54545455] ; [30.54545455 25.45454545],0
v4,1,0.008875,6.847788,[42  1] ; [45 11],[37.78787879  5.21212121] ; [49.21212121  6.78787879],0
u1,1,0.012887,6.18461,[13 30] ; [ 6 51],[ 8.17 34.83] ; [10.83 46.17],0
d2,1,0.016572,5.741162,[27 16] ; [22 35],[21.07 21.93] ; [27.93 29.07],0
p4,1,0.020418,5.37583,[27 16] ; [22 34],[21.28282828 21.71717172] ; [27.71717172 28.28282828],0
d1,1,0.022592,5.199605,[28 15] ; [24 33],[22.36 20.64] ; [29.64 27.36],0
r3,1,0.026221,4.941353,[41  2] ; [44 11],[37.29591837  5.70408163] ; [47.70408163  7.29591837],0
u3,1,0.045817,3.988321,[9 2] ; [11 13],[6.28571429 4.71428571] ; [13.71428571 10.28571429],0
v2,1,0.048668,3.886778,[29 13] ; [27 28],[24.24742268 17.75257732] ; [31.75257732 23.24742268],0
n5,1,0.051956,3.777189,[33  9] ; [33 22],[28.57731959 13.42268041] ; [37.42268041 17.57731959],0
r1,1,0.056475,3.638,[36  6] ; [38 17],[32.04123711  9.95876289] ; [41.95876289 13.04123711],0
a6,1,0.057239,3.61562,[30 13] ; [29 28],[25.37 17.63] ; [33.63 23.37],0
u2,1,0.06187,3.486522,[7 3] ; [ 8 15],[4.54545455 5.45454545] ; [10.45454545 12.54545455],0
p5,1,0.07897,3.085973,[ 7 36] ; [ 3 52],[ 4.3877551 38.6122449] ; [ 5.6122449 49.3877551],0
n6,1,0.089675,2.880194,[32  9] ; [34 21],[28.1875 12.8125] ; [37.8125 17.1875],0
p1,1,0.131085,2.279605,[ 7 35] ; [ 4 53],[ 4.66666667 37.33333333] ; [ 6.33333333 50.66666667],0
a3,1,0.13393,2.246345,[32 11] ; [33 22],[28.52040816 14.47959184] ; [36.47959184 18.52040816],0
p3,1,0.151345,2.05864,[23 20] ; [21 33],[19.50515464 23.49484536] ; [24.49484536 29.50515464],0
p2,1,0.165556,1.922729,[35  8] ; [38 17],[32.03061224 10.96938776] ; [40.96938776 14.03061224],0
a5,1,0.170584,1.8778,[32 11] ; [35 22],[28.81 14.19] ; [38.19 18.81],0
r2,1,0.172316,1.862682,[42  1] ; [51  5],[40.39393939  2.60606061] ; [52.60606061  3.39393939],0
b4,1,0.193906,1.687691,[26 17] ; [27 30],[22.79 20.21] ; [30.21 26.79],0
n1,1,0.197703,1.659259,[7 5] ; [ 7 13],[5.25 6.75] ; [ 8.75 11.25],0
a4,1,0.201034,1.634845,[24 19] ; [24 32],[20.84848485 22.15151515] ; [27.15151515 28.84848485],0
d3,1,0.20116,1.63393,[33 10] ; [37 20],[30.1 12.9] ; [39.9 17.1],0
d4,1,0.230329,1.43883,[36  7] ; [42 15],[33.54  9.46] ; [44.46 12.54],0
v3,1,0.246388,1.343667,[19 21] ; [20 36],[16.25 23.75] ; [22.75 33.25],0
b5,1,0.263923,1.248063,[31 12] ; [35 22],[28.38 14.62] ; [37.62 19.38],0
n2,1,0.264122,1.247021,[10  2] ; [13  7],[8.625 3.375] ; [14.375  5.625],0
s1,1,0.264173,1.246753,[ 2 40] ; [ 6 48],[ 3.5 38.5] ; [ 4.5 49.5],0
n4,1,0.269521,1.219182,[30 11] ; [35 21],[27.4742268 13.5257732] ; [37.5257732 18.4742268],0
a2,1,0.276867,1.182404,[14 29] ; [13 44],[11.61 31.39] ; [15.39 41.61],0
p7,1,0.334046,0.933148,[24 18] ; [25 28],[21.66315789 20.33684211] ; [27.33684211 25.66315789],0
s4,1,0.346071,0.88781,[10 33] ; [ 9 48],[ 8.17 34.83] ; [10.83 46.17],0
u4,1,0.400517,0.706774,[ 2 41] ; [ 1 56],[ 1.29 41.71] ; [ 1.71 55.29],0
a1,1,0.423957,0.63932,[ 2 41] ; [ 5 52],[ 3.01 39.99] ; [ 3.99 53.01],0
p8,1,0.485214,0.487122,[17 26] ; [18 37],[15.35714286 27.64285714] ; [19.64285714 35.35714286],0
b1,1,0.507295,0.439643,[24 19] ; [28 29],[22.36 20.64] ; [29.64 27.36],0
n3,1,0.760705,0.092754,[9 3] ; [14  6],[8.625 3.375] ; [14.375  5.625],0
b2,1,0.764956,0.089389,[ 8 18] ; [ 8 15],[ 8.48979592 17.51020408] ; [ 7.51020408 15.48979592],0
b3,1,0.764956,0.089389,[ 8 18] ; [ 8 15],[ 8.48979592 17.51020408] ; [ 7.51020408 15.48979592],0
a7,1,0.941996,0.005294,[31 12] ; [40 16],[30.83838384 12.16161616] ; [40.16161616 15.83838384],0
