Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,3e-06,21.694868,[ 17 103] ; [36 47],[31.33004926 88.66995074] ; [21.66995074 61.33004926],1
v1,1,1.8e-05,18.385422,[27 94] ; [43 41],[41.31707317 79.68292683] ; [28.68292683 55.31707317],1
r3,1,0.000195,13.88132,[90 32] ; [79  5],[100.08737864  21.91262136] ; [68.91262136 15.08737864],1
d5,1,0.001134,10.595485,[79 44] ; [72 13],[89.29326923 33.70673077] ; [61.70673077 23.29326923],0
a7,1,0.001265,10.392233,[70 53] ; [66 18],[80.8115942 42.1884058] ; [55.1884058 28.8115942],0
d1,1,0.001813,9.729507,[44 79] ; [49 36],[54.99519231 68.00480769] ; [38.00480769 46.99519231],0
r1,1,0.003666,8.442465,[70 53] ; [65 20],[79.83173077 43.16826923] ; [55.16826923 29.83173077],0
r4,1,0.007266,7.206031,[77 46] ; [68 17],[85.74519231 37.25480769] ; [59.25480769 25.74519231],0
d4,1,0.007681,7.10634,[82 41] ; [70 14],[90.31884058 32.68115942] ; [61.68115942 22.31884058],0
d3,1,0.019115,5.490986,[67 56] ; [60 25],[75.10096154 47.89903846] ; [51.89903846 33.10096154],0
p4,1,0.028566,4.793594,[30 92] ; [33 52],[37.13043478 84.86956522] ; [25.86956522 59.13043478],0
p11,1,0.029182,4.756858,[70 53] ; [61 24],[77.46634615 45.53365385] ; [53.53365385 31.46634615],0
p10,1,0.036476,4.374699,[62 59] ; [56 29],[69.31067961 51.68932039] ; [48.68932039 36.31067961],0
s6,1,0.037709,4.318089,[35 88] ; [36 49],[41.98557692 81.01442308] ; [29.01442308 55.98557692],0
p2,1,0.040731,4.187151,[65 58] ; [57 28],[72.14423077 50.85576923] ; [49.85576923 35.14423077],0
r2,1,0.065734,3.386446,[99 23] ; [76  8],[103.6407767  18.3592233] ; [71.3592233 12.6407767],0
n1,1,0.067113,3.352262,[20 26] ; [ 6 21],[16.38356164 29.61643836] ; [ 9.61643836 17.38356164],0
a6,1,0.070363,3.274539,[78 45] ; [64 21],[83.97115385 39.02884615] ; [58.02884615 26.97115385],0
n5,1,0.070501,3.271308,[84 39] ; [47 37],[77.84057971 45.15942029] ; [53.15942029 30.84057971],0
b1,1,0.086956,2.929839,[52 71] ; [26 59],[46.125 76.875] ; [31.875 53.125],0
p9,1,0.105516,2.620131,[71 49] ; [59 25],[76.47058824 43.52941176] ; [53.52941176 30.47058824],0
n6,1,0.109792,2.557217,[83 40] ; [66 19],[88.11057692 34.88942308] ; [60.88942308 24.11057692],0
v4,1,0.122035,2.391005,[96 26] ; [74 11],[100.19323671  21.80676329] ; [69.80676329 15.19323671],0
a5,1,0.124653,2.357859,[71 52] ; [58 27],[76.28365385 46.71634615] ; [52.71634615 32.28365385],0
u2,1,0.125919,2.342113,[20 31] ; [16 12],[23.24050633 27.75949367] ; [12.75949367 15.24050633],0
