Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6e-06,20.367056,[230  28] ; [71 31],[215.71666667  42.28333333] ; [85.28333333 16.71666667],1
s3,1,0.000534,11.994517,[205  54] ; [64 40],[191.93112948  67.06887052] ; [77.06887052 26.93112948],1
s2,1,0.000563,11.896016,[205  56] ; [64 41],[191.82786885  69.17213115] ; [77.17213115 27.82786885],1
v1,1,0.001613,9.945135,[162  92] ; [47 56],[148.70028011 105.29971989] ; [60.29971989 42.70028011],0
n1,1,0.025122,5.015488,[30 24] ; [ 6 16],[25.57894737 28.42105263] ; [10.42105263 11.57894737],0
p12,1,0.036918,4.354193,[ 35 226] ; [ 6 98],[ 29.31780822 231.68219178] ; [11.68219178 92.31780822],0
v3,1,0.040166,4.210865,[127 125] ; [40 64],[118.21348315 133.78651685] ; [48.78651685 55.21348315],0
b2,1,0.042591,4.111559,[ 86 101] ; [22 47],[ 78.890625 108.109375] ; [29.109375 39.890625],0
b3,1,0.042591,4.111559,[ 86 101] ; [22 47],[ 78.890625 108.109375] ; [29.109375 39.890625],0
s5,1,0.06586,3.383314,[125 125] ; [40 62],[117.1875 132.8125] ; [47.8125 54.1875],0
p9,1,0.071382,3.250959,[250  12] ; [95 10],[246.29427793  15.70572207] ; [98.70572207  6.29427793],0
n5,1,0.071786,3.241694,[221  40] ; [79 24],[215.10989011  45.89010989] ; [84.89010989 18.10989011],0
p5,1,0.078126,3.103457,[ 49 208] ; [12 93],[ 43.30662983 213.69337017] ; [17.69337017 87.30662983],0
v4,1,0.091052,2.85568,[254   6] ; [97  6],[251.40495868   8.59504132] ; [99.59504132  3.40495868],0
d1,1,0.095012,2.78733,[174  88] ; [60 45],[167.05177112  94.94822888] ; [66.94822888 38.05177112],0
a3,1,0.099508,2.713417,[222  39] ; [81 23],[216.66575342  44.33424658] ; [86.33424658 17.66575342],0
