Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,38.848595,[12 26] ; [196  50],[27.83098592 10.16901408] ; [180.16901408  65.83098592],1
s3,1,0.0,28.495801,[13 25] ; [186  57],[26.91103203 11.08896797] ; [172.08896797  70.91103203],1
s7,1,0.0,28.160272,[10 27] ; [169  67],[24.26007326 12.73992674] ; [154.73992674  81.26007326],1
r4,1,0.000128,14.665053,[32  7] ; [239   8],[36.95454545  2.04545455] ; [234.04545455  12.95454545],1
s8,1,0.00107,10.703088,[13 26] ; [150  95],[22.38380282 16.61619718] ; [140.61619718 104.38380282],0
p9,1,0.001221,10.458155,[28 10] ; [222  21],[33.80782918  4.19217082] ; [216.19217082  26.80782918],0
s4,1,0.005013,7.874728,[ 3 36] ; [ 70 172],[10.1316726 28.8683274] ; [ 62.8683274 179.1316726],0
b5,1,0.006596,7.379727,[13 26] ; [140 107],[20.86363636 18.13636364] ; [132.13636364 114.86363636],0
p4,1,0.022186,5.231104,[19 19] ; [168  76],[25.19858156 12.80141844] ; [161.80141844  82.19858156],0
n5,1,0.025471,4.991556,[25 14] ; [197  49],[30.37894737  8.62105263] ; [191.62105263  54.37894737],0
v4,1,0.041388,4.160042,[35  3] ; [242   5],[36.93333333  1.06666667] ; [240.06666667   6.93333333],0
p6,1,0.099169,2.718853,[13 25] ; [118 125],[17.71530249 20.28469751] ; [113.28469751 129.71530249],0
n6,1,0.10842,2.577104,[32  7] ; [221  23],[34.86572438  4.13427562] ; [218.13427562  25.86572438],0
a2,1,0.133459,2.251805,[ 7 32] ; [ 73 174],[10.90909091 28.09090909] ; [ 69.09090909 177.90909091],0
p8,1,0.139283,2.185863,[18 20] ; [146  97],[22.17793594 15.82206406] ; [141.82206406 101.17793594],0
a5,1,0.144136,2.133235,[28 11] ; [202  45],[31.36363636  7.63636364] ; [198.63636364  48.36363636],0
p12,1,0.156844,2.004396,[ 2 36] ; [ 33 214],[ 4.66666667 33.33333333] ; [ 30.33333333 216.66666667],0
b1,1,0.188255,1.731217,[19 20] ; [ 93 154],[15.27272727 23.72727273] ; [ 96.72727273 150.27272727],0
d3,1,0.219404,1.508268,[25 14] ; [181  65],[28.18947368 10.81052632] ; [177.81052632  68.18947368],0
a3,1,0.228385,1.450892,[27 11] ; [196  50],[29.83802817  8.16197183] ; [193.16197183  52.83802817],0
r1,1,0.245064,1.351225,[31  8] ; [212  33],[33.36971831  5.63028169] ; [209.63028169  35.36971831],0
p10,1,0.262391,1.2561,[30  7] ; [215  30],[32.14539007  4.85460993] ; [212.85460993  32.14539007],0
a1,1,0.271014,1.211609,[ 1 38] ; [ 18 229],[ 2.59090909 36.40909091] ; [ 16.40909091 230.59090909],0
u3,1,0.280611,1.16413,[6 6] ; [34 17],[7.61904762 4.38095238] ; [32.38095238 18.61904762],0
n3,1,0.305149,1.051556,[7 1] ; [40 17],[5.78461538 2.21538462] ; [41.21538462 15.78461538],0
p7,1,0.3183,0.995919,[24 13] ; [174  65],[26.54347826 10.45652174] ; [171.45652174  67.54347826],0
b4,1,0.332377,0.939615,[27 12] ; [151  96],[24.27272727 14.72727273] ; [153.72727273  93.27272727],0
n2,1,0.407247,0.686823,[6 2] ; [50  8],[6.78787879 1.21212121] ; [49.21212121  8.78787879],0
b3,1,0.409376,0.680611,[13 13] ; [62 88],[11.07954545 14.92045455] ; [63.92045455 86.07954545],0
b2,1,0.409376,0.680611,[13 13] ; [62 88],[11.07954545 14.92045455] ; [63.92045455 86.07954545],0
a8,1,0.425271,0.635705,[ 3 31] ; [ 31 194],[ 4.46332046 29.53667954] ; [ 29.53667954 195.46332046],0
u1,1,0.443521,0.587156,[ 7 32] ; [ 58 189],[ 8.86363636 30.13636364] ; [ 56.13636364 190.86363636],0
p3,1,0.46301,0.538608,[20 18] ; [145 101],[22.07746479 15.92253521] ; [142.92253521 103.07746479],0
n1,1,0.478501,0.502278,[5 3] ; [28 29],[4.06153846 3.93846154] ; [28.93846154 28.06153846],0
a4,1,0.480706,0.497261,[18 21] ; [129 118],[20.04545455 18.95454545] ; [126.95454545 120.04545455],0
v2,1,0.50928,0.435547,[25 14] ; [141 100],[23.12142857 15.87857143] ; [142.87857143  98.12142857],0
s1,1,0.59105,0.288708,[ 1 37] ; [ 11 232],[ 1.6227758 36.3772242] ; [ 10.3772242 232.6227758],0
d4,1,0.593604,0.284751,[32  6] ; [214  31],[33.03180212  4.96819788] ; [212.96819788  32.03180212],0
a7,1,0.596292,0.280625,[25 13] ; [173  74],[26.4 11.6] ; [171.6  75.4],0
