Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.063431,3.445312,[1 1] ; [ 1 15],[0.22222222 1.77777778] ; [ 1.77777778 14.22222222],0
p1,1,0.086791,2.93291,[2 4] ; [ 3 32],[0.73170732 5.26829268] ; [ 4.26829268 30.73170732],0
s1,1,0.086791,2.93291,[2 4] ; [ 3 32],[0.73170732 5.26829268] ; [ 4.26829268 30.73170732],0
s7,1,0.120794,2.406989,[2 3] ; [ 4 28],[0.81081081 4.18918919] ; [ 5.18918919 26.81081081],0
b2,1,0.152053,2.05153,[2 1] ; [ 6 17],[0.92307692 2.07692308] ; [ 7.07692308 15.92307692],0
b3,1,0.152053,2.05153,[2 1] ; [ 6 17],[0.92307692 2.07692308] ; [ 7.07692308 15.92307692],0
s6,1,0.165613,1.922208,[3 3] ; [ 8 27],[1.6097561 4.3902439] ; [ 9.3902439 25.6097561],0
n2,1,0.200933,1.635577,[1 5] ; [7 8],[2.28571429 3.71428571] ; [5.71428571 9.28571429],0
b4,1,0.223946,1.478905,[2 4] ; [21 14],[3.36585366 2.63414634] ; [19.63414634 15.36585366],0
s3,1,0.246235,1.344538,[3 3] ; [ 9 25],[1.8 4.2] ; [10.2 23.8],0
p3,1,0.355168,0.854906,[2 4] ; [ 6 29],[1.17073171 4.82926829] ; [ 6.82926829 28.17073171],0
s2,1,0.355168,0.854906,[2 4] ; [ 6 29],[1.17073171 4.82926829] ; [ 6.82926829 28.17073171],0
d4,1,0.375434,0.785601,[3 3] ; [24 11],[3.95121951 2.04878049] ; [23.04878049 11.95121951],0
d1,1,0.4603,0.545165,[3 3] ; [12 23],[2.19512195 3.80487805] ; [12.80487805 22.19512195],0
p11,1,0.462786,0.539149,[1 5] ; [11 24],[1.75609756 4.24390244] ; [10.24390244 24.75609756],0
b1,1,0.489199,0.478287,[4 2] ; [18 17],[3.2195122 2.7804878] ; [18.7804878 16.2195122],0
a4,1,0.492717,0.470588,[3 3] ; [12 22],[2.25 3.75] ; [12.75 21.25],0
v2,1,0.54313,0.369769,[1 5] ; [10 25],[1.6097561 4.3902439] ; [ 9.3902439 25.6097561],0
n4,1,0.550836,0.355821,[3 3] ; [22 13],[3.65853659 2.34146341] ; [21.34146341 13.65853659],0
p6,1,0.554916,0.348584,[1 5] ; [ 3 31],[0.6 5.4] ; [ 3.4 30.6],0
d3,1,0.572333,0.318795,[2 4] ; [16 19],[2.63414634 3.36585366] ; [15.36585366 19.63414634],0
r3,1,0.572333,0.318795,[2 4] ; [16 19],[2.63414634 3.36585366] ; [15.36585366 19.63414634],0
a3,1,0.622251,0.242716,[4 2] ; [19 15],[3.45 2.55] ; [19.55 14.45],0
p4,1,0.63349,0.227358,[1 5] ; [ 9 26],[1.46341463 4.53658537] ; [ 8.53658537 26.46341463],0
r4,1,0.63349,0.227358,[1 5] ; [ 9 26],[1.46341463 4.53658537] ; [ 8.53658537 26.46341463],0
d5,1,0.645962,0.211029,[3 3] ; [21 14],[3.51219512 2.48780488] ; [20.48780488 14.51219512],0
r1,1,0.661746,0.19141,[2 4] ; [15 20],[2.48780488 3.51219512] ; [14.51219512 20.48780488],0
n3,1,0.675706,0.175,[3 3] ; [6 9],[2.57142857 3.42857143] ; [6.42857143 8.57142857],0
v1,1,0.710531,0.137747,[1 5] ; [ 8 26],[1.35 4.65] ; [ 7.65 26.35],0
s5,1,0.717146,0.131243,[1 5] ; [ 4 31],[0.73170732 5.26829268] ; [ 4.26829268 30.73170732],0
p2,1,0.735004,0.114567,[1 5] ; [ 8 27],[1.31707317 4.68292683] ; [ 7.68292683 27.31707317],0
p7,1,0.735004,0.114567,[1 5] ; [ 8 27],[1.31707317 4.68292683] ; [ 7.68292683 27.31707317],0
n1,1,0.776258,0.080769,[2 4] ; [6 9],[2.28571429 3.71428571] ; [5.71428571 9.28571429],0
p9,1,0.824778,0.04902,[1 5] ; [ 7 27],[1.2 4.8] ; [ 6.8 27.2],0
n5,1,0.948428,0.004184,[3 3] ; [18 17],[3.07317073 2.92682927] ; [17.92682927 17.07317073],0
a5,1,0.948428,0.004184,[3 3] ; [18 17],[3.07317073 2.92682927] ; [17.92682927 17.07317073],0
b5,1,0.948428,0.004184,[3 3] ; [18 17],[3.07317073 2.92682927] ; [17.92682927 17.07317073],0
r2,1,0.960173,0.002494,[3 2] ; [20 14],[2.94871795 2.05128205] ; [20.05128205 13.94871795],0
n6,1,0.962298,0.002235,[2 4] ; [11 23],[1.95 4.05] ; [11.05 22.95],0
d2,1,1.0,0.0,[3 3] ; [17 17],[3. 3.] ; [17. 17.],0
v3,1,1.0,0.0,[1 4] ; [ 7 28],[1. 4.] ; [ 7. 28.],0
