Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.007989,7.035897,[ 3 10] ; [11  4],[6.5 6.5] ; [7.5 7.5],0
d4,1,0.013433,6.111195,[5 8] ; [14  3],[8.23333333 4.76666667] ; [10.76666667  6.23333333],0
a5,1,0.013433,6.111195,[5 8] ; [14  3],[8.23333333 4.76666667] ; [10.76666667  6.23333333],0
n3,1,0.052958,3.745238,[6 2] ; [1 4],[4.30769231 3.69230769] ; [2.69230769 2.30769231],0
r3,1,0.055205,3.675897,[7 6] ; [13  2],[9.28571429 3.71428571] ; [10.71428571  4.28571429],0
s2,1,0.062942,3.45812,[5 8] ; [11  4],[7.42857143 5.57142857] ; [8.57142857 6.42857143],0
p8,1,0.078467,3.096374,[5 8] ; [12  5],[7.36666667 5.63333333] ; [9.63333333 7.36666667],0
d5,1,0.086679,2.934993,[8 5] ; [15  2],[9.96666667 3.03333333] ; [13.03333333  3.96666667],0
a6,1,0.087725,2.915629,[6 7] ; [13  4],[8.23333333 4.76666667] ; [10.76666667  6.23333333],0
p4,1,0.091335,2.850679,[7 6] ; [14  3],[9.1 3.9] ; [11.9  5.1],0
d1,1,0.098015,2.737557,[ 3 10] ; [9 8],[5.2 7.8] ; [ 6.8 10.2],0
a2,1,0.140548,2.171946,[ 1 12] ; [ 5 12],[ 2.6 10.4] ; [ 3.4 13.6],0
v2,1,0.151825,2.053819,[5 7] ; [11  5],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
u2,1,0.164264,1.934524,[6 1] ; [3 3],[4.84615385 2.15384615] ; [4.15384615 1.84615385],0
d3,1,0.176076,1.830439,[4 8] ; [10  7],[5.79310345 6.20689655] ; [8.20689655 8.79310345],0
v1,1,0.180101,1.796791,[3 9] ; [8 8],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
s7,1,0.188206,1.731602,[5 6] ; [10  4],[6.6 4.4] ; [8.4 5.6],0
n6,1,0.192703,1.696833,[7 6] ; [13  4],[8.66666667 4.33333333] ; [11.33333333  5.66666667],0
p11,1,0.201421,1.632044,[8 5] ; [14  3],[9.53333333 3.46666667] ; [12.46666667  4.53333333],0
a4,1,0.224592,1.474786,[4 9] ; [9 8],[5.63333333 7.36666667] ; [7.36666667 9.63333333],0
p10,1,0.233297,1.420648,[7 6] ; [12  4],[8.51724138 4.48275862] ; [10.48275862  5.51724138],0
p5,1,0.248749,1.330317,[ 1 12] ; [ 4 13],[ 2.16666667 10.83333333] ; [ 2.83333333 14.16666667],0
s3,1,0.255623,1.292308,[5 8] ; [9 6],[6.5 6.5] ; [7.5 7.5],0
n1,1,0.279401,1.17,[4 4] ; [1 4],[3.07692308 4.92307692] ; [1.92307692 3.07692308],0
a3,1,0.309564,1.032534,[6 7] ; [11  6],[7.36666667 5.63333333] ; [9.63333333 7.36666667],0
n4,1,0.345702,0.889173,[7 6] ; [12  5],[8.23333333 4.76666667] ; [10.76666667  6.23333333],0
b1,1,0.345702,0.889173,[7 6] ; [12  5],[8.23333333 4.76666667] ; [10.76666667  6.23333333],0
p9,1,0.399747,0.709086,[9 4] ; [14  3],[9.96666667 3.03333333] ; [13.03333333  3.96666667],0
b2,1,0.494125,0.467532,[3 4] ; [3 8],[2.33333333 4.66666667] ; [3.66666667 7.33333333],0
b3,1,0.494125,0.467532,[3 4] ; [3 8],[2.33333333 4.66666667] ; [3.66666667 7.33333333],0
v3,1,0.624321,0.239841,[ 3 10] ; [ 5 11],[3.5862069 9.4137931] ; [ 4.4137931 11.5862069],0
s4,1,0.624321,0.239841,[ 3 10] ; [ 5 11],[3.5862069 9.4137931] ; [ 4.4137931 11.5862069],0
r1,1,0.624321,0.239841,[ 3 10] ; [ 5 11],[3.5862069 9.4137931] ; [ 4.4137931 11.5862069],0
r2,1,0.63749,0.222039,[9 3] ; [10  5],[8.44444444 3.55555556] ; [10.55555556  4.44444444],0
b4,1,0.637717,0.22174,[5 8] ; [8 9],[5.63333333 7.36666667] ; [7.36666667 9.63333333],0
b5,1,0.656787,0.19745,[9 4] ; [13  4],[9.53333333 3.46666667] ; [12.46666667  4.53333333],0
u3,1,0.735317,0.114286,[2 5] ; [1 4],[1.75 5.25] ; [1.25 3.75],0
p2,1,0.772561,0.083536,[11  2] ; [15  2],[11.26666667  1.73333333] ; [14.73333333  2.26666667],0
s8,1,0.773675,0.082697,[5 8] ; [7 9],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
n5,1,0.774826,0.081835,[10  3] ; [13  3],[10.31034483  2.68965517] ; [12.68965517  3.31034483],0
a7,1,0.785144,0.074323,[7 6] ; [10  7],[7.36666667 5.63333333] ; [9.63333333 7.36666667],0
v4,1,0.826824,0.047863,[10  3] ; [11  4],[9.75 3.25] ; [11.25  3.75],0
a1,1,0.843876,0.038785,[ 1 12] ; [ 1 16],[ 0.86666667 12.13333333] ; [ 1.13333333 15.86666667],0
u1,1,0.869125,0.027149,[ 2 11] ; [ 3 14],[ 2.16666667 10.83333333] ; [ 2.83333333 14.16666667],0
d2,1,0.880438,0.022624,[5 8] ; [ 7 10],[5.2 7.8] ; [ 6.8 10.2],0
p7,1,1.0,0.0,[9 3] ; [12  4],[9. 3.] ; [12.  4.],0
