Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.517207,[66 13] ; [ 9 18],[55.89622642 23.10377358] ; [19.10377358  7.89622642],1
p9,1,0.001733,9.813265,[65 14] ; [14 13],[58.87735849 20.12264151] ; [20.12264151  6.87735849],0
p10,1,0.003405,8.576632,[63 15] ; [14 13],[57.2 20.8] ; [19.8  7.2],0
s7,1,0.023163,5.15625,[37 35] ; [ 7 20],[32. 40.] ; [12. 15.],0
s6,1,0.025943,4.959784,[47 29] ; [10 17],[42.05825243 33.94174757] ; [14.94174757 12.05825243],0
p3,1,0.06565,3.388569,[46 34] ; [10 17],[41.86915888 38.13084112] ; [14.13084112 12.86915888],0
s8,1,0.072718,3.22058,[36 43] ; [ 7 20],[32.04716981 46.95283019] ; [10.95283019 16.04716981],0
n1,1,0.077121,3.124546,[11  8] ; [2 7],[ 8.82142857 10.17857143] ; [4.17857143 4.82142857],0
s5,1,0.084258,2.980798,[25 53] ; [ 4 23],[21.54285714 56.45714286] ; [ 7.45714286 19.54285714],0
d5,1,0.089975,2.874826,[43 37] ; [ 9 17],[39.24528302 40.75471698] ; [12.75471698 13.24528302],0
p11,1,0.102464,2.666767,[63 17] ; [17 10],[59.81308411 20.18691589] ; [20.18691589  6.81308411],0
p5,1,0.116238,2.467294,[12 67] ; [ 1 26],[ 9.68867925 69.31132075] ; [ 3.31132075 23.68867925],0
a4,1,0.191139,1.70882,[25 54] ; [ 5 22],[22.35849057 56.64150943] ; [ 7.64150943 19.35849057],0
v1,1,0.206019,1.599187,[35 43] ; [ 8 18],[32.25 45.75] ; [10.75 15.25],0
s3,1,0.216012,1.530666,[45 35] ; [11 15],[42.26415094 37.73584906] ; [13.73584906 12.26415094],0
v3,1,0.217565,1.52036,[28 52] ; [ 6 21],[25.42056075 54.57943925] ; [ 8.57943925 18.42056075],0
p6,1,0.241091,1.374203,[37 43] ; [ 9 18],[34.39252336 45.60747664] ; [11.60747664 15.39252336],0
r1,1,0.245296,1.349899,[53 25] ; [15 12],[50.51428571 27.48571429] ; [17.48571429  9.51428571],0
v2,1,0.246101,1.3453,[38 38] ; [10 17],[35.41747573 40.58252427] ; [12.58252427 14.41747573],0
b3,1,0.247732,1.336046,[14 39] ; [ 2 14],[12.28985507 40.71014493] ; [ 3.71014493 12.28985507],0
b2,1,0.247732,1.336046,[14 39] ; [ 2 14],[12.28985507 40.71014493] ; [ 3.71014493 12.28985507],0
u2,1,0.326255,0.963705,[23 19] ; [6 9],[21.36842105 20.63157895] ; [7.63157895 7.36842105],0
p2,1,0.358868,0.841851,[65 15] ; [24  3],[66.54205607 13.45794393] ; [22.45794393  4.54205607],0
s4,1,0.378011,0.777161,[18 61] ; [ 4 23],[16.39622642 62.60377358] ; [ 5.60377358 21.39622642],0
