Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,3e-06,22.027866,[ 3 34] ; [15  8],[11.1 25.9] ; [ 6.9 16.1],1
p7,1,3.3e-05,17.228545,[ 5 30] ; [15  7],[12.28070175 22.71929825] ; [ 7.71929825 14.28070175],1
p4,1,5.2e-05,16.389275,[ 4 32] ; [14  9],[10.98305085 25.01694915] ; [ 7.01694915 15.98305085],1
p10,1,0.000306,13.035105,[ 8 28] ; [16  7],[14.6440678 21.3559322] ; [ 9.3559322 13.6440678],1
p9,1,0.000553,11.927459,[ 8 26] ; [16  7],[14.31578947 19.68421053] ; [ 9.68421053 13.31578947],1
v4,1,0.007783,7.082751,[16 21] ; [18  5],[20.96666667 16.03333333] ; [13.03333333  9.96666667],0
p8,1,0.008689,6.885677,[ 7 29] ; [12 11],[11.59322034 24.40677966] ; [ 7.40677966 15.59322034],0
n4,1,0.01737,5.658553,[26 11] ; [ 9 14],[21.58333333 15.41666667] ; [13.41666667  9.58333333],0
p3,1,0.020247,5.39045,[ 6 31] ; [10 13],[ 9.86666667 27.13333333] ; [ 6.13333333 16.86666667],0
d1,1,0.023835,5.106597,[15 22] ; [ 3 20],[11.1 25.9] ; [ 6.9 16.1],0
s2,1,0.024058,5.090482,[ 3 34] ; [ 7 16],[ 6.16666667 30.83333333] ; [ 3.83333333 19.16666667],0
s7,1,0.047301,3.934638,[ 5 29] ; [ 8 13],[ 8.03636364 25.96363636] ; [ 4.96363636 16.03636364],0
s8,1,0.057927,3.59577,[ 3 34] ; [ 6 17],[ 5.55 31.45] ; [ 3.45 19.55],0
d2,1,0.075649,3.155982,[16 20] ; [ 5 18],[12.81355932 23.18644068] ; [ 8.18644068 14.81355932],0
n6,1,0.099146,2.719222,[14 22] ; [14  9],[17.08474576 18.91525424] ; [10.91525424 12.08474576],0
v2,1,0.101929,2.675102,[ 5 31] ; [ 7 15],[ 7.44827586 28.55172414] ; [ 4.55172414 17.44827586],0
b5,1,0.125506,2.347222,[15 22] ; [14  9],[17.88333333 19.11666667] ; [11.11666667 11.88333333],0
u2,1,0.126858,2.330532,[ 3 11] ; [6 6],[4.84615385 9.15384615] ; [4.15384615 7.84615385],0
v1,1,0.143381,2.141297,[ 8 29] ; [ 9 14],[10.48333333 26.51666667] ; [ 6.51666667 16.48333333],0
a4,1,0.147192,2.101109,[14 21] ; [ 5 18],[11.46551724 23.53448276] ; [ 7.53448276 15.46551724],0
a2,1,0.163819,1.93861,[ 6 31] ; [ 1 22],[ 4.31666667 32.68333333] ; [ 2.68333333 20.31666667],0
a3,1,0.17602,1.83091,[23 12] ; [11 12],[20.51724138 14.48275862] ; [13.48275862  9.51724138],0
d5,1,0.227659,1.455431,[22 15] ; [10 13],[19.73333333 17.26666667] ; [12.26666667 10.73333333],0
v3,1,0.23013,1.440056,[10 27] ; [ 3 19],[ 8.15254237 28.84745763] ; [ 4.84745763 17.15254237],0
p1,1,0.249887,1.323933,[ 5 32] ; [ 1 22],[ 3.7 33.3] ; [ 2.3 20.7],0
u3,1,0.26501,1.242394,[ 3 11] ; [5 7],[4.30769231 9.69230769] ; [3.69230769 8.30769231],0
a7,1,0.291965,1.110538,[18 19] ; [ 8 15],[16.03333333 20.96666667] ; [ 9.96666667 13.03333333],0
p12,1,0.300399,1.072423,[ 1 36] ; [ 2 21],[ 1.85 35.15] ; [ 1.15 21.85],0
d4,1,0.316966,1.001426,[21 16] ; [10 13],[19.11666667 17.88333333] ; [11.88333333 11.11666667],0
n5,1,0.327138,0.960193,[27 10] ; [14  9],[25.28333333 11.71666667] ; [15.71666667  7.28333333],0
n3,1,0.336253,0.924666,[ 7 12] ; [8 7],[ 8.38235294 10.61764706] ; [6.61764706 8.38235294],0
b2,1,0.343599,0.896958,[13 15] ; [4 9],[11.6097561 16.3902439] ; [5.3902439 7.6097561],0
b3,1,0.343599,0.896958,[13 15] ; [4 9],[11.6097561 16.3902439] ; [5.3902439 7.6097561],0
a6,1,0.356241,0.8511,[19 18] ; [ 9 14],[17.26666667 19.73333333] ; [10.73333333 12.26666667],0
n2,1,0.379581,0.772059,[ 9 11] ; [9 6],[10.28571429  9.71428571] ; [7.71428571 7.28571429],0
n1,1,0.379581,0.772059,[11  9] ; [6 9],[ 9.71428571 10.28571429] ; [7.28571429 7.71428571],0
s4,1,0.405841,0.690952,[ 5 32] ; [ 5 18],[ 6.16666667 30.83333333] ; [ 3.83333333 19.16666667],0
a5,1,0.425692,0.634548,[20 17] ; [10 13],[18.5 18.5] ; [11.5 11.5],0
s3,1,0.454492,0.559425,[ 8 27] ; [ 7 15],[ 9.21052632 25.78947368] ; [ 5.78947368 16.21052632],0
d3,1,0.500202,0.454507,[16 21] ; [12 11],[17.26666667 19.73333333] ; [10.73333333 12.26666667],0
r1,1,0.664575,0.188014,[14 23] ; [10 13],[14.8 22.2] ; [ 9.2 13.8],0
u1,1,0.72998,0.11913,[ 1 36] ; [ 1 22],[ 1.23333333 35.76666667] ; [ 0.76666667 22.23333333],0
s6,1,0.790602,0.070505,[ 7 30] ; [ 5 18],[ 7.4 29.6] ; [ 4.6 18.4],0
r4,1,0.793379,0.068605,[ 4 33] ; [ 3 20],[ 4.31666667 32.68333333] ; [ 2.68333333 20.31666667],0
b1,1,0.913677,0.011751,[22 15] ; [14  9],[22.2 14.8] ; [13.8  9.2],0
p5,1,0.96113,0.002375,[ 3 33] ; [ 2 21],[ 3.05084746 32.94915254] ; [ 1.94915254 21.05084746],0
r2,1,0.968933,0.001517,[23 12] ; [15  8],[22.93103448 12.06896552] ; [15.06896552  7.93103448],0
b4,1,0.985749,0.000319,[21 16] ; [13 10],[20.96666667 16.03333333] ; [13.03333333  9.96666667],0
