Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,65.800096,[ 58 110] ; [121  31],[93.975 74.025] ; [85.025 66.975],1
p4,1,0.0,48.277172,[ 56 114] ; [109  43],[87.11180124 82.88819876] ; [77.88819876 74.11180124],1
p6,1,0.0,31.129218,[ 25 142] ; [66 87],[ 47.490625 119.509375] ; [ 43.509375 109.490625],1
p2,1,0.0,29.683116,[109  60] ; [138  15],[129.63664596  39.36335404] ; [117.36335404  35.63664596],1
p10,1,1e-06,25.107093,[111  57] ; [137  16],[129.79439252  38.20560748] ; [118.20560748  34.79439252],1
p3,1,1e-06,23.705004,[ 49 121] ; [85 68],[70.52631579 99.47368421] ; [63.47368421 89.52631579],1
p9,1,4e-06,21.174316,[116  52] ; [136  15],[132.71473354  35.28526646] ; [119.28526646  31.71473354],1
p11,1,3e-05,17.449671,[118  53] ; [135  18],[133.52777778  37.47222222] ; [119.47222222  33.52777778],1
r4,1,6.4e-05,15.982749,[131  40] ; [142  11],[144.08333333  26.91666667] ; [128.91666667  24.08333333],1
v4,1,0.000281,13.194444,[143  28] ; [146   6],[153.  18.] ; [136.  16.],1
s8,1,0.000465,12.252014,[ 19 152] ; [ 40 113],[ 31.13888889 139.86111111] ; [ 27.86111111 125.13888889],1
r1,1,0.001888,9.655804,[111  59] ; [122  29],[123.39563863  46.60436137] ; [109.60436137  41.39563863],0
d1,1,0.003141,8.723519,[77 94] ; [94 59],[90.25 80.75] ; [80.75 72.25],0
r3,1,0.004364,8.125988,[142  27] ; [143   9],[150.04672897  18.95327103] ; [134.95327103  17.04672897],0
a5,1,0.005884,7.585447,[104  67] ; [115  38],[115.58333333  55.41666667] ; [103.41666667  49.58333333],0
n6,1,0.006389,7.437205,[135  36] ; [136  15],[143.91614907  27.08385093] ; [127.08385093  23.91614907],0
d4,1,0.013225,6.138739,[120  50] ; [126  27],[129.47368421  40.52631579] ; [116.52631579  36.47368421],0
v1,1,0.016094,5.79258,[76 91] ; [88 61],[86.67088608 80.32911392] ; [77.32911392 71.67088608],0
v2,1,0.019869,5.423391,[67 92] ; [81 65],[77.15409836 81.84590164] ; [70.84590164 75.15409836],0
d5,1,0.042855,4.101117,[126  45] ; [127  26],[133.52777778  37.47222222] ; [119.47222222  33.52777778],0
s5,1,0.049484,3.858866,[ 30 137] ; [ 40 107],[ 37.22929936 129.77070064] ; [ 32.77070064 114.22929936],0
p5,1,0.055023,3.681376,[  9 161] ; [ 17 136],[ 13.68421053 156.31578947] ; [ 12.31578947 140.68421053],0
a7,1,0.078149,3.102975,[111  59] ; [113  39],[118.26086957  51.73913043] ; [105.73913043  46.26086957],0
d2,1,0.083158,3.00207,[69 98] ; [78 75],[76.715625 90.284375] ; [70.284375 82.715625],0
s6,1,0.099497,2.713581,[79 92] ; [81 65],[86.30914826 84.69085174] ; [73.69085174 72.30914826],0
r2,1,0.118451,2.437683,[150  20] ; [140  10],[154.0625  15.9375] ; [135.9375  14.0625],0
n4,1,0.120351,2.412747,[139  32] ; [134  19],[144.08333333  26.91666667] ; [128.91666667  24.08333333],0
d3,1,0.183273,1.770881,[100  70] ; [101  52],[105.78947368  64.21052632] ; [95.21052632 57.78947368],0
a1,1,0.189327,1.72285,[ 11 160] ; [  5 148],[  8.44444444 162.55555556] ; [  7.55555556 145.44444444],0
u1,1,0.223213,1.483593,[ 18 153] ; [ 23 130],[ 21.63888889 149.36111111] ; [ 19.36111111 133.63888889],0
v3,1,0.284703,1.144504,[ 49 116] ; [52 95],[ 53.41346154 111.58653846] ; [47.58653846 99.41346154],0
a8,1,0.299542,1.076234,[ 18 142] ; [ 21 116],[ 21.01010101 138.98989899] ; [ 17.98989899 119.01010101],0
p12,1,0.318058,0.996914,[  7 164] ; [ 10 142],[  9. 162.] ; [  8. 144.],0
u3,1,0.38406,0.757665,[28 37] ; [31 30],[30.43650794 34.56349206] ; [28.56349206 32.43650794],0
b4,1,0.424315,0.638334,[108  63] ; [90 63],[104.5  66.5] ; [93.5 59.5],0
n1,1,0.448019,0.575658,[21 35] ; [ 9 10],[22.4 33.6] ; [ 7.6 11.4],0
s2,1,0.493263,0.469402,[ 44 123] ; [ 45 106],[ 46.73899371 120.26100629] ; [ 42.26100629 108.73899371],0
u4,1,0.49423,0.467303,[  1 170] ; [  2 150],[  1.58823529 169.41176471] ; [  1.41176471 150.58823529],0
s1,1,0.576803,0.311431,[  2 164] ; [  3 148],[  2.61829653 163.38170347] ; [  2.38170347 148.61829653],0
p1,1,0.602206,0.271681,[ 13 158] ; [ 14 138],[ 14.29411765 156.70588235] ; [ 12.70588235 139.29411765],0
a2,1,0.605725,0.266447,[ 34 137] ; [ 34 119],[ 35.88888889 135.11111111] ; [ 32.11111111 120.88888889],0
b1,1,0.652086,0.203281,[ 64 107] ; [61 92],[ 65.97222222 105.02777778] ; [59.02777778 93.97222222],0
n3,1,0.665393,0.187039,[39 18] ; [14  5],[39.75 17.25] ; [13.25  5.75],0
b2,1,0.674329,0.17658,[32 60] ; [34 56],[33.36263736 58.63736264] ; [32.63736264 57.36263736],0
b3,1,0.674329,0.17658,[32 60] ; [34 56],[33.36263736 58.63736264] ; [32.63736264 57.36263736],0
n2,1,0.719027,0.129427,[43 15] ; [14  6],[42.38461538 15.61538462] ; [14.61538462  5.38461538],0
a3,1,0.736672,0.113073,[106  64] ; [92 60],[104.53416149  65.46583851] ; [93.46583851 58.53416149],0
s3,1,0.803487,0.061919,[ 65 103] ; [56 94],[ 63.9245283 104.0754717] ; [57.0754717 92.9245283],0
a4,1,0.807712,0.059233,[70 99] ; [65 87],[71.07476636 97.92523364] ; [63.92523364 88.07476636],0
a6,1,0.856221,0.032829,[118  53] ; [107  46],[118.75  52.25] ; [106.25  46.75],0
b5,1,0.929644,0.007796,[102  69] ; [92 61],[102.38888889  68.61111111] ; [91.61111111 61.38888889],0
s4,1,0.980453,0.0006,[ 24 144] ; [ 21 127],[ 23.92405063 144.07594937] ; [ 21.07594937 126.92405063],0
u2,1,0.988404,0.000211,[29 34] ; [28 33],[28.95967742 34.04032258] ; [28.04032258 32.95967742],0
