Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,60.384703,[135  28] ; [44 73],[104.20357143  58.79642857] ; [74.79642857 42.20357143],1
s2,1,0.0,33.51714,[126  42] ; [51 72],[102.18556701  65.81443299] ; [74.81443299 48.18556701],1
s3,1,0.0,28.35254,[123  45] ; [52 71],[101.03092784  66.96907216] ; [73.96907216 49.03092784],1
s6,1,1e-06,23.628247,[142  22] ; [74 46],[124.73239437  39.26760563] ; [91.26760563 28.73239437],1
v1,1,0.001176,10.52759,[116  49] ; [64 60],[102.76816609  62.23183391] ; [77.23183391 46.76816609],0
s5,1,0.00133,10.300106,[84 74] ; [41 80],[70.78853047 87.21146953] ; [54.21146953 66.78853047],0
a5,1,0.001384,10.22701,[143  25] ; [87 38],[131.87713311  36.12286689] ; [98.12286689 26.87713311],0
p9,1,0.013674,6.07971,[159   8] ; [109  16],[153.2739726  13.7260274] ; [114.7260274  10.2739726],0
d5,1,0.02344,5.135635,[145  22] ; [95 29],[137.73195876  29.26804124] ; [102.26804124  21.73195876],0
n5,1,0.023857,5.105031,[149  19] ; [98 26],[142.10958904  25.89041096] ; [104.89041096  19.10958904],0
d4,1,0.027341,4.869178,[148  19] ; [99 26],[141.26369863  25.73630137] ; [105.73630137  19.26369863],0
d1,1,0.035394,4.426057,[118  50] ; [73 52],[109.51535836  58.48464164] ; [81.48464164 43.51535836],0
n4,1,0.042707,4.106969,[154  14] ; [105  20],[148.50511945  19.49488055] ; [110.49488055  14.50511945],0
a7,1,0.046271,3.971692,[116  51] ; [99 25],[123.38487973  43.61512027] ; [91.61512027 32.38487973],0
d2,1,0.046369,3.968134,[99 69] ; [59 66],[90.59385666 77.40614334] ; [67.40614334 57.59385666],0
v2,1,0.061333,3.500972,[106  59] ; [65 57],[98.31010453 66.68989547] ; [72.68989547 49.31010453],0
a8,1,0.086151,2.944862,[ 29 128] ; [12 99],[ 24.01865672 132.98134328] ; [16.98134328 94.01865672],0
p10,1,0.088231,2.906353,[151  16] ; [103  20],[146.26896552  20.73103448] ; [107.73103448  15.26896552],0
v3,1,0.118266,2.440131,[77 87] ; [46 76],[70.53146853 93.46853147] ; [52.46853147 69.53146853],0
p4,1,0.130586,2.285522,[142  26] ; [97 28],[137.03754266  30.96245734] ; [101.96245734  23.03754266],0
u4,1,0.143596,2.138998,[  8 160] ; [  2 122],[  5.75342466 162.24657534] ; [  4.24657534 119.75342466],0
a3,1,0.15146,2.057489,[132  35] ; [89 35],[126.82817869  40.17182131] ; [94.17182131 29.82817869],0
p5,1,0.178409,1.810824,[ 39 129] ; [ 21 104],[ 34.40273038 133.59726962] ; [25.59726962 99.40273038],0
u1,1,0.216775,1.52559,[ 44 124] ; [ 25 100],[ 39.56313993 128.43686007] ; [29.43686007 95.56313993],0
b2,1,0.225257,1.470561,[57 59] ; [31 46],[52.89119171 63.10880829] ; [35.10880829 41.89119171],0
b3,1,0.225257,1.470561,[57 59] ; [31 46],[52.89119171 63.10880829] ; [35.10880829 41.89119171],0
b5,1,0.235375,1.40808,[103  65] ; [68 57],[98.04778157 69.95221843] ; [72.95221843 52.04778157],0
p12,1,0.24284,1.364029,[ 25 141] ; [ 13 112],[ 21.67697595 144.32302405] ; [ 16.32302405 108.67697595],0
a6,1,0.273806,1.197581,[106  61] ; [87 38],[110.38013699  56.61986301] ; [82.61986301 42.38013699],0
s4,1,0.287391,1.131804,[ 33 133] ; [ 18 102],[ 29.6013986 136.3986014] ; [21.3986014 98.6013986],0
p3,1,0.294048,1.100993,[116  52] ; [79 46],[111.80887372  56.19112628] ; [83.19112628 41.80887372],0
n1,1,0.297205,1.086694,[15 15] ; [ 9 16],[13.09090909 16.90909091] ; [10.90909091 14.09090909],0
n2,1,0.311452,1.02451,[19 11] ; [19  6],[20.72727273  9.27272727] ; [17.27272727  7.72727273],0
u2,1,0.342782,0.9,[22 14] ; [18 18],[20. 16.] ; [20. 16.],0
p8,1,0.347885,0.881157,[120  46] ; [84 41],[116.37113402  49.62886598] ; [87.62886598 37.37113402],0
r3,1,0.400716,0.706176,[163   5] ; [117   6],[161.64948454   6.35051546] ; [118.35051546   4.64948454],0
r1,1,0.44379,0.586463,[140  28] ; [99 25],[137.50684932  30.49315068] ; [101.49315068  22.50684932],0
p1,1,0.517926,0.418021,[ 26 142] ; [ 16 109],[ 24.08191126 143.91808874] ; [ 17.91808874 107.08191126],0
s1,1,0.522248,0.409451,[  8 160] ; [  4 119],[  6.92783505 161.07216495] ; [  5.07216495 117.92783505],0
u3,1,0.559928,0.339829,[24 12] ; [21 14],[22.81690141 13.18309859] ; [22.18309859 12.81690141],0
d3,1,0.569933,0.322795,[121  47] ; [93 31],[123.12328767  44.87671233] ; [90.87671233 33.12328767],0
v4,1,0.573422,0.31699,[162   6] ; [121   3],[162.82191781   5.17808219] ; [120.17808219   3.82191781],0
p11,1,0.600267,0.274593,[141  27] ; [102  23],[139.33105802  28.66894198] ; [103.66894198  21.33105802],0
a2,1,0.619984,0.245889,[ 44 124] ; [36 89],[ 45.87030717 122.12969283] ; [34.12969283 90.87030717],0
a4,1,0.661435,0.191785,[87 81] ; [61 63],[85.15068493 82.84931507] ; [62.84931507 61.15068493],0
r4,1,0.667984,0.18397,[158  10] ; [116   9],[157.10580205  10.89419795] ; [116.89419795   8.10580205],0
r2,1,0.672404,0.178803,[161   4] ; [119   4],[160.41666667   4.58333333] ; [119.58333333   3.41666667],0
n3,1,0.683553,0.166154,[21  9] ; [18  6],[21.66666667  8.33333333] ; [17.33333333  6.66666667],0
p7,1,0.689089,0.160073,[141  24] ; [103  20],[139.79166667  25.20833333] ; [104.20833333  18.79166667],0
b1,1,0.719285,0.129178,[ 68 100] ; [48 77],[ 66.51194539 101.48805461] ; [49.48805461 75.51194539],0
b4,1,0.724176,0.124527,[96 72] ; [74 51],[97.47440273 70.52559727] ; [72.52559727 52.47440273],0
p2,1,0.883016,0.021652,[151  17] ; [113  12],[151.37201365  16.62798635] ; [112.62798635  12.37201365],0
a1,1,0.934296,0.006796,[ 13 155] ; [ 10 115],[ 13.18771331 154.81228669] ; [  9.81228669 115.18771331],0
