Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000106,15.031056,[ 6 40] ; [9 5],[11.5 34.5] ; [ 3.5 10.5],1
p10,1,0.000507,12.091429,[13 32] ; [12  3],[18.75 26.25] ; [6.25 8.75],1
r4,1,0.001499,10.079961,[ 3 43] ; [6 9],[ 6.78688525 39.21311475] ; [ 2.21311475 12.78688525],0
p7,1,0.004486,8.075835,[ 7 38] ; [7 6],[10.86206897 34.13793103] ; [3.13793103 9.86206897],0
n6,1,0.009717,6.686104,[18 28] ; [11  3],[22.23333333 23.76666667] ; [6.76666667 7.23333333],0
p9,1,0.00993,6.647346,[15 28] ; [11  4],[19.27586207 23.72413793] ; [6.72413793 8.27586207],0
p3,1,0.013097,6.155951,[ 9 36] ; [8 7],[12.75 32.25] ; [ 4.25 10.75],0
s8,1,0.019465,5.459247,[ 4 42] ; [ 5 10],[ 6.78688525 39.21311475] ; [ 2.21311475 12.78688525],0
p11,1,0.019815,5.428162,[10 36] ; [8 7],[13.57377049 32.42622951] ; [ 4.42622951 10.57377049],0
b4,1,0.02491,5.030128,[25 21] ; [13  2],[28.6557377 17.3442623] ; [9.3442623 5.6557377],0
v4,1,0.029363,4.746178,[22 24] ; [12  3],[25.63934426 20.36065574] ; [8.36065574 6.63934426],0
b1,1,0.030127,4.702023,[30 16] ; [ 5 10],[26.39344262 19.60655738] ; [8.60655738 6.39344262],0
p5,1,0.059058,3.563636,[ 2 43] ; [ 3 12],[ 3.75 41.25] ; [ 1.25 13.75],0
a4,1,0.075881,3.150989,[18 27] ; [ 2 12],[15.25423729 29.74576271] ; [4.74576271 9.25423729],0
a7,1,0.084614,2.973971,[16 30] ; [9 6],[18.85245902 27.14754098] ; [6.14754098 8.85245902],0
r2,1,0.100404,2.699114,[28 17] ; [12  2],[30.50847458 14.49152542] ; [9.49152542 4.50847458],0
r1,1,0.117074,2.45603,[17 29] ; [9 6],[19.60655738 26.39344262] ; [6.39344262 8.60655738],0
s6,1,0.135017,2.233853,[12 34] ; [7 8],[14.32786885 31.67213115] ; [ 4.67213115 10.32786885],0
b3,1,0.138492,2.194631,[13 17] ; [2 9],[10.97560976 19.02439024] ; [4.02439024 6.97560976],0
b2,1,0.138492,2.194631,[13 17] ; [2 9],[10.97560976 19.02439024] ; [4.02439024 6.97560976],0
u2,1,0.155132,2.021053,[ 5 14] ; [3 2],[ 6.33333333 12.66666667] ; [1.66666667 3.33333333],0
p2,1,0.167671,1.903643,[15 30] ; [8 7],[17.25 27.75] ; [5.75 9.25],0
s2,1,0.215861,1.531674,[ 6 40] ; [ 4 11],[ 7.54098361 38.45901639] ; [ 2.45901639 12.54098361],0
a1,1,0.241286,1.373063,[ 9 37] ; [ 1 14],[ 7.54098361 38.45901639] ; [ 2.45901639 12.54098361],0
n3,1,0.264122,1.247021,[10 13] ; [2 7],[ 8.625 14.375] ; [3.375 5.625],0
b5,1,0.265845,1.238062,[20 26] ; [9 6],[21.86885246 24.13114754] ; [7.13114754 7.86885246],0
d3,1,0.265845,1.238062,[20 26] ; [9 6],[21.86885246 24.13114754] ; [7.13114754 7.86885246],0
s7,1,0.31141,1.024687,[ 7 36] ; [ 4 10],[ 8.29824561 34.70175439] ; [ 2.70175439 11.29824561],0
v2,1,0.324732,0.969791,[ 5 40] ; [ 3 11],[ 6.10169492 38.89830508] ; [ 1.89830508 12.10169492],0
v1,1,0.393904,0.726855,[13 33] ; [6 9],[14.32786885 31.67213115] ; [ 4.67213115 10.32786885],0
u1,1,0.39615,0.719983,[ 1 45] ; [ 1 14],[ 1.50819672 44.49180328] ; [ 0.49180328 14.50819672],0
s1,1,0.403639,0.697459,[ 3 43] ; [ 2 13],[ 3.7704918 42.2295082] ; [ 1.2295082 13.7704918],0
a3,1,0.439947,0.59642,[27 18] ; [10  4],[28.22033898 16.77966102] ; [8.77966102 5.22033898],0
v3,1,0.473862,0.512956,[ 9 37] ; [ 4 10],[ 9.96666667 36.03333333] ; [ 3.03333333 10.96666667],0
n5,1,0.493158,0.469629,[32 14] ; [9 6],[30.91803279 15.08196721] ; [10.08196721  4.91803279],0
p1,1,0.509434,0.435229,[ 6 40] ; [ 3 12],[ 6.78688525 39.21311475] ; [ 2.21311475 12.78688525],0
u3,1,0.549185,0.358779,[ 5 14] ; [2 3],[ 5.54166667 13.45833333] ; [1.45833333 3.54166667],0
d4,1,0.583158,0.301157,[27 19] ; [10  5],[27.90163934 18.09836066] ; [9.09836066 5.90163934],0
d1,1,0.600832,0.273742,[15 31] ; [6 9],[15.83606557 30.16393443] ; [5.16393443 9.83606557],0
a5,1,0.604947,0.267599,[25 21] ; [7 8],[24.13114754 21.86885246] ; [7.86885246 7.13114754],0
a6,1,0.711014,0.137267,[24 22] ; [7 8],[23.37704918 22.62295082] ; [7.62295082 7.37704918],0
s5,1,0.712389,0.135902,[ 8 38] ; [ 2 13],[ 7.54098361 38.45901639] ; [ 2.45901639 12.54098361],0
n4,1,0.714794,0.133536,[30 16] ; [9 6],[29.40983607 16.59016393] ; [9.59016393 5.40983607],0
d2,1,0.763545,0.090498,[19 26] ; [7 8],[19.5 25.5] ; [6.5 8.5],0
s3,1,0.770657,0.084982,[12 33] ; [4 9],[12.4137931 32.5862069] ; [3.5862069 9.4137931],0
n2,1,0.776105,0.080882,[12 12] ; [4 5],[11.63636364 12.36363636] ; [4.36363636 4.63636364],0
a2,1,0.794878,0.067591,[ 5 41] ; [ 2 13],[ 5.27868852 40.72131148] ; [ 1.72131148 13.27868852],0
d5,1,0.82907,0.04661,[26 20] ; [8 7],[25.63934426 20.36065574] ; [8.36065574 6.63934426],0
n1,1,0.885663,0.020677,[10 14] ; [4 5],[10.18181818 13.81818182] ; [3.81818182 5.18181818],0
