Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.8e-05,18.38667,[ 85 150] ; [52 30],[101.5615142 133.4384858] ; [35.4384858 46.5615142],1
p4,1,2.1e-05,18.059425,[104 141] ; [60 27],[121.02409639 123.97590361] ; [42.97590361 44.02409639],1
p7,1,2.3e-05,17.935371,[101 142] ; [58 27],[117.79573171 125.20426829] ; [41.20426829 43.79573171],1
b3,1,0.000234,13.534869,[ 41 100] ; [32 24],[52.24873096 88.75126904] ; [20.75126904 35.24873096],1
b2,1,0.000234,13.534869,[ 41 100] ; [32 24],[52.24873096 88.75126904] ; [20.75126904 35.24873096],1
u1,1,0.000574,11.858608,[ 35 210] ; [27 60],[ 45.75301205 199.24698795] ; [16.24698795 70.75301205],1
a2,1,0.000864,11.098908,[ 49 196] ; [33 54],[ 60.51204819 184.48795181] ; [21.48795181 65.51204819],1
s8,1,0.002686,9.009337,[ 77 168] ; [43 44],[ 88.55421687 156.44578313] ; [31.44578313 55.55421687],0
a4,1,0.006738,7.341578,[101 144] ; [50 36],[111.7673716 133.2326284] ; [39.2326284 46.7673716],0
n4,1,0.007718,7.097826,[168  75] ; [73 14],[177.46363636  65.53636364] ; [63.53636364 23.46363636],0
s2,1,0.012046,6.304055,[111 131] ; [53 33],[121. 121.] ; [43. 43.],0
u2,1,0.02945,4.741119,[34 37] ; [17  6],[38.5212766 32.4787234] ; [12.4787234 10.5212766],0
n2,1,0.057395,3.61109,[52 17] ; [15 12],[48.15625 20.84375] ; [18.84375  8.15625],0
v2,1,0.066705,3.362298,[115 117] ; [52 33],[122.22082019 109.77917981] ; [44.77917981 40.22082019],0
n6,1,0.088723,2.897387,[188  54] ; [75 12],[193.45288754  48.54711246] ; [69.54711246 17.45288754],0
p1,1,0.103738,2.647109,[  9 235] ; [ 7 80],[ 11.79456193 232.20543807] ; [ 4.20543807 82.79456193],0
p9,1,0.122043,2.390907,[195  49] ; [76 11],[199.77039275  44.22960725] ; [71.22960725 15.77039275],0
d2,1,0.129629,2.296944,[106 138] ; [46 41],[112.04833837 131.95166163] ; [39.95166163 47.04833837],0
s5,1,0.130418,2.287524,[ 65 176] ; [29 52],[ 70.35403727 170.64596273] ; [23.64596273 57.35403727],0
a7,1,0.165877,1.919814,[168  76] ; [66 20],[173.01818182  70.98181818] ; [60.98181818 25.01818182],0
p10,1,0.171936,1.86598,[180  63] ; [70 16],[184.65045593  58.34954407] ; [65.34954407 20.65045593],0
p3,1,0.176766,1.824609,[ 87 158] ; [38 49],[ 92.2439759 152.7560241] ; [32.7560241 54.2439759],0
r2,1,0.190512,1.713656,[220  22] ; [82  4],[222.81707317  19.18292683] ; [79.18292683  6.81707317],0
a5,1,0.200947,1.635478,[162  83] ; [64 23],[166.77710843  78.22289157] ; [59.22289157 27.77710843],0
a6,1,0.225262,1.470528,[169  76] ; [66 21],[173.4186747  71.5813253] ; [61.5813253 25.4186747],0
d1,1,0.243769,1.358665,[123 122] ; [50 37],[127.66566265 117.33433735] ; [45.33433735 41.66566265],0
a8,1,0.245637,1.347952,[ 32 190] ; [ 7 69],[ 29.05369128 192.94630872] ; [ 9.94630872 66.05369128],0
n5,1,0.249523,1.325973,[161  81] ; [63 23],[165.26829268  76.73170732] ; [58.73170732 27.26829268],0
b4,1,0.290808,1.115876,[151  94] ; [48 39],[146.85240964  98.14759036] ; [52.14759036 34.85240964],0
v1,1,0.299725,1.075417,[109 126] ; [45 40],[113.09375 121.90625] ; [40.90625 44.09375],0
u3,1,0.345301,0.890651,[40 34] ; [15  8],[41.95876289 32.04123711] ; [13.04123711  9.95876289],0
d5,1,0.362159,0.830394,[194  51] ; [72 14],[196.88821752  48.11178248] ; [69.11178248 16.88821752],0
r4,1,0.367106,0.813438,[204  41] ; [76 11],[206.62650602  38.37349398] ; [73.37349398 13.62650602],0
d3,1,0.373219,0.792918,[163  82] ; [61 24],[166.3030303  78.6969697] ; [57.6969697 27.3030303],0
a3,1,0.493588,0.468696,[170  74] ; [64 23],[172.49546828  71.50453172] ; [61.50453172 25.49546828],0
s4,1,0.509499,0.435095,[ 39 206] ; [11 74],[ 37.12121212 207.87878788] ; [12.87878788 72.12121212],0
p12,1,0.571475,0.320221,[ 12 232] ; [ 3 84],[ 11.05740181 232.94259819] ; [ 3.94259819 83.05740181],0
r3,1,0.583066,0.301305,[227  15] ; [83  4],[228.02431611  13.97568389] ; [81.97568389  5.02431611],0
s6,1,0.594138,0.283929,[151  93] ; [56 30],[153.05454545  90.94545455] ; [53.94545455 32.05454545],0
p11,1,0.597877,0.27821,[179  66] ; [61 26],[177.10843373  67.89156627] ; [62.89156627 24.10843373],0
s3,1,0.609921,0.26029,[133 109] ; [50 36],[135.01829268 106.98170732] ; [47.98170732 38.01829268],0
b5,1,0.616321,0.251072,[156  89] ; [58 29],[157.92168675  87.07831325] ; [56.07831325 30.92168675],0
a1,1,0.621983,0.24309,[  6 239] ; [ 3 84],[  6.64156627 238.35843373] ; [ 2.35843373 84.64156627],0
v3,1,0.634624,0.225843,[ 76 160] ; [25 60],[ 74.25545171 161.74454829] ; [26.74454829 58.25545171],0
b1,1,0.636431,0.22344,[ 86 159] ; [33 54],[ 87.81626506 157.18373494] ; [31.18373494 55.81626506],0
n1,1,0.66461,0.187972,[21 49] ; [ 9 17],[21.875 48.125] ; [ 8.125 17.875],0
v4,1,0.716351,0.132016,[227  14] ; [81  6],[226.30487805  14.69512195] ; [81.69512195  5.30487805],0
s1,1,0.773922,0.082512,[  7 234] ; [ 3 82],[  7.39263804 233.60736196] ; [ 2.60736196 82.39263804],0
p5,1,0.791077,0.070178,[ 13 231] ; [ 4 83],[ 12.53172205 231.46827795] ; [ 4.46827795 82.53172205],0
n3,1,0.838451,0.041565,[54 17] ; [20  7],[53.6122449 17.3877551] ; [20.3877551  6.6122449],0
d4,1,0.889517,0.019297,[191  52] ; [69 18],[191.45454545  51.54545455] ; [68.54545455 18.45454545],0
r1,1,0.927214,0.008345,[182  60] ; [65 22],[181.68389058  60.31610942] ; [65.31610942 21.68389058],0
