Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.7e-05,18.457667,[ 5 44] ; [42 49],[16.45 32.55] ; [30.55 60.45],1
p3,1,7.6e-05,15.644999,[ 9 40] ; [49 44],[20.01408451 28.98591549] ; [37.98591549 55.01408451],1
p4,1,0.000119,14.802335,[15 34] ; [60 33],[25.88028169 23.11971831] ; [49.11971831 43.88028169],1
p8,1,0.016524,5.746191,[19 29] ; [56 36],[25.71428571 22.28571429] ; [49.28571429 42.71428571],0
s7,1,0.02108,5.320197,[16 32] ; [47 40],[22.4 25.6] ; [40.6 46.4],0
p9,1,0.021655,5.273279,[45  4] ; [70 22],[39.96453901  9.03546099] ; [75.03546099 16.96453901],0
p5,1,0.025458,4.992493,[ 2 47] ; [16 77],[ 6.21126761 42.78873239] ; [11.78873239 81.21126761],0
n3,1,0.035322,4.429538,[7 7] ; [19  4],[9.83783784 4.16216216] ; [16.16216216  6.83783784],0
s8,1,0.04688,3.949683,[12 37] ; [38 54],[17.37588652 31.62411348] ; [32.62411348 59.37588652],0
b1,1,0.054863,3.686253,[16 33] ; [46 47],[21.3943662 27.6056338] ; [40.6056338 52.3943662],0
s5,1,0.062059,3.481482,[ 8 39] ; [29 62],[12.60144928 34.39855072] ; [24.39855072 66.60144928],0
s1,1,0.081764,3.029492,[ 3 45] ; [ 1 91],[ 1.37142857 46.62857143] ; [ 2.62857143 89.37142857],0
b4,1,0.118416,2.43815,[33 16] ; [50 43],[28.64084507 20.35915493] ; [54.35915493 38.64084507],0
s3,1,0.137789,2.202473,[24 25] ; [57 35],[28.14893617 20.85106383] ; [52.85106383 39.14893617],0
a3,1,0.181799,1.782856,[23 26] ; [54 38],[26.75886525 22.24113475] ; [50.24113475 41.75886525],0
a7,1,0.184245,1.763047,[26 23] ; [60 33],[29.67605634 19.32394366] ; [56.32394366 36.67605634],0
n4,1,0.185471,1.753233,[35 14] ; [56 37],[31.40140845 17.59859155] ; [59.59859155 33.40140845],0
s6,1,0.192121,1.701279,[24 25] ; [55 36],[27.65 21.35] ; [51.35 39.65],0
d3,1,0.227,1.459559,[18 31] ; [44 49],[21.3943662 27.6056338] ; [40.6056338 52.3943662],0
p1,1,0.310212,1.029774,[ 4 45] ; [13 80],[ 5.86619718 43.13380282] ; [11.13380282 81.86619718],0
d1,1,0.316882,1.001774,[ 2 47] ; [ 8 85],[ 3.45070423 45.54929577] ; [ 6.54929577 86.45070423],0
r4,1,0.325099,0.968323,[36 13] ; [75 18],[38.3028169 10.6971831] ; [72.6971831 20.3028169],0
p12,1,0.330927,0.945266,[ 2 46] ; [ 8 85],[ 3.40425532 44.59574468] ; [ 6.59574468 86.40425532],0
v2,1,0.337404,0.920271,[17 29] ; [41 49],[19.61764706 26.38235294] ; [38.38235294 51.61764706],0
u1,1,0.347578,0.88228,[ 1 48] ; [ 5 88],[ 2.07042254 46.92957746] ; [ 3.92957746 89.07042254],0
p10,1,0.379315,0.772921,[38 11] ; [65 27],[35.79432624 13.20567376] ; [67.20567376 24.79432624],0
d2,1,0.394801,0.724105,[10 39] ; [25 68],[12.07746479 36.92253521] ; [22.92253521 70.07746479],0
n5,1,0.405321,0.692483,[35 14] ; [60 33],[32.78169014 16.21830986] ; [62.21830986 30.78169014],0
s4,1,0.418302,0.655082,[10 39] ; [14 79],[ 8.28169014 40.71830986] ; [15.71830986 77.28169014],0
v3,1,0.420888,0.647836,[12 36] ; [29 63],[14.05714286 33.94285714] ; [26.94285714 65.05714286],0
a4,1,0.427456,0.629724,[13 36] ; [19 73],[11.12056738 37.87943262] ; [20.87943262 71.12056738],0
p11,1,0.430999,0.62013,[35 14] ; [72 21],[36.92253521 12.07746479] ; [70.07746479 22.92253521],0
s2,1,0.450721,0.568839,[19 29] ; [43 50],[21.10638298 26.89361702] ; [40.89361702 52.10638298],0
a2,1,0.469046,0.524221,[ 3 46] ; [ 9 84],[ 4.14084507 44.85915493] ; [ 7.85915493 85.14084507],0
r2,1,0.469282,0.523666,[41  8] ; [81 11],[42.39716312  6.60283688] ; [79.60283688 12.39716312],0
d4,1,0.474542,0.51138,[23 26] ; [49 43],[25.0212766 23.9787234] ; [46.9787234 45.0212766],0
u2,1,0.536902,0.381312,[12 14] ; [20 17],[13.20634921 12.79365079] ; [18.79365079 18.20634921],0
b5,1,0.547811,0.361254,[31 18] ; [54 39],[29.33098592 19.66901408] ; [55.66901408 37.33098592],0
n1,1,0.549667,0.357914,[ 3 11] ; [ 7 16],[ 3.78378378 10.21621622] ; [ 6.21621622 16.78378378],0
r1,1,0.57656,0.31183,[32 17] ; [65 28],[33.47183099 15.52816901] ; [63.52816901 29.47183099],0
a8,1,0.641166,0.217221,[ 6 39] ; [ 9 76],[ 5.19230769 39.80769231] ; [ 9.80769231 75.19230769],0
u4,1,0.642525,0.215455,[ 1 48] ; [ 1 92],[ 0.69014085 48.30985915] ; [ 1.30985915 91.69014085],0
v4,1,0.730838,0.118343,[46  3] ; [84  7],[45.5  3.5] ; [84.5  6.5],0
r3,1,0.75658,0.096085,[42  6] ; [83 10],[42.55319149  5.44680851] ; [82.44680851 10.55319149],0
a6,1,0.81844,0.052694,[28 21] ; [55 38],[28.64084507 20.35915493] ; [54.35915493 38.64084507],0
n6,1,0.834813,0.043486,[38 10] ; [75 18],[38.46808511  9.53191489] ; [74.53191489 18.46808511],0
a5,1,0.869542,0.026975,[26 23] ; [48 45],[25.53521127 23.46478873] ; [48.46478873 44.53521127],0
n2,1,0.904273,0.014464,[10  4] ; [16  7],[9.83783784 4.16216216] ; [16.16216216  6.83783784],0
u3,1,0.923815,0.009145,[12 14] ; [18 20],[12.1875 13.8125] ; [17.8125 20.1875],0
a1,1,0.950725,0.003819,[ 2 47] ; [ 4 89],[ 2.07042254 46.92957746] ; [ 3.92957746 89.07042254],0
v1,1,0.966604,0.001753,[21 26] ; [41 50],[21.11594203 25.88405797] ; [40.88405797 50.11594203],0
b3,1,0.985567,0.000327,[ 9 15] ; [22 37],[ 8.96385542 15.03614458] ; [22.03614458 36.96385542],0
b2,1,0.985567,0.000327,[ 9 15] ; [22 37],[ 8.96385542 15.03614458] ; [22.03614458 36.96385542],0
