Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.009195,6.784615,[11  2] ; [1 4],[8.66666667 4.33333333] ; [3.33333333 1.66666667],0
n4,1,0.009195,6.784615,[11  2] ; [1 4],[8.66666667 4.33333333] ; [3.33333333 1.66666667],0
r2,1,0.022121,5.236218,[11  1] ; [2 3],[9.17647059 2.82352941] ; [3.82352941 1.17647059],0
n6,1,0.026494,4.923477,[10  3] ; [1 4],[7.94444444 5.05555556] ; [3.05555556 1.94444444],0
r1,1,0.059739,3.544615,[9 4] ; [1 4],[7.22222222 5.77777778] ; [2.77777778 2.22222222],0
d4,1,0.195539,1.675385,[6 7] ; [4 1],[7.22222222 5.77777778] ; [2.77777778 2.22222222],0
s1,1,0.260531,1.265934,[ 2 11] ; [2 3],[ 2.88888889 10.11111111] ; [1.11111111 3.88888889],0
v2,1,0.30797,1.039361,[6 7] ; [1 4],[5.05555556 7.94444444] ; [1.94444444 3.05555556],0
p2,1,0.394344,0.725505,[5 7] ; [1 4],[4.23529412 7.76470588] ; [1.76470588 3.23529412],0
p9,1,0.410117,0.678462,[8 5] ; [2 3],[7.22222222 5.77777778] ; [2.77777778 2.22222222],0
b4,1,0.410117,0.678462,[8 5] ; [2 3],[7.22222222 5.77777778] ; [2.77777778 2.22222222],0
s6,1,0.410117,0.678462,[5 8] ; [3 2],[5.77777778 7.22222222] ; [2.22222222 2.77777778],0
d2,1,0.410117,0.678462,[8 5] ; [2 3],[7.22222222 5.77777778] ; [2.77777778 2.22222222],0
a3,1,0.45675,0.553846,[12  1] ; [4 1],[11.55555556  1.44444444] ; [4.44444444 0.55555556],0
s4,1,0.45675,0.553846,[ 1 12] ; [1 4],[ 1.44444444 11.55555556] ; [0.55555556 4.44444444],0
a5,1,0.472766,0.515503,[10  3] ; [3 2],[9.38888889 3.61111111] ; [3.61111111 1.38888889],0
p7,1,0.51276,0.42843,[4 7] ; [1 4],[3.4375 7.5625] ; [1.5625 3.4375],0
a7,1,0.598725,0.276923,[6 7] ; [3 2],[6.5 6.5] ; [2.5 2.5],0
p10,1,0.598725,0.276923,[7 6] ; [2 3],[6.5 6.5] ; [2.5 2.5],0
s8,1,0.647743,0.208757,[4 9] ; [1 4],[3.61111111 9.38888889] ; [1.38888889 3.61111111],0
p11,1,0.647743,0.208757,[4 9] ; [1 4],[3.61111111 9.38888889] ; [1.38888889 3.61111111],0
n3,1,0.67329,0.177778,[2 4] ; [1 1],[2.25 3.75] ; [0.75 1.25],0
s7,1,0.681777,0.168132,[5 8] ; [2 2],[5.35294118 7.64705882] ; [1.64705882 2.35294118],0
b1,1,0.709815,0.138462,[9 4] ; [3 2],[8.66666667 4.33333333] ; [3.33333333 1.66666667],0
s2,1,0.709815,0.138462,[4 9] ; [2 3],[4.33333333 8.66666667] ; [1.66666667 3.33333333],0
d5,1,0.709815,0.138462,[9 4] ; [3 2],[8.66666667 4.33333333] ; [3.33333333 1.66666667],0
p3,1,0.793258,0.068687,[4 8] ; [2 3],[4.23529412 7.76470588] ; [1.76470588 3.23529412],0
p8,1,0.813945,0.055385,[6 7] ; [2 3],[5.77777778 7.22222222] ; [2.22222222 2.77777778],0
b5,1,0.813945,0.055385,[6 7] ; [2 3],[5.77777778 7.22222222] ; [2.22222222 2.77777778],0
a6,1,0.813945,0.055385,[7 6] ; [3 2],[7.22222222 5.77777778] ; [2.77777778 2.22222222],0
a4,1,0.813945,0.055385,[6 7] ; [2 3],[5.77777778 7.22222222] ; [2.22222222 2.77777778],0
s3,1,0.824745,0.049038,[3 9] ; [1 4],[2.82352941 9.17647059] ; [1.17647059 3.82352941],0
n1,1,0.857714,0.032143,[4 3] ; [1 1],[3.88888889 3.11111111] ; [1.11111111 0.88888889],0
b3,1,0.886508,0.02037,[4 5] ; [1 1],[4.09090909 4.90909091] ; [0.90909091 1.09090909],0
b2,1,0.886508,0.02037,[4 5] ; [1 1],[4.09090909 4.90909091] ; [0.90909091 1.09090909],0
a2,1,0.888153,0.01978,[ 3 10] ; [1 4],[ 2.88888889 10.11111111] ; [1.11111111 3.88888889],0
s5,1,0.888153,0.01978,[ 3 10] ; [1 4],[ 2.88888889 10.11111111] ; [1.11111111 3.88888889],0
p1,1,0.888153,0.01978,[ 3 10] ; [1 4],[ 2.88888889 10.11111111] ; [1.11111111 3.88888889],0
p4,1,0.949272,0.004048,[5 7] ; [2 3],[4.94117647 7.05882353] ; [2.05882353 2.94117647],0
d1,1,0.95218,0.003596,[5 8] ; [2 3],[5.05555556 7.94444444] ; [1.94444444 3.05555556],0
