Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,30.153369,[52  8] ; [ 2 12],[43.78378378 16.21621622] ; [10.21621622  3.78378378],1
r3,1,9e-06,19.667812,[57  3] ; [7 7],[51.89189189  8.10810811] ; [12.10810811  1.89189189],1
n6,1,0.000577,11.850035,[48 11] ; [5 9],[42.83561644 16.16438356] ; [10.16438356  3.83561644],1
s6,1,0.000644,11.644019,[45 12] ; [ 5 10],[39.58333333 17.41666667] ; [10.41666667  4.58333333],1
s5,1,0.009754,6.679228,[23 31] ; [ 1 14],[18.7826087 35.2173913] ; [5.2173913 9.7826087],0
s2,1,0.009928,6.647717,[41 18] ; [ 5 10],[36.67567568 22.32432432] ; [9.32432432 5.67567568],0
s1,1,0.018945,5.506612,[ 4 55] ; [ 4 10],[ 6.46575342 52.53424658] ; [ 1.53424658 12.46575342],0
p11,1,0.021167,5.312991,[43 17] ; [6 9],[39.2 20.8] ; [9.8 5.2],0
p9,1,0.025096,5.017242,[45 14] ; [7 8],[41.45945946 17.54054054] ; [10.54054054  4.45945946],0
s8,1,0.027771,4.842257,[30 28] ; [ 3 12],[26.21917808 31.78082192] ; [6.78082192 8.21917808],0
p6,1,0.03701,4.349964,[21 38] ; [ 1 13],[17.78082192 41.21917808] ; [4.21917808 9.78082192],0
p10,1,0.04747,3.928645,[40 19] ; [6 9],[36.67567568 22.32432432] ; [9.32432432 5.67567568],0
s3,1,0.053109,3.740501,[39 19] ; [6 9],[35.75342466 22.24657534] ; [9.24657534 5.75342466],0
a3,1,0.110638,2.545089,[34 25] ; [12  3],[36.67567568 22.32432432] ; [9.32432432 5.67567568],0
b4,1,0.129135,2.302871,[37 23] ; [6 9],[34.4 25.6] ; [8.6 6.4],0
a7,1,0.159981,1.974401,[38 22] ; [6 8],[35.67567568 24.32432432] ; [8.32432432 5.67567568],0
p1,1,0.190456,1.714086,[ 5 55] ; [ 3 12],[ 6.4 53.6] ; [ 1.6 13.4],0
n4,1,0.195711,1.674092,[41 19] ; [7 7],[38.91891892 21.08108108] ; [9.08108108 4.91891892],0
d2,1,0.221252,1.496231,[25 34] ; [9 6],[27.10810811 31.89189189] ; [6.89189189 8.10810811],0
p8,1,0.24716,1.339286,[15 45] ; [6 9],[16.8 43.2] ; [ 4.2 10.8],0
v2,1,0.256347,1.288378,[34 23] ; [6 8],[32.11267606 24.88732394] ; [7.88732394 6.11267606],0
n3,1,0.271644,1.208424,[13  5] ; [4 4],[11.76923077  6.23076923] ; [5.23076923 2.76923077],0
a2,1,0.285676,1.139888,[ 9 51] ; [ 4 11],[10.4 49.6] ; [ 2.6 12.4],0
b1,1,0.291333,1.113453,[23 37] ; [8 7],[24.8 35.2] ; [6.2 8.8],0
d5,1,0.294766,1.097726,[40 19] ; [8 7],[38.27027027 20.72972973] ; [9.72972973 5.27027027],0
d4,1,0.329748,0.949887,[43 16] ; [9 6],[41.45945946 17.54054054] ; [10.54054054  4.45945946],0
s7,1,0.33819,0.917281,[28 28] ; [5 9],[26.4 29.6] ; [6.6 7.4],0
s4,1,0.367249,0.812951,[14 44] ; [ 2 13],[12.71232877 45.28767123] ; [ 3.28767123 11.71232877],0
p4,1,0.37627,0.782852,[23 36] ; [ 4 11],[21.52702703 37.47297297] ; [5.47297297 9.52702703],0
d3,1,0.385594,0.752791,[32 27] ; [10  5],[33.48648649 25.51351351] ; [8.51351351 6.48648649],0
p7,1,0.387252,0.747552,[25 32] ; [4 9],[23.61428571 33.38571429] ; [5.38571429 7.61428571],0
a1,1,0.394627,0.724638,[ 4 56] ; [ 2 13],[ 4.8 55.2] ; [ 1.2 13.8],0
u2,1,0.421806,0.645279,[15 11] ; [1 2],[14.34482759 11.65517241] ; [1.65517241 1.34482759],0
n5,1,0.425368,0.635436,[41 19] ; [8 6],[39.72972973 20.27027027] ; [9.27027027 4.72972973],0
p5,1,0.538167,0.378947,[ 7 50] ; [ 1 14],[ 6.33333333 50.66666667] ; [ 1.66666667 13.33333333],0
v3,1,0.545972,0.364583,[25 31] ; [5 9],[24. 32.] ; [6. 8.],0
n1,1,0.555126,0.348214,[9 9] ; [5 3],[9.69230769 8.30769231] ; [4.30769231 3.69230769],0
p3,1,0.618662,0.247752,[21 38] ; [ 4 10],[20.20547945 38.79452055] ; [4.79452055 9.20547945],0
n2,1,0.618757,0.247619,[15  3] ; [6 2],[14.53846154  3.46153846] ; [6.46153846 1.53846154],0
b5,1,0.627491,0.235479,[40 20] ; [9 6],[39.2 20.8] ; [9.8 5.2],0
a4,1,0.684345,0.165276,[28 31] ; [8 7],[28.7027027 30.2972973] ; [7.2972973 7.7027027],0
u3,1,0.69426,0.154512,[20  6] ; [2 1],[19.72413793  6.27586207] ; [2.27586207 0.72413793],0
d1,1,0.817345,0.053343,[30 30] ; [7 8],[29.6 30.4] ; [7.4 7.6],0
a6,1,0.856516,0.032692,[33 26] ; [8 7],[32.68918919 26.31081081] ; [8.31081081 6.68918919],0
u1,1,0.870363,0.026634,[ 9 51] ; [ 2 13],[ 8.8 51.2] ; [ 2.2 12.8],0
b3,1,0.932811,0.007108,[17 24] ; [4 6],[16.88235294 24.11764706] ; [4.11764706 5.88235294],0
b2,1,0.932811,0.007108,[17 24] ; [4 6],[16.88235294 24.11764706] ; [4.11764706 5.88235294],0
a5,1,1.0,0.0,[40 20] ; [10  5],[40. 20.] ; [10.  5.],0
