Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8e-06,19.90528,[ 2 13] ; [69 26],[9.68181818 5.31818182] ; [61.31818182 33.68181818],1
r2,1,0.000891,11.04176,[7 8] ; [80 15],[11.86363636  3.13636364] ; [75.13636364 19.86363636],1
r3,1,0.005463,7.719298,[8 7] ; [80 15],[12.  3.] ; [76. 19.],0
p1,1,0.03086,4.660708,[ 2 13] ; [ 2 93],[ 0.54545455 14.45454545] ; [ 3.45454545 91.54545455],0
p9,1,0.032588,4.567274,[6 9] ; [63 29],[9.6728972 5.3271028] ; [59.3271028 32.6728972],0
v2,1,0.037874,4.310667,[ 2 13] ; [38 54],[5.60747664 9.39252336] ; [34.39252336 57.60747664],0
u2,1,0.039473,4.240385,[1 5] ; [24 15],[3.33333333 2.66666667] ; [21.66666667 17.33333333],0
s1,1,0.041101,4.171827,[ 3 12] ; [ 5 90],[ 1.09090909 13.90909091] ; [ 6.90909091 88.09090909],0
n6,1,0.043714,4.067557,[ 5 10] ; [58 37],[8.59090909 6.40909091] ; [54.40909091 40.59090909],0
d5,1,0.053948,3.714298,[6 9] ; [62 32],[9.35779817 5.64220183] ; [58.64220183 35.35779817],0
p2,1,0.087704,2.916028,[7 8] ; [65 29],[9.90825688 5.09174312] ; [62.09174312 31.90825688],0
r1,1,0.105616,2.618623,[6 9] ; [59 36],[8.86363636 6.13636364] ; [56.13636364 38.86363636],0
a4,1,0.134495,2.239837,[6 9] ; [21 74],[ 3.68181818 11.31818182] ; [23.31818182 71.68181818],0
p10,1,0.141762,2.15873,[6 9] ; [56 37],[8.61111111 6.38888889] ; [53.38888889 39.61111111],0
n2,1,0.142822,2.147283,[2 4] ; [24 13],[3.62790698 2.37209302] ; [22.37209302 14.62790698],0
d3,1,0.1653,1.92506,[6 9] ; [55 38],[8.47222222 6.52777778] ; [52.52777778 40.47222222],0
p4,1,0.209832,1.572582,[ 3 12] ; [34 59],[5.13888889 9.86111111] ; [31.86111111 61.13888889],0
b4,1,0.244589,1.353949,[10  5] ; [48 47],[7.90909091 7.09090909] ; [50.09090909 44.90909091],0
v3,1,0.244899,1.352171,[ 1 14] ; [17 73],[ 2.57142857 12.42857143] ; [15.42857143 74.57142857],0
s3,1,0.291542,1.112487,[ 5 10] ; [20 75],[ 3.40909091 11.59090909] ; [21.59090909 73.40909091],0
b1,1,0.330597,0.946558,[8 7] ; [38 57],[6.27272727 8.72727273] ; [39.72727273 55.27272727],0
b5,1,0.330597,0.946558,[7 8] ; [57 38],[8.72727273 6.27272727] ; [55.27272727 39.72727273],0
s7,1,0.342395,0.901445,[ 3 10] ; [12 79],[ 1.875 11.125] ; [13.125 77.875],0
a6,1,0.363122,0.827068,[6 9] ; [50 45],[7.63636364 7.36363636] ; [48.36363636 46.63636364],0
p3,1,0.372198,0.796313,[ 2 13] ; [22 71],[ 3.33333333 11.66666667] ; [20.66666667 72.33333333],0
a7,1,0.388328,0.744172,[8 7] ; [61 33],[9.49541284 5.50458716] ; [59.50458716 34.49541284],0
d1,1,0.400854,0.705764,[ 4 11] ; [36 59],[5.45454545 9.54545455] ; [34.54545455 60.45454545],0
p11,1,0.51761,0.418653,[8 7] ; [59 36],[9.13636364 5.86363636] ; [57.86363636 37.13636364],0
d2,1,0.518308,0.417259,[6 9] ; [30 65],[ 4.90909091 10.09090909] ; [31.09090909 63.90909091],0
n1,1,0.528758,0.396779,[2 4] ; [ 8 29],[1.39534884 4.60465116] ; [ 8.60465116 28.39534884],0
s5,1,0.547913,0.361069,[ 2 13] ; [ 8 86],[ 1.37614679 13.62385321] ; [ 8.62385321 85.37614679],0
p7,1,0.627136,0.235964,[6 9] ; [43 49],[6.86915888 8.13084112] ; [42.13084112 49.86915888],0
p6,1,0.628744,0.233768,[ 2 13] ; [17 75],[ 2.6635514 12.3364486] ; [16.3364486 75.6635514],0
p8,1,0.630747,0.231049,[ 4 10] ; [33 61],[4.7962963 9.2037037] ; [32.2037037 61.7962963],0
a5,1,0.648008,0.208421,[6 9] ; [44 51],[6.81818182 8.18181818] ; [43.18181818 51.81818182],0
v1,1,0.665249,0.18721,[ 4 11] ; [30 63],[ 4.72222222 10.27777778] ; [29.27777778 63.72222222],0
b2,1,0.719654,0.128824,[2 7] ; [14 36],[2.44067797 6.55932203] ; [13.55932203 36.44067797],0
b3,1,0.719654,0.128824,[2 7] ; [14 36],[2.44067797 6.55932203] ; [13.55932203 36.44067797],0
s4,1,0.745881,0.105024,[ 2 13] ; [10 85],[ 1.63636364 13.36363636] ; [10.36363636 84.63636364],0
d4,1,0.76178,0.091896,[11  4] ; [66 29],[10.5  4.5] ; [66.5 28.5],0
s2,1,0.794765,0.067667,[ 2 13] ; [15 79],[ 2.33944954 12.66055046] ; [14.66055046 79.33944954],0
a2,1,0.817796,0.053075,[ 1 14] ; [ 8 87],[ 1.22727273 13.77272727] ; [ 7.77272727 87.22727273],0
n5,1,0.95704,0.002902,[ 5 10] ; [32 62],[5.09174312 9.90825688] ; [31.90825688 62.09174312],0
u1,1,0.958739,0.002677,[ 1 14] ; [ 6 89],[ 0.95454545 14.04545455] ; [ 6.04545455 88.95454545],0
a3,1,0.975115,0.000973,[9 6] ; [56 38],[8.94495413 6.05504587] ; [56.05504587 37.94495413],0
n3,1,0.981947,0.000512,[3 2] ; [23 15],[3.02325581 1.97674419] ; [22.97674419 15.02325581],0
