Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,1e-06,24.028071,[100   9] ; [33 22],[88.39634146 20.60365854] ; [44.60365854 10.39634146],1
r3,1,1e-06,23.396727,[107   3] ; [42 16],[97.55952381 12.44047619] ; [51.44047619  6.55952381],1
v4,1,6e-06,20.46573,[105   5] ; [41 17],[95.5952381 14.4047619] ; [50.4047619  7.5952381],1
p10,1,3.9e-05,16.929063,[91 18] ; [30 26],[79.93333333 29.06666667] ; [41.06666667 14.93333333],1
p9,1,0.000795,11.25341,[95 13] ; [37 19],[86.92682927 21.07317073] ; [45.07317073 10.92682927],1
p7,1,0.002663,9.024902,[65 44] ; [20 37],[55.81325301 53.18674699] ; [29.18674699 27.81325301],0
a7,1,0.007507,7.147441,[73 36] ; [27 32],[64.88095238 44.11904762] ; [35.11904762 23.88095238],0
s6,1,0.012459,6.244326,[64 41] ; [24 35],[56.34146341 48.65853659] ; [31.65853659 27.34146341],0
s5,1,0.014514,5.97456,[33 70] ; [ 8 48],[26.55974843 76.44025157] ; [14.44025157 41.55974843],0
v3,1,0.030382,4.687573,[40 68] ; [12 46],[33.8313253 74.1686747] ; [18.1686747 39.8313253],0
p6,1,0.057352,3.612351,[40 67] ; [13 44],[34.57926829 72.42073171] ; [18.42073171 38.57926829],0
b1,1,0.072972,3.214872,[35 75] ; [27 32],[40.35502959 69.64497041] ; [21.64497041 37.35502959],0
v1,1,0.08334,2.998533,[49 60] ; [17 38],[43.86585366 65.13414634] ; [22.13414634 32.86585366],0
u1,1,0.086183,2.944263,[  4 106] ; [ 6 53],[  6.50887574 103.49112426] ; [ 3.49112426 55.50887574],0
d5,1,0.088403,2.903217,[82 27] ; [37 22],[77.20833333 31.79166667] ; [41.79166667 17.20833333],0
p8,1,0.093676,2.810039,[53 55] ; [21 38],[47.85628743 60.14371257] ; [26.14371257 32.85628743],0
b5,1,0.113978,2.498174,[75 35] ; [33 26],[70.29585799 39.70414201] ; [37.70414201 21.29585799],0
u2,1,0.116189,2.467949,[22 22] ; [ 8 18],[18.85714286 25.14285714] ; [11.14285714 14.85714286],0
p5,1,0.118524,2.436718,[14 95] ; [ 3 55],[11.09580838 97.90419162] ; [ 5.90419162 52.09580838],0
p2,1,0.122362,2.386827,[86 24] ; [39 19],[81.8452381 28.1547619] ; [43.1547619 14.8452381],0
s3,1,0.12406,2.365302,[53 56] ; [21 37],[48.2994012 60.7005988] ; [25.7005988 32.2994012],0
p12,1,0.128877,2.30598,[  8 102] ; [ 1 57],[  5.89285714 104.10714286] ; [ 3.10714286 54.89285714],0
s8,1,0.146412,2.109245,[38 72] ; [14 45],[33.84615385 76.15384615] ; [18.15384615 40.84615385],0
p11,1,0.180838,1.790728,[85 25] ; [40 19],[81.36094675 28.63905325] ; [43.63905325 15.36094675],0
a8,1,0.211885,1.558497,[12 92] ; [ 3 52],[ 9.81132075 94.18867925] ; [ 5.18867925 49.81132075],0
p3,1,0.301149,1.069098,[52 58] ; [23 36],[48.81656805 61.18343195] ; [26.18343195 32.81656805],0
d3,1,0.326796,0.961551,[64 45] ; [30 29],[60.98809524 48.01190476] ; [33.01190476 25.98809524],0
b4,1,0.327783,0.957637,[70 40] ; [33 26],[67.04142012 42.95857988] ; [35.95857988 23.04142012],0
n2,1,0.414935,0.664615,[23  7] ; [16  8],[21.66666667  8.33333333] ; [17.33333333  6.66666667],0
