Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.002948,8.839589,[ 9 41] ; [14 14],[14.74358974 35.25641026] ; [ 8.25641026 19.74358974],0
v4,1,0.01977,5.43207,[33 17] ; [26  3],[37.34177215 12.65822785] ; [21.65822785  7.34177215],0
d3,1,0.02075,5.347637,[16 34] ; [17 12],[20.88607595 29.11392405] ; [12.11392405 16.88607595],0
v1,1,0.027922,4.832907,[ 8 42] ; [11 18],[12.02531646 37.97468354] ; [ 6.97468354 22.02531646],0
b4,1,0.036819,4.358773,[28 22] ; [23  6],[32.27848101 17.72151899] ; [18.72151899 10.27848101],0
s8,1,0.069383,3.297558,[ 7 43] ; [ 9 20],[10.12658228 39.87341772] ; [ 5.87341772 23.12658228],0
n6,1,0.078305,3.099745,[30 20] ; [23  6],[33.5443038 16.4556962] ; [19.4556962  9.5443038],0
d1,1,0.082049,3.023838,[10 40] ; [11 18],[13.29113924 36.70886076] ; [ 7.70886076 21.29113924],0
d4,1,0.09425,2.800248,[26 24] ; [20  8],[29.48717949 20.51282051] ; [16.51282051 11.48717949],0
a3,1,0.104292,2.638656,[15 35] ; [14 15],[18.35443038 31.64556962] ; [10.64556962 18.35443038],0
r3,1,0.120909,2.405505,[35 15] ; [24  4],[37.82051282 12.17948718] ; [21.17948718  6.82051282],0
a8,1,0.169677,1.885791,[ 3 46] ; [ 4 21],[ 4.63513514 44.36486486] ; [ 2.36486486 22.63513514],0
d5,1,0.1808,1.791032,[25 25] ; [19 10],[27.84810127 22.15189873] ; [16.15189873 12.84810127],0
n4,1,0.1808,1.791032,[25 25] ; [19 10],[27.84810127 22.15189873] ; [16.15189873 12.84810127],0
b2,1,0.227491,1.456481,[10 26] ; [ 2 14],[ 8.30769231 27.69230769] ; [ 3.69230769 12.30769231],0
b3,1,0.227491,1.456481,[10 26] ; [ 2 14],[ 8.30769231 27.69230769] ; [ 3.69230769 12.30769231],0
s1,1,0.289355,1.122618,[ 5 45] ; [ 1 28],[ 3.79746835 46.20253165] ; [ 2.20253165 26.79746835],0
r1,1,0.317076,1.000968,[27 23] ; [19 10],[29.11392405 20.88607595] ; [16.88607595 12.11392405],0
a7,1,0.362538,0.829082,[25 25] ; [17 11],[26.92307692 23.07692308] ; [15.07692308 12.92307692],0
a6,1,0.372046,0.796819,[19 31] ; [14 15],[20.88607595 29.11392405] ; [12.11392405 16.88607595],0
s5,1,0.398402,0.713143,[ 7 43] ; [ 6 22],[ 8.33333333 41.66666667] ; [ 4.66666667 23.33333333],0
r2,1,0.412965,0.670247,[35 15] ; [22  6],[36.53846154 13.46153846] ; [20.46153846  7.53846154],0
