Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,64.309329,[211  39] ; [76 85],[174.57420925  75.42579075] ; [112.42579075  48.57420925],1
p4,1,0.0,42.59519,[202  50] ; [82 83],[171.62589928  80.37410072] ; [112.37410072  52.62589928],1
p6,1,0.0,28.141735,[139 112] ; [ 47 116],[112.76811594 138.23188406] ; [73.23188406 89.76811594],1
p3,1,0.0,26.69746,[172  80] ; [70 94],[146.59615385 105.40384615] ; [95.40384615 68.59615385],1
p11,1,2.2e-05,17.994933,[228  25] ; [123  42],[212.44736842  40.55263158] ; [138.55263158  26.44736842],1
p2,1,0.00014,14.500299,[234  19] ; [131  33],[221.45083933  31.54916067] ; [143.54916067  20.45083933],1
p5,1,0.000352,12.771475,[ 54 199] ; [ 13 148],[ 40.94444444 212.05555556] ; [ 26.05555556 134.94444444],1
r4,1,0.001687,9.862392,[241  12] ; [143  22],[232.42105263  20.57894737] ; [151.57894737  13.42105263],0
n4,1,0.00187,9.673108,[216  37] ; [119  44],[203.73798077  49.26201923] ; [131.26201923  31.73798077],0
v3,1,0.002037,9.51621,[138 109] ; [63 94],[122.88861386 124.11138614] ; [78.11138614 78.88861386],0
p10,1,0.00287,8.88811,[242  10] ; [145  19],[234.43269231  17.56730769] ; [152.56730769  11.43269231],0
d1,1,0.004906,7.913822,[171  82] ; [89 76],[157.36842105  95.63157895] ; [102.63157895  62.36842105],0
b5,1,0.007976,7.038905,[147 106] ; [117  48],[159.78947368  93.21052632] ; [104.21052632  60.78947368],0
s5,1,0.008716,6.880022,[112 131] ; [ 52 106],[ 99.38154613 143.61845387] ; [64.61845387 93.38154613],0
n5,1,0.010722,6.510837,[219  33] ; [126  37],[209.4939759  42.5060241] ; [135.5060241  27.4939759],0
a5,1,0.012169,6.286036,[206  47] ; [117  48],[195.5  57.5] ; [127.5  37.5],0
n6,1,0.014982,5.918569,[226  24] ; [134  29],[217.91767554  32.08232446] ; [142.08232446  20.91767554],0
r1,1,0.032684,4.562275,[217  35] ; [128  36],[208.99038462  43.00961538] ; [136.00961538  27.99038462],0
p1,1,0.036662,4.366043,[ 33 219] ; [ 11 154],[ 26.58992806 225.41007194] ; [ 17.41007194 147.58992806],0
s8,1,0.047293,3.934939,[143 107] ; [78 87],[133.13253012 116.86746988] ; [87.86746988 77.13253012],0
p12,1,0.048954,3.876932,[ 34 219] ; [ 12 153],[ 27.84210526 225.15789474] ; [ 18.15789474 146.84210526],0
d4,1,0.049948,3.843203,[220  31] ; [133  32],[212.98798077  38.01201923] ; [140.01201923  24.98798077],0
a7,1,0.100584,2.696255,[191  61] ; [113  52],[183.71223022  68.28776978] ; [120.28776978  44.71223022],0
b3,1,0.1101,2.552788,[79 87] ; [40 66],[72.625 93.375] ; [46.375 59.625],0
b2,1,0.1101,2.552788,[79 87] ; [40 66],[72.625 93.375] ; [46.375 59.625],0
n1,1,0.121897,2.39277,[19 16] ; [15 26],[15.65789474 19.34210526] ; [18.34210526 22.65789474],0
v4,1,0.16999,1.883033,[245   6] ; [156   8],[242.53253012   8.46746988] ; [158.46746988   5.53253012],0
s7,1,0.17212,1.864378,[138 103] ; [80 79],[131.345 109.655] ; [86.655 72.345],0
n2,1,0.181236,1.787456,[30  5] ; [30 11],[27.63157895  7.36842105] ; [32.36842105  8.63157895],0
d3,1,0.193485,1.69088,[183  69] ; [110  55],[177.0647482  74.9352518] ; [115.9352518  49.0647482],0
a6,1,0.204226,1.611891,[163  88] ; [117  48],[168.94230769  82.05769231] ; [111.05769231  53.94230769],0
r2,1,0.254842,1.296565,[241   8] ; [155   9],[238.75060533  10.24939467] ; [157.24939467   6.75060533],0
a3,1,0.319907,0.989325,[194  56] ; [121  44],[189.75903614  60.24096386] ; [125.24096386  39.75903614],0
v2,1,0.367665,0.811541,[174  75] ; [103  54],[169.88423645  79.11576355] ; [107.11576355  49.88423645],0
u1,1,0.391404,0.734576,[ 48 205] ; [ 37 128],[ 51.44736842 201.55263158] ; [ 33.55263158 131.44736842],0
s2,1,0.458593,0.549328,[137 114] ; [95 68],[140.65700483 110.34299517] ; [91.34299517 71.65700483],0
r3,1,0.462731,0.539279,[243  10] ; [155   9],[241.47242206  11.52757794] ; [156.52757794   7.47242206],0
u4,1,0.514207,0.425496,[  9 244] ; [  4 161],[  7.86842105 245.13157895] ; [  5.13157895 159.86842105],0
b4,1,0.580483,0.305454,[148 105] ; [101  64],[150.71052632 102.28947368] ; [98.28947368 66.71052632],0
d5,1,0.582403,0.302366,[212  39] ; [136  29],[209.97115385  41.02884615] ; [138.02884615  26.97115385],0
u2,1,0.647095,0.209582,[33 26] ; [26 17],[34.12745098 24.87254902] ; [24.87254902 18.12745098],0
b1,1,0.677385,0.173085,[ 94 159] ; [ 58 107],[ 92. 161.] ; [ 60. 105.],0
a2,1,0.686007,0.163442,[ 63 190] ; [ 44 121],[ 64.76315789 188.23684211] ; [ 42.23684211 122.76315789],0
a4,1,0.706205,0.142097,[120 131] ; [82 83],[121.87980769 129.12019231] ; [80.12019231 84.87980769],0
s3,1,0.801455,0.063235,[143 106] ; [91 71],[141.76642336 107.23357664] ; [92.23357664 69.76642336],0
n3,1,0.804159,0.061488,[24 10] ; [30 11],[24.48  9.52] ; [29.52 11.48],0
s4,1,0.808754,0.05858,[ 39 211] ; [ 24 139],[ 38.13559322 211.86440678] ; [ 24.86440678 138.13559322],0
d2,1,0.823244,0.049896,[125 127] ; [80 85],[123.88489209 128.11510791] ; [81.11510791 83.88489209],0
s1,1,0.85672,0.032599,[  7 245] ; [  4 157],[  6.71186441 245.28813559] ; [  4.28813559 156.71186441],0
a1,1,0.913178,0.011888,[ 16 237] ; [ 10 155],[ 15.73684211 237.26315789] ; [ 10.26315789 154.73684211],0
u3,1,0.92337,0.009252,[37 22] ; [28 16],[37.23300971 21.76699029] ; [27.76699029 16.23300971],0
s6,1,0.94662,0.004483,[180  65] ; [120  44],[179.70660147  65.29339853] ; [120.29339853  43.70660147],0
a8,1,0.960568,0.002444,[ 37 190] ; [ 24 125],[ 36.82712766 190.17287234] ; [ 24.17287234 124.82712766],0
