Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000208,13.754386,[11 11] ; [10 66],[ 4.71428571 17.28571429] ; [16.28571429 59.71428571],1
p7,1,0.000252,13.394067,[13  7] ; [17 59],[ 6.25 13.75] ; [23.75 52.25],1
p5,1,0.001387,10.223585,[ 5 17] ; [ 2 73],[ 1.58762887 20.41237113] ; [ 5.41237113 69.58762887],0
p4,1,0.005231,7.797827,[12  8] ; [21 57],[ 6.73469388 13.26530612] ; [26.26530612 51.73469388],0
p3,1,0.021079,5.32029,[11 10] ; [20 57],[ 6.64285714 14.35714286] ; [24.35714286 52.64285714],0
v4,1,0.062899,3.459233,[21  1] ; [61 17],[18.04  3.96] ; [63.96 14.04],0
s3,1,0.067946,3.331962,[ 7 15] ; [42 36],[10.78 11.22] ; [38.22 39.78],0
s5,1,0.104154,2.640757,[ 9 13] ; [17 56],[ 6.02105263 15.97894737] ; [19.97894737 53.02105263],0
b1,1,0.106207,2.609768,[ 7 15] ; [40 38],[10.34 11.66] ; [36.66 41.34],0
d2,1,0.109148,2.566508,[13  8] ; [60 16],[15.80412371  5.19587629] ; [57.19587629 18.80412371],0
p10,1,0.12679,2.331371,[16  6] ; [42 35],[12.88888889  9.11111111] ; [45.11111111 31.88888889],0
p9,1,0.137968,2.200482,[17  5] ; [45 30],[14.06185567  7.93814433] ; [47.93814433 27.06185567],0
p11,1,0.159372,1.980175,[15  7] ; [40 38],[12.1  9.9] ; [42.9 35.1],0
s4,1,0.165363,1.924487,[ 2 20] ; [17 59],[ 4.26530612 17.73469388] ; [14.73469388 61.26530612],0
n2,1,0.17008,1.88224,[7 2] ; [20 18],[5.17021277 3.82978723] ; [21.82978723 16.17021277],0
v1,1,0.19294,1.695024,[11 11] ; [26 49],[ 8.39175258 13.60824742] ; [28.60824742 46.39175258],0
d3,1,0.341339,0.905395,[19  2] ; [63 14],[17.57142857  3.42857143] ; [64.42857143 12.57142857],0
u3,1,0.350122,0.873016,[5 1] ; [10  6],[4.09090909 1.90909091] ; [10.90909091  5.09090909],0
a4,1,0.37436,0.789139,[12 10] ; [50 27],[13.77777778  8.22222222] ; [48.22222222 28.77777778],0
a6,1,0.375283,0.786096,[12  9] ; [52 25],[13.71428571  7.28571429] ; [50.28571429 26.71428571],0
u1,1,0.403019,0.699301,[ 4 18] ; [21 57],[ 5.5 16.5] ; [19.5 58.5],0
a1,1,0.408431,0.683362,[ 1 21] ; [ 8 70],[ 1.98 20.02] ; [ 7.02 70.98],0
r3,1,0.418087,0.655687,[17  5] ; [66 12],[18.26  3.74] ; [64.74 13.26],0
s8,1,0.447796,0.576225,[10 11] ; [30 48],[ 8.48484848 12.51515152] ; [31.51515152 46.48484848],0
n3,1,0.453255,0.5625,[4 5] ; [21 15],[5. 4.] ; [20. 16.],0
a3,1,0.499047,0.456963,[16  6] ; [62 16],[17.16  4.84] ; [60.84 17.16],0
p12,1,0.499395,0.456221,[ 2 20] ; [ 4 73],[ 1.33333333 20.66666667] ; [ 4.66666667 72.33333333],0
v3,1,0.514095,0.425724,[ 6 16] ; [24 45],[ 7.25274725 14.74725275] ; [22.74725275 46.25274725],0
a2,1,0.590438,0.289661,[ 6 16] ; [26 52],[ 7.04 14.96] ; [24.96 53.04],0
p1,1,0.609414,0.261029,[ 1 21] ; [ 6 72],[ 1.54 20.46] ; [ 5.46 72.54],0
s6,1,0.627319,0.235714,[11 11] ; [43 34],[12. 10.] ; [42. 35.],0
n5,1,0.643588,0.21408,[15  7] ; [49 29],[14.08  7.92] ; [49.92 28.08],0
b4,1,0.667195,0.1849,[13  9] ; [50 28],[13.86  8.14] ; [49.14 28.86],0
u2,1,0.675706,0.175,[3 3] ; [9 6],[3.42857143 2.57142857] ; [8.57142857 6.42857143],0
b5,1,0.710101,0.138176,[12 10] ; [46 32],[12.76  9.24] ; [45.24 32.76],0
s1,1,0.735574,0.114055,[ 1 21] ; [ 5 72],[ 1.33333333 20.66666667] ; [ 4.66666667 72.33333333],0
a7,1,0.74152,0.108795,[15  7] ; [56 22],[15.62  6.38] ; [55.38 22.62],0
u4,1,0.744972,0.105804,[ 1 21] ; [ 5 73],[ 1.32 20.68] ; [ 4.68 73.32],0
n6,1,0.774705,0.081926,[15  5] ; [56 22],[14.48979592  5.51020408] ; [56.51020408 21.48979592],0
a8,1,0.813128,0.055881,[ 1 18] ; [ 5 69],[ 1.22580645 17.77419355] ; [ 4.77419355 69.22580645],0
a5,1,0.82181,0.050723,[17  5] ; [62 16],[17.38  4.62] ; [61.62 16.38],0
r1,1,0.833111,0.0444,[15  7] ; [55 23],[15.4  6.6] ; [54.6 23.4],0
n4,1,0.833111,0.0444,[15  7] ; [55 23],[15.4  6.6] ; [54.6 23.4],0
s7,1,0.847729,0.036871,[11 10] ; [36 36],[10.61290323 10.38709677] ; [36.38709677 35.61290323],0
n1,1,0.8744,0.024987,[4 5] ; [18 20],[4.21276596 4.78723404] ; [17.78723404 20.21276596],0
s2,1,0.876331,0.024218,[10 12] ; [34 44],[ 9.68 12.32] ; [34.32 43.68],0
b2,1,0.88322,0.021576,[6 9] ; [22 36],[5.75342466 9.24657534] ; [22.24657534 35.75342466],0
b3,1,0.88322,0.021576,[6 9] ; [22 36],[5.75342466 9.24657534] ; [22.24657534 35.75342466],0
v2,1,0.884377,0.021148,[12 10] ; [38 34],[11.70212766 10.29787234] ; [38.29787234 33.70212766],0
r4,1,0.973974,0.001064,[16  6] ; [57 21],[16.06  5.94] ; [56.94 21.06],0
