Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5.3e-05,16.326231,[30  3] ; [2 6],[25.75609756  7.24390244] ; [6.24390244 1.75609756],1
p6,1,8.8e-05,15.367468,[26  6] ; [1 8],[21.07317073 10.92682927] ; [5.92682927 3.07317073],1
p3,1,0.000227,13.589899,[28  5] ; [2 7],[23.57142857  9.42857143] ; [6.42857143 2.57142857],1
s1,1,0.006048,7.535885,[ 1 32] ; [3 6],[ 3.14285714 29.85714286] ; [0.85714286 8.14285714],0
p2,1,0.011648,6.363636,[30  3] ; [5 4],[27.5  5.5] ; [7.5 1.5],0
p8,1,0.013724,6.073309,[27  5] ; [4 5],[24.19512195  7.80487805] ; [6.80487805 2.19512195],0
v2,1,0.032294,4.582802,[20 12] ; [2 7],[17.17073171 14.82926829] ; [4.82926829 4.17073171],0
a5,1,0.060024,3.536713,[18 15] ; [8 1],[20.42857143 12.57142857] ; [5.57142857 3.42857143],0
b5,1,0.085243,2.961983,[15 18] ; [7 2],[17.28571429 15.71428571] ; [4.71428571 4.28571429],0
d2,1,0.130134,2.290909,[ 4 29] ; [3 6],[ 5.5 27.5] ; [1.5 7.5],0
p9,1,0.153676,2.035379,[30  2] ; [7 2],[28.87804878  3.12195122] ; [8.12195122 0.87804878],0
s3,1,0.177249,1.820538,[17 16] ; [2 6],[15.29268293 17.70731707] ; [3.70731707 4.29268293],0
u3,1,0.21289,1.551667,[9 6] ; [1 3],[7.89473684 7.10526316] ; [2.10526316 1.89473684],0
p11,1,0.218219,1.516043,[28  5] ; [6 3],[26.71428571  6.28571429] ; [7.28571429 1.71428571],0
s8,1,0.224325,1.476488,[18 14] ; [3 6],[16.3902439 15.6097561] ; [4.6097561 4.3902439],0
b4,1,0.268621,1.223776,[19 14] ; [7 2],[20.42857143 12.57142857] ; [5.57142857 3.42857143],0
b1,1,0.298458,1.08107,[12 21] ; [5 4],[13.35714286 19.64285714] ; [3.64285714 5.35714286],0
d4,1,0.298458,1.08107,[21 12] ; [4 5],[19.64285714 13.35714286] ; [5.35714286 3.64285714],0
s7,1,0.501273,0.452241,[19  9] ; [5 4],[18.16216216  9.83783784] ; [5.83783784 3.16216216],0
s6,1,0.516836,0.420202,[26  4] ; [7 2],[25.38461538  4.61538462] ; [7.61538462 1.38461538],0
v1,1,0.576172,0.312464,[17 16] ; [5 3],[17.70731707 15.29268293] ; [4.29268293 3.70731707],0
a4,1,0.582432,0.302319,[ 8 25] ; [3 6],[ 8.64285714 24.35714286] ; [2.35714286 6.64285714],0
r1,1,0.582432,0.302319,[25  8] ; [6 3],[24.35714286  8.64285714] ; [6.64285714 2.35714286],0
p1,1,0.582432,0.302319,[ 8 25] ; [3 6],[ 8.64285714 24.35714286] ; [2.35714286 6.64285714],0
a6,1,0.590698,0.289256,[18 15] ; [4 5],[17.28571429 15.71428571] ; [4.71428571 4.28571429],0
r3,1,0.602027,0.27195,[31  2] ; [8 1],[30.64285714  2.35714286] ; [8.35714286 0.64285714],0
n6,1,0.602027,0.27195,[31  2] ; [8 1],[30.64285714  2.35714286] ; [8.35714286 0.64285714],0
n4,1,0.613893,0.254545,[28  5] ; [7 2],[27.5  5.5] ; [7.5 1.5],0
n5,1,0.613893,0.254545,[28  5] ; [7 2],[27.5  5.5] ; [7.5 1.5],0
a8,1,0.677318,0.17316,[ 6 26] ; [1 7],[ 5.6 26.4] ; [1.4 6.6],0
d5,1,0.706879,0.141414,[17 16] ; [4 5],[16.5 16.5] ; [4.5 4.5],0
u2,1,0.718904,0.129545,[9 6] ; [2 2],[8.68421053 6.31578947] ; [2.31578947 1.68421053],0
s5,1,0.7572,0.095579,[19 12] ; [5 4],[18.6 12.4] ; [5.4 3.6],0
v3,1,0.768321,0.086772,[16 16] ; [5 4],[16.3902439 15.6097561] ; [4.6097561 4.3902439],0
s2,1,0.784379,0.074866,[13 20] ; [4 5],[13.35714286 19.64285714] ; [3.64285714 5.35714286],0
r4,1,0.85479,0.033493,[30  3] ; [8 1],[29.85714286  3.14285714] ; [8.14285714 0.85714286],0
a7,1,0.861623,0.030383,[23 10] ; [6 3],[22.78571429 10.21428571] ; [6.21428571 2.78571429],0
d3,1,0.866446,0.028283,[12 21] ; [3 6],[11.78571429 21.21428571] ; [3.21428571 5.78571429],0
r2,1,0.910434,0.012654,[28  4] ; [8 1],[28.09756098  3.90243902] ; [7.90243902 1.09756098],0
a3,1,0.956962,0.002912,[18 15] ; [5 4],[18.07142857 14.92857143] ; [4.92857143 4.07142857],0
b2,1,0.97021,0.001395,[ 9 13] ; [2 3],[ 8.96296296 13.03703704] ; [2.03703704 2.96296296],0
b3,1,0.97021,0.001395,[ 9 13] ; [2 3],[ 8.96296296 13.03703704] ; [2.03703704 2.96296296],0
p10,1,1.0,0.0,[28  4] ; [7 1],[28.  4.] ; [7. 1.],0
