Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,1e-06,25.030273,[39 13] ; [ 5 24],[28.24691358 23.75308642] ; [15.75308642 13.24691358],1
a6,1,0.001922,9.622532,[38 14] ; [11 18],[31.45679012 20.54320988] ; [17.54320988 11.45679012],0
a2,1,0.013918,6.048498,[13 39] ; [ 1 28],[ 8.98765432 43.01234568] ; [ 5.01234568 23.98765432],0
b1,1,0.023397,5.138785,[17 35] ; [17 12],[21.82716049 30.17283951] ; [12.17283951 16.82716049],0
d3,1,0.039057,4.258382,[43  9] ; [18 11],[39.16049383 12.83950617] ; [21.83950617  7.16049383],0
n1,1,0.05945,3.552653,[1 6] ; [6 4],[2.88235294 4.11764706] ; [4.11764706 5.88235294],0
u1,1,0.064831,3.409263,[12 40] ; [ 2 27],[ 8.98765432 43.01234568] ; [ 5.01234568 23.98765432],0
p1,1,0.097089,2.752726,[ 3 49] ; [ 5 24],[ 5.13580247 46.86419753] ; [ 2.86419753 26.13580247],0
r2,1,0.097089,2.752726,[49  3] ; [24  5],[46.86419753  5.13580247] ; [26.13580247  2.86419753],0
s5,1,0.118416,2.438142,[22 24] ; [18  9],[25.20547945 20.79452055] ; [14.79452055 12.20547945],0
p3,1,0.13877,2.19155,[33 19] ; [23  6],[35.95061728 16.04938272] ; [20.04938272  8.95061728],0
b4,1,0.146764,2.10557,[32 20] ; [13 16],[28.88888889 23.11111111] ; [16.11111111 12.88888889],0
d4,1,0.186055,1.748582,[44  8] ; [21  8],[41.72839506 10.27160494] ; [23.27160494  5.72839506],0
s1,1,0.243964,1.357539,[ 2 50] ; [ 3 26],[ 3.20987654 48.79012346] ; [ 1.79012346 27.20987654],0
a5,1,0.251315,1.315981,[37 15] ; [17 12],[34.66666667 17.33333333] ; [19.33333333  9.66666667],0
v1,1,0.300086,1.073814,[29 22] ; [13 16],[26.775 24.225] ; [15.225 13.775],0
n2,1,0.322888,0.977211,[5 2] ; [9 1],[5.76470588 1.23529412] ; [8.23529412 1.76470588],0
n6,1,0.333568,0.934995,[46  5] ; [24  5],[44.625  6.375] ; [25.375  3.625],0
d1,1,0.364639,0.821852,[34 18] ; [16 13],[32.09876543 19.90123457] ; [17.90123457 11.09876543],0
s2,1,0.392938,0.729831,[38 13] ; [19 10],[36.3375 14.6625] ; [20.6625  8.3375],0
b3,1,0.41183,0.673511,[ 7 20] ; [ 3 16],[ 5.86956522 21.13043478] ; [ 4.13043478 14.86956522],0
b2,1,0.41183,0.673511,[ 7 20] ; [ 3 16],[ 5.86956522 21.13043478] ; [ 4.13043478 14.86956522],0
v2,1,0.418547,0.65439,[23 28] ; [10 18],[21.30379747 29.69620253] ; [11.69620253 16.30379747],0
r3,1,0.435006,0.609421,[47  4] ; [28  1],[47.8125  3.1875] ; [27.1875  1.8125],0
s7,1,0.44107,0.593497,[34 17] ; [21  7],[35.50632911 15.49367089] ; [19.49367089  8.50632911],0
n3,1,0.452209,0.56511,[6 1] ; [7 3],[5.35294118 1.64705882] ; [7.64705882 2.35294118],0
u2,1,0.472917,0.515152,[10 12] ; [7 5],[11. 11.] ; [6. 6.],0
p12,1,0.502013,0.450679,[ 6 46] ; [ 2 27],[ 5.13580247 46.86419753] ; [ 2.86419753 26.13580247],0
n4,1,0.525724,0.40265,[36 16] ; [22  7],[37.2345679 14.7654321] ; [20.7654321  8.2345679],0
v3,1,0.593948,0.284222,[17 34] ; [ 8 21],[15.9375 35.0625] ; [ 9.0625 19.9375],0
d2,1,0.630501,0.231381,[24 28] ; [15 14],[25.03703704 26.96296296] ; [13.96296296 15.03703704],0
a1,1,0.671512,0.179838,[ 1 51] ; [ 1 28],[ 1.28395062 50.71604938] ; [ 0.71604938 28.28395062],0
p10,1,0.67631,0.17431,[47  5] ; [27  2],[47.50617284  4.49382716] ; [26.49382716  2.50617284],0
u3,1,0.761069,0.092463,[14  8] ; [7 5],[13.58823529  8.41176471] ; [7.41176471 4.58823529],0
p6,1,0.765391,0.089048,[34 18] ; [18 11],[33.38271605 18.61728395] ; [18.61728395 10.38271605],0
p9,1,0.767438,0.087455,[46  6] ; [25  4],[45.58024691  6.41975309] ; [25.41975309  3.58024691],0
n5,1,0.825111,0.04883,[42 10] ; [24  5],[42.37037037  9.62962963] ; [23.62962963  5.37037037],0
d5,1,0.825111,0.04883,[42 10] ; [24  5],[42.37037037  9.62962963] ; [23.62962963  5.37037037],0
s8,1,0.826269,0.048175,[30 22] ; [16 13],[29.5308642 22.4691358] ; [16.4691358 12.5308642],0
s6,1,0.883601,0.021435,[43  6] ; [24  3],[43.19736842  5.80263158] ; [23.80263158  3.19736842],0
p2,1,0.895693,0.017188,[48  4] ; [27  2],[48.14814815  3.85185185] ; [26.85185185  2.14814815],0
r1,1,0.913963,0.011673,[40 12] ; [22  7],[39.80246914 12.19753086] ; [22.19753086  6.80246914],0
v4,1,0.927569,0.008264,[50  2] ; [28  1],[50.07407407  1.92592593] ; [27.92592593  1.07407407],0
a4,1,0.930394,0.00763,[21 31] ; [12 17],[21.18518519 30.81481481] ; [11.81481481 17.18518519],0
a3,1,0.935309,0.006588,[30 22] ; [17 12],[30.17283951 21.82716049] ; [16.82716049 12.17283951],0
s3,1,0.948709,0.004138,[38 14] ; [21  8],[37.87654321 14.12345679] ; [21.12345679  7.87654321],0
p4,1,0.960773,0.002419,[41 11] ; [23  6],[41.08641975 10.91358025] ; [22.91358025  6.08641975],0
p5,1,0.96669,0.001744,[ 7 45] ; [ 4 25],[ 7.0617284 44.9382716] ; [ 3.9382716 25.0617284],0
r4,1,0.96669,0.001744,[45  7] ; [25  4],[44.9382716  7.0617284] ; [25.0617284  3.9382716],0
p11,1,0.993962,5.7e-05,[43  9] ; [24  5],[43.01234568  8.98765432] ; [23.98765432  5.01234568],0
