Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,3e-06,21.627154,[57 10] ; [ 9 16],[48.06521739 18.93478261] ; [17.93478261  7.06521739],1
v4,1,1e-05,19.49184,[64  2] ; [15  9],[57.93333333  8.06666667] ; [21.06666667  2.93333333],1
r2,1,2.4e-05,17.814692,[66  2] ; [15  8],[60.52747253  7.47252747] ; [20.47252747  2.52747253],1
n3,1,0.015629,5.844156,[18  4] ; [6 8],[14.66666667  7.33333333] ; [9.33333333 4.66666667],0
u3,1,0.017476,5.647966,[22  4] ; [4 5],[19.31428571  6.68571429] ; [6.68571429 2.31428571],0
s6,1,0.023272,5.148085,[49 18] ; [12 13],[44.42391304 22.57608696] ; [16.57608696  8.42391304],0
p2,1,0.048942,3.877345,[50 18] ; [13 12],[46.06451613 21.93548387] ; [16.93548387  8.06451613],0
a1,1,0.060387,3.526712,[ 3 65] ; [ 4 21],[ 5.11827957 62.88172043] ; [ 1.88172043 23.11827957],0
s1,1,0.070879,3.262545,[ 3 62] ; [ 4 21],[ 5.05555556 59.94444444] ; [ 1.94444444 23.05555556],0
v3,1,0.086132,2.945225,[18 43] ; [ 3 22],[14.89534884 46.10465116] ; [ 6.10465116 18.89534884],0
b1,1,0.089089,2.890758,[30 38] ; [16  9],[33.6344086 34.3655914] ; [12.3655914 12.6344086],0
a5,1,0.144486,2.129516,[44 24] ; [12 13],[40.94623656 27.05376344] ; [15.05376344  9.94623656],0
d2,1,0.180083,1.79694,[22 45] ; [12 13],[24.76086957 42.23913043] ; [ 9.23913043 15.76086957],0
p11,1,0.185143,1.755849,[43 25] ; [12 13],[40.21505376 27.78494624] ; [14.78494624 10.21505376],0
a2,1,0.202447,1.624633,[ 9 59] ; [ 1 24],[ 7.31182796 60.68817204] ; [ 2.68817204 22.31182796],0
n2,1,0.242166,1.367938,[20  3] ; [10  4],[18.64864865  4.35135135] ; [11.35135135  2.64864865],0
p3,1,0.244687,1.353389,[29 39] ; [ 7 17],[26.60869565 41.39130435] ; [ 9.39130435 14.60869565],0
