Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,5.2e-05,16.385381,[18 25] ; [124  43],[29.07619048 13.92380952] ; [112.92380952  54.07619048],1
p10,1,0.000117,14.838055,[25 18] ; [140  25],[34.11057692  8.88942308] ; [130.88942308  34.11057692],1
p9,1,0.000715,11.449055,[29 14] ; [147  19],[36.21052632  6.78947368] ; [139.78947368  26.21052632],1
d5,1,0.00386,8.348496,[24 19] ; [129  37],[31.4784689 11.5215311] ; [121.5215311  44.4784689],0
b1,1,0.004184,8.202127,[28 15] ; [68 99],[19.65714286 23.34285714] ; [76.34285714 90.65714286],0
b4,1,0.005624,7.666989,[32 11] ; [85 82],[23.95714286 19.04285714] ; [93.04285714 73.95714286],0
n6,1,0.006529,7.398246,[28 13] ; [144  23],[33.90384615  7.09615385] ; [138.09615385  28.90384615],0
p8,1,0.009139,6.79548,[15 27] ; [96 69],[22.52173913 19.47826087] ; [88.47826087 76.52173913],0
r2,1,0.011496,6.38694,[33 10] ; [149  15],[37.80676329  5.19323671] ; [144.19323671  19.80676329],0
a3,1,0.013445,6.10954,[23 19] ; [124  43],[29.54066986 12.45933014] ; [117.45933014  49.54066986],0
r1,1,0.030533,4.679014,[25 18] ; [125  42],[30.71428571 12.28571429] ; [119.28571429  47.71428571],0
r4,1,0.036214,4.387006,[30 13] ; [140  27],[34.80952381  8.19047619] ; [135.19047619  31.80952381],0
n4,1,0.038499,4.282857,[29 13] ; [139  28],[33.76076555  8.23923445] ; [134.23923445  32.76076555],0
b5,1,0.058574,3.577319,[26 17] ; [74 93],[20.47619048 22.52380952] ; [79.52380952 87.47619048],0
n5,1,0.062699,3.464501,[29 13] ; [137  30],[33.35885167  8.64114833] ; [132.64114833  34.35885167],0
r3,1,0.090605,2.863587,[36  7] ; [154  13],[38.9047619  4.0952381] ; [151.0952381  15.9047619],0
p3,1,0.093066,2.82053,[17 26] ; [90 77],[21.90952381 21.09047619] ; [85.09047619 81.90952381],0
a6,1,0.094661,2.793266,[13 30] ; [74 93],[17.81428571 25.18571429] ; [69.18571429 97.81428571],0
p7,1,0.154795,2.024356,[26 17] ; [119  47],[29.83253589 13.16746411] ; [115.16746411  50.83253589],0
s6,1,0.175152,1.838287,[23 19] ; [107  55],[26.76470588 15.23529412] ; [103.23529412  58.76470588],0
p6,1,0.186097,1.74825,[12 30] ; [65 99],[15.69902913 26.30097087] ; [ 61.30097087 102.69902913],0
v4,1,0.192131,1.701197,[37  5] ; [155  10],[38.95652174  3.04347826] ; [153.04347826  11.95652174],0
