Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.0,29.458936,[67 43] ; [ 48 122],[45.17857143 64.82142857] ; [ 69.82142857 100.17857143],1
u1,1,0.001257,10.404278,[22 89] ; [ 12 159],[13.38297872 97.61702128] ; [ 20.61702128 150.38297872],0
r1,1,0.001703,9.845073,[86 25] ; [101  69],[73.8683274 37.1316726] ; [113.1316726  56.8683274],0
d3,1,0.004094,8.241452,[80 31] ; [93 76],[68.58214286 42.41785714] ; [104.41785714  64.58214286],0
p4,1,0.005926,7.57273,[66 45] ; [73 98],[54.71276596 56.28723404] ; [84.28723404 86.71276596],0
r3,1,0.008379,6.950722,[104   7] ; [141  29],[96.77935943 14.22064057] ; [148.22064057  21.77935943],0
d5,1,0.009022,6.818545,[94 17] ; [121  49],[84.92882562 26.07117438] ; [130.07117438  39.92882562],0
p3,1,0.011502,6.386051,[53 58] ; [ 56 115],[42.90425532 68.09574468] ; [ 66.09574468 104.90425532],0
n2,1,0.019086,5.493633,[24  6] ; [34 28],[18.91304348 11.08695652] ; [39.08695652 22.91304348],0
n3,1,0.023185,5.154614,[25  6] ; [34 26],[20.0989011 10.9010989] ; [38.9010989 21.0989011],0
s6,1,0.034696,4.460096,[54 57] ; [ 60 107],[45.51798561 65.48201439] ; [68.48201439 98.51798561],0
a5,1,0.035162,4.437303,[84 27] ; [109  62],[75.96808511 35.03191489] ; [117.03191489  53.96808511],0
p11,1,0.045555,3.997987,[88 23] ; [117  54],[80.69148936 30.30851064] ; [124.30851064  46.69148936],0
d4,1,0.048296,3.899663,[89 22] ; [119  52],[81.87234043 29.12765957] ; [126.12765957  44.87234043],0
a6,1,0.048658,3.887117,[79 32] ; [102  69],[71.24468085 39.75531915] ; [109.75531915  61.24468085],0
d1,1,0.0685,3.318601,[61 50] ; [75 96],[53.53191489 57.46808511] ; [82.46808511 88.53191489],0
p7,1,0.073502,3.203026,[65 46] ; [81 89],[57.67259786 53.32740214] ; [88.32740214 81.67259786],0
a2,1,0.082088,3.023069,[26 85] ; [ 26 145],[20.46808511 90.53191489] ; [ 31.53191489 139.46808511],0
r4,1,0.08522,2.962426,[91 20] ; [125  46],[85.0212766 25.9787234] ; [130.9787234  40.0212766],0
s5,1,0.094908,2.789084,[30 81] ; [ 31 136],[24.35611511 86.64388489] ; [ 36.64388489 130.35611511],0
p2,1,0.110822,2.542465,[89 22] ; [122  48],[83.34875445 27.65124555] ; [127.65124555  42.34875445],0
p12,1,0.112966,2.512229,[  1 110] ; [  7 163],[  3.16014235 107.83985765] ; [  4.83985765 165.16014235],0
p10,1,0.113051,2.511041,[81 30] ; [108  61],[74.925 36.075] ; [114.075  54.925],0
p9,1,0.127398,2.323933,[86 24] ; [116  50],[80.50724638 29.49275362] ; [121.49275362  44.50724638],0
n4,1,0.12749,2.322801,[78 33] ; [105  66],[72.03191489 38.96808511] ; [110.96808511  60.03191489],0
v4,1,0.127712,2.320102,[101  10] ; [145  26],[96.82978723 14.17021277] ; [149.17021277  21.82978723],0
a4,1,0.13803,2.19978,[51 60] ; [ 63 107],[45.03202847 65.96797153] ; [ 68.96797153 101.03202847],0
s1,1,0.166956,1.91007,[  1 110] ; [  6 164],[  2.76512456 108.23487544] ; [  4.23487544 165.76512456],0
p6,1,0.171664,1.868353,[37 73] ; [ 44 125],[31.93548387 78.06451613] ; [ 49.06451613 119.93548387],0
s4,1,0.194993,1.679484,[11 99] ; [ 26 143],[14.58781362 95.41218638] ; [ 22.41218638 146.58781362],0
p8,1,0.197293,1.662304,[56 55] ; [72 97],[50.74285714 60.25714286] ; [77.25714286 91.74285714],0
a7,1,0.233882,1.417097,[80 31] ; [111  59],[75.44839858 35.55160142] ; [115.55160142  54.44839858],0
s2,1,0.236485,1.401425,[17 93] ; [ 18 151],[13.79928315 96.20071685] ; [ 21.20071685 147.79928315],0
d2,1,0.369302,0.806013,[48 63] ; [ 64 105],[44.4 66.6] ; [ 67.6 101.4],0
r2,1,0.380638,0.768641,[96 14] ; [141  28],[93.44086022 16.55913978] ; [143.55913978  25.44086022],0
a3,1,0.388101,0.744885,[71 40] ; [100  70],[67.5480427 43.4519573] ; [103.4519573  66.5480427],0
b4,1,0.460774,0.544014,[58 53] ; [97 74],[61.0106383 49.9893617] ; [93.9893617 77.0106383],0
p1,1,0.486881,0.483411,[  5 106] ; [ 11 159],[  6.3202847 104.6797153] ; [  9.6797153 160.3202847],0
n5,1,0.517559,0.418756,[74 35] ; [109  61],[71.49462366 37.50537634] ; [111.50537634  58.49462366],0
s8,1,0.572672,0.318232,[22 89] ; [ 29 140],[20.21785714 90.78214286] ; [ 30.78214286 138.21785714],0
u3,1,0.588748,0.292304,[21 19] ; [33 37],[19.63636364 20.36363636] ; [34.36363636 35.63636364],0
u2,1,0.610436,0.25954,[19 20] ; [31 40],[17.72727273 21.27272727] ; [32.27272727 38.72727273],0
s7,1,0.638412,0.220825,[24 82] ; [ 33 130],[22.46096654 83.53903346] ; [ 34.53903346 128.46096654],0
b1,1,0.641902,0.216264,[43 68] ; [ 71 100],[44.87234043 66.12765957] ; [ 69.12765957 101.87234043],0
p5,1,0.648253,0.20811,[  8 103] ; [ 10 161],[  7.08510638 103.91489362] ; [ 10.91489362 160.08510638],0
a8,1,0.701603,0.14681,[ 9 90] ; [ 17 144],[ 9.9 89.1] ; [ 16.1 144.9],0
b2,1,0.704016,0.144328,[21 41] ; [35 60],[22.11464968 39.88535032] ; [33.88535032 61.11464968],0
