Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,35.789148,[ 2 23] ; [80 30],[15.18518519  9.81481481] ; [66.81481481 43.18518519],1
d5,1,0.0,30.616053,[ 9 15] ; [97 13],[18.98507463  5.01492537] ; [87.01492537 22.98507463],1
d3,1,0.0,25.412403,[ 6 17] ; [87 23],[16.08270677  6.91729323] ; [76.91729323 33.08270677],1
a5,1,0.002021,9.530629,[11 14] ; [83 27],[17.40740741  7.59259259] ; [76.59259259 33.40740741],0
r1,1,0.002388,9.224108,[14 11] ; [92 18],[19.62962963  5.37037037] ; [86.37037037 23.62962963],0
r4,1,0.003269,8.650776,[19  6] ; [104   6],[22.77777778  2.22222222] ; [100.22222222   9.77777778],0
a3,1,0.006247,7.477674,[11 14] ; [79 30],[16.79104478  8.20895522] ; [73.20895522 35.79104478],0
v1,1,0.007578,7.130688,[ 4 21] ; [49 60],[ 9.8880597 15.1119403] ; [43.1119403 65.8880597],0
r2,1,0.016896,5.707094,[22  3] ; [105   2],[24.0530303  0.9469697] ; [102.9469697   4.0530303],0
a2,1,0.022192,5.230656,[ 1 24] ; [27 83],[ 5.18518519 19.81481481] ; [22.81481481 87.18518519],0
s6,1,0.022378,5.216154,[13 11] ; [81 24],[17.48837209  6.51162791] ; [76.51162791 28.48837209],0
u3,1,0.031203,4.641758,[5 9] ; [21  9],[8.27272727 5.72727273] ; [17.72727273 12.27272727],0
n4,1,0.037099,4.34584,[16  9] ; [91 19],[19.81481481  5.18518519] ; [87.18518519 22.81481481],0
r3,1,0.043752,4.066101,[22  3] ; [106   3],[23.88059701  1.11940299] ; [104.11940299   4.88059701],0
s8,1,0.045958,3.983119,[ 8 17] ; [59 50],[12.5 12.5] ; [54.5 54.5],0
a7,1,0.060152,3.533184,[12 12] ; [77 33],[15.94029851  8.05970149] ; [73.05970149 36.94029851],0
s2,1,0.068785,3.311775,[10 15] ; [66 44],[14.07407407 10.92592593] ; [61.92592593 48.07407407],0
a4,1,0.07149,3.248485,[ 8 16] ; [59 51],[12. 12.] ; [55. 55.],0
d2,1,0.08742,2.921255,[ 8 17] ; [56 54],[11.85185185 13.14814815] ; [52.14814815 57.85185185],0
v4,1,0.099878,2.707495,[23  2] ; [108   2],[24.25925926  0.74074074] ; [106.74074074   3.25925926],0
s3,1,0.12632,2.337151,[11 13] ; [69 41],[14.32835821  9.67164179] ; [65.67164179 44.32835821],0
s5,1,0.133135,2.255567,[ 7 16] ; [50 55],[10.2421875 12.7578125] ; [46.7578125 58.2421875],0
s7,1,0.136503,2.216948,[11 14] ; [64 42],[14.3129771 10.6870229] ; [60.6870229 45.3129771],0
p1,1,0.152092,2.051146,[ 6 19] ; [14 96],[ 3.7037037 21.2962963] ; [16.2962963 93.7037037],0
p9,1,0.152092,2.051146,[19  6] ; [96 14],[21.2962963  3.7037037] ; [93.7037037 16.2962963],0
p2,1,0.166327,1.915743,[21  4] ; [102   8],[22.77777778  2.22222222] ; [100.22222222   9.77777778],0
p8,1,0.174499,1.843859,[15 10] ; [81 29],[17.77777778  7.22222222] ; [78.22222222 31.77777778],0
p10,1,0.189385,1.722398,[17  7] ; [90 19],[19.30827068  4.69172932] ; [87.69172932 21.30827068],0
a8,1,0.190031,1.717374,[ 5 19] ; [11 90],[ 3.072 20.928] ; [12.928 88.072],0
p4,1,0.192662,1.697143,[17  8] ; [88 22],[19.44444444  5.55555556] ; [85.55555556 24.44444444],0
p11,1,0.267938,1.227273,[18  7] ; [90 20],[20.  5.] ; [88. 22.],0
v3,1,0.307877,1.039761,[ 3 22] ; [23 87],[ 4.81481481 20.18518519] ; [21.18518519 88.81481481],0
n6,1,0.345222,0.890942,[20  5] ; [96 14],[21.48148148  3.51851852] ; [94.51851852 15.48148148],0
b5,1,0.346539,0.886091,[16  9] ; [59 51],[13.88888889 11.11111111] ; [61.11111111 48.88888889],0
