Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5.7e-05,16.199339,[27 90] ; [14  7],[34.76086957 82.23913043] ; [ 6.23913043 14.76086957],1
s7,1,0.000174,14.098196,[17 92] ; [11 10],[23.47692308 85.52307692] ; [ 4.52307692 16.47692308],1
s6,1,0.000201,13.820369,[41 77] ; [17  5],[48.88571429 69.11428571] ; [ 9.11428571 12.88571429],1
r4,1,0.001369,10.246729,[71 47] ; [21  1],[77.54285714 40.45714286] ; [14.45714286  7.54285714],0
v3,1,0.005237,7.795578,[26 88] ; [11 10],[31.24444444 82.75555556] ; [ 5.75555556 15.24444444],0
n5,1,0.009151,6.793192,[55 62] ; [17  5],[60.60431655 56.39568345] ; [11.39568345 10.60431655],0
u2,1,0.014918,5.926135,[22 31] ; [9 2],[25.671875 27.328125] ; [5.328125 5.671875],0
s3,1,0.016192,5.781937,[40 77] ; [13  8],[44.93478261 72.06521739] ; [ 8.06521739 12.93478261],0
p4,1,0.020304,5.385558,[39 79] ; [13  9],[43.82857143 74.17142857] ; [ 8.17142857 13.82857143],0
v4,1,0.023828,5.107113,[85 31] ; [21  1],[89.10144928 26.89855072] ; [16.89855072  5.10144928],0
u3,1,0.027599,4.852941,[25 30] ; [9 2],[28.33333333 26.66666667] ; [5.66666667 5.33333333],0
n6,1,0.062895,3.459355,[65 51] ; [17  5],[68.92753623 47.07246377] ; [13.07246377  8.92753623],0
p2,1,0.07426,3.186254,[56 62] ; [15  7],[59.84285714 58.15714286] ; [11.15714286 10.84285714],0
p11,1,0.079511,3.074874,[46 72] ; [13  9],[49.72857143 68.27142857] ; [ 9.27142857 12.72857143],0
p8,1,0.079835,3.068258,[27 90] ; [ 9 13],[30.30215827 86.69784173] ; [ 5.69784173 16.30215827],0
v2,1,0.085536,2.956435,[40 74] ; [12 10],[43.58823529 70.41176471] ; [ 8.41176471 13.58823529],0
r1,1,0.091176,2.85349,[74 43] ; [18  4],[77.43884892 39.56115108] ; [14.56115108  7.43884892],0
p6,1,0.093671,2.810125,[19 96] ; [ 7 15],[21.82481752 93.17518248] ; [ 4.17518248 17.82481752],0
r3,1,0.101155,2.687231,[87 29] ; [20  2],[89.94202899 26.05797101] ; [17.05797101  4.94202899],0
p5,1,0.131489,2.274836,[  3 114] ; [ 2 20],[  4.20863309 112.79136691] ; [ 0.79136691 21.20863309],0
b4,1,0.162182,1.953759,[67 51] ; [16  6],[69.95714286 48.04285714] ; [13.04285714  8.95714286],0
b1,1,0.239802,1.381759,[59 59] ; [14  8],[61.52857143 56.47142857] ; [11.47142857 10.52857143],0
n4,1,0.253139,1.305895,[70 47] ; [16  6],[72.38848921 44.61151079] ; [13.61151079  8.38848921],0
p3,1,0.269964,1.216932,[34 83] ; [ 9 13],[36.1942446 80.8057554] ; [ 6.8057554 15.1942446],0
d2,1,0.280631,1.164033,[54 62] ; [13  9],[56.31884058 59.68115942] ; [10.68115942 11.31884058],0
a4,1,0.317791,0.998018,[45 72] ; [ 6 16],[42.92805755 74.07194245] ; [ 8.07194245 13.92805755],0
n2,1,0.360506,0.836129,[26 23] ; [5 2],[27.125 21.875] ; [3.875 3.125],0
a5,1,0.375129,0.786603,[63 55] ; [14  8],[64.9 53.1] ; [12.1  9.9],0
s4,1,0.395158,0.72301,[18 99] ; [ 5 17],[19.35971223 97.64028777] ; [ 3.64028777 18.35971223],0
d1,1,0.416252,0.660872,[48 70] ; [11 11],[49.72857143 68.27142857] ; [ 9.27142857 12.72857143],0
d5,1,0.450349,0.569773,[76 42] ; [16  6],[77.54285714 40.45714286] ; [14.45714286  7.54285714],0
s1,1,0.487175,0.482761,[ 11 106] ; [ 1 20],[ 10.17391304 106.82608696] ; [ 1.82608696 19.17391304],0
u1,1,0.49161,0.473,[ 15 103] ; [ 4 18],[ 16.01428571 101.98571429] ; [ 2.98571429 19.01428571],0
s5,1,0.519605,0.414677,[ 17 101] ; [ 4 16],[ 17.95652174 100.04347826] ; [ 3.04347826 16.95652174],0
v1,1,0.526771,0.400616,[40 78] ; [ 9 13],[41.3 76.7] ; [ 7.7 14.3],0
p1,1,0.600227,0.274654,[  9 108] ; [ 1 21],[  8.41726619 108.58273381] ; [ 1.58273381 20.41726619],0
d3,1,0.660277,0.193187,[65 53] ; [11 11],[64.05714286 53.94285714] ; [11.94285714 10.05714286],0
a1,1,0.69486,0.153874,[  8 110] ; [ 1 21],[  7.58571429 110.41428571] ; [ 1.41428571 20.58571429],0
a2,1,0.700242,0.14822,[20 98] ; [ 3 19],[19.38571429 98.61428571] ; [ 3.61428571 18.38571429],0
a3,1,0.740104,0.110035,[63 54] ; [11 11],[62.28776978 54.71223022] ; [11.71223022 10.28776978],0
p7,1,0.828917,0.046695,[45 72] ; [ 9 13],[45.45323741 71.54676259] ; [ 8.54676259 13.45323741],0
b5,1,0.840609,0.040447,[67 51] ; [13  9],[67.42857143 50.57142857] ; [12.57142857  9.42857143],0
n3,1,0.846974,0.037241,[26 22] ; [3 3],[25.77777778 22.22222222] ; [3.22222222 2.77777778],0
a6,1,0.90431,0.014452,[66 52] ; [12 10],[65.74285714 52.25714286] ; [12.25714286  9.74285714],0
a7,1,0.907597,0.013472,[67 49] ; [13  9],[67.24637681 48.75362319] ; [12.75362319  9.24637681],0
b2,1,0.921757,0.009647,[21 49] ; [ 5 11],[21.1627907 48.8372093] ; [ 4.8372093 11.1627907],0
b3,1,0.921757,0.009647,[21 49] ; [ 5 11],[21.1627907 48.8372093] ; [ 4.8372093 11.1627907],0
n1,1,0.974001,0.001062,[17 33] ; [2 4],[16.96428571 33.03571429] ; [2.03571429 3.96428571],0
a8,1,0.986059,0.000305,[  6 104] ; [ 1 17],[  6.015625 103.984375] ; [ 0.984375 17.015625],0
d4,1,0.99423,5.2e-05,[79 37] ; [15  7],[79.01449275 36.98550725] ; [14.98550725  7.01449275],0
