Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,34.103716,[22 26] ; [258  52],[37.54189944 10.45810056] ; [242.45810056  67.54189944],1
n4,1,3e-06,21.750413,[28 21] ; [263  46],[39.82960894  9.17039106] ; [251.17039106  57.82960894],1
r4,1,3.5e-05,17.128752,[36 13] ; [287  23],[44.08635097  4.91364903] ; [278.91364903  31.08635097],1
a4,1,0.000754,11.350971,[13 36] ; [162 147],[23.95251397 25.04748603] ; [151.04748603 157.95251397],1
u1,1,0.000871,11.084285,[ 3 46] ; [ 88 222],[12.42061281 36.57938719] ; [ 78.57938719 231.42061281],1
d2,1,0.001358,10.261353,[16 32] ; [180 130],[26.27932961 21.72067039] ; [169.72067039 140.27932961],0
a5,1,0.001473,10.11176,[30 19] ; [252  58],[38.4902507 10.5097493] ; [243.5097493  66.4902507],0
r1,1,0.004604,8.028607,[33 16] ; [260  49],[40.10335196  8.89664804] ; [252.89664804  56.10335196],0
p4,1,0.006854,7.310957,[22 27] ; [201 108],[30.52234637 18.47765363] ; [192.47765363 116.52234637],0
p11,1,0.008903,6.842166,[31 18] ; [248  62],[38.08077994 10.91922006] ; [240.91922006  69.08077994],0
r2,1,0.011584,6.373378,[42  5] ; [298   9],[45.14124294  1.85875706] ; [294.85875706  12.14124294],0
v3,1,0.01527,5.885074,[12 33] ; [139 164],[19.52586207 25.47413793] ; [131.47413793 171.52586207],0
s8,1,0.016311,5.76903,[25 24] ; [211  97],[32.39215686 16.60784314] ; [203.60784314 104.39215686],0
d1,1,0.018424,5.555401,[23 26] ; [200 110],[30.43732591 18.56267409] ; [192.56267409 117.43732591],0
a2,1,0.023845,5.105872,[ 8 41] ; [100 210],[14.74094708 34.25905292] ; [ 93.25905292 216.74094708],0
p10,1,0.024517,5.057714,[35 13] ; [264  44],[40.31460674  7.68539326] ; [258.68539326  49.31460674],0
a3,1,0.026453,4.926136,[34 15] ; [255  53],[39.66666667  9.33333333] ; [249.33333333  58.66666667],0
p3,1,0.027084,4.885436,[18 31] ; [166 143],[25.18435754 23.81564246] ; [158.81564246 150.18435754],0
p9,1,0.027879,4.835565,[37 11] ; [271  35],[41.76271186  6.23728814] ; [266.23728814  39.76271186],0
s4,1,0.061646,3.492541,[17 32] ; [ 69 239],[11.80392157 37.19607843] ; [ 74.19607843 233.80392157],0
b1,1,0.063486,3.443899,[26 23] ; [121 189],[20.06406685 28.93593315] ; [126.93593315 183.06406685],0
u2,1,0.071299,3.252857,[12  2] ; [33 22],[9.13043478 4.86956522] ; [35.86956522 19.13043478],0
p2,1,0.077661,3.113186,[37 12] ; [264  45],[41.19832402  7.80167598] ; [259.80167598  49.19832402],0
s6,1,0.085058,2.965508,[36 13] ; [255  50],[40.27966102  8.72033898] ; [250.72033898  54.27966102],0
u3,1,0.112037,2.525253,[13  2] ; [36 19],[10.5  4.5] ; [38.5 16.5],0
v4,1,0.114084,2.496709,[43  4] ; [299  11],[45.02521008  1.97478992] ; [296.97478992  13.02521008],0
r3,1,0.123641,2.37058,[44  4] ; [299  11],[45.98882682  2.01117318] ; [297.01117318  12.98882682],0
p8,1,0.129592,2.297382,[19 28] ; [159 145],[23.83475783 23.16524217] ; [154.16524217 149.83475783],0
p6,1,0.172828,1.858239,[16 32] ; [134 172],[20.33898305 27.66101695] ; [129.66101695 176.33898305],0
a6,1,0.217494,1.520827,[36 12] ; [204 105],[32.26890756 15.73109244] ; [207.73109244 101.26890756],0
