Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.003473,8.540745,[ 8 21] ; [43 29],[14.64356436 14.35643564] ; [36.35643564 35.64356436],0
s2,1,0.008599,6.904187,[ 7 21] ; [39 33],[12.88 15.12] ; [33.12 38.88],0
r4,1,0.01569,5.837253,[22  7] ; [67  5],[25.55445545  3.44554455] ; [63.44554455  8.55445545],0
u1,1,0.04083,4.18306,[ 1 28] ; [14 58],[ 4.30693069 24.69306931] ; [10.69306931 61.30693069],0
a2,1,0.051819,3.781589,[ 2 27] ; [17 55],[ 5.45544554 23.54455446] ; [13.54455446 58.45544554],0
s4,1,0.057277,3.614529,[ 2 27] ; [16 53],[ 5.32653061 23.67346939] ; [12.67346939 56.32653061],0
p6,1,0.068731,3.313076,[ 5 24] ; [25 45],[ 8.78787879 20.21212121] ; [21.21212121 48.78787879],0
p1,1,0.074769,3.175102,[ 6 22] ; [ 6 65],[ 3.39393939 24.60606061] ; [ 8.60606061 62.39393939],0
p10,1,0.092346,2.832998,[20  8] ; [61 10],[22.90909091  5.09090909] ; [58.09090909 12.90909091],0
b1,1,0.098361,2.73192,[13 16] ; [20 52],[ 9.47524752 19.52475248] ; [23.52475248 48.47524752],0
v4,1,0.106079,2.611682,[25  3] ; [69  2],[26.58585859  1.41414141] ; [67.41414141  3.58585859],0
s3,1,0.124886,2.354944,[10 18] ; [37 33],[13.42857143 14.57142857] ; [33.57142857 36.42857143],0
a7,1,0.135119,2.232688,[15 13] ; [50 22],[18.2  9.8] ; [46.8 25.2],0
d1,1,0.14855,2.087083,[21  8] ; [41 31],[17.8019802 11.1980198] ; [44.1980198 27.8019802],0
a5,1,0.15043,2.067888,[19 10] ; [57 15],[21.82178218  7.17821782] ; [54.17821782 17.82178218],0
n4,1,0.158711,1.986462,[22  7] ; [44 28],[18.95049505 10.04950495] ; [47.04950495 24.95049505],0
d2,1,0.160878,1.965955,[17 11] ; [32 39],[13.85858586 14.14141414] ; [35.14141414 35.85858586],0
p8,1,0.197156,1.663316,[12 17] ; [40 32],[14.93069307 14.06930693] ; [37.06930693 34.93069307],0
p12,1,0.221358,1.495549,[ 1 28] ; [ 8 64],[ 2.58415842 26.41584158] ; [ 6.41584158 65.58415842],0
p4,1,0.239519,1.383424,[13 16] ; [41 30],[15.66 13.34] ; [38.34 32.66],0
a4,1,0.271269,1.21032,[11 18] ; [36 36],[13.4950495 15.5049505] ; [33.5049505 38.4950495],0
p11,1,0.27133,1.210011,[25  4] ; [55 17],[22.97029703  6.02970297] ; [57.02970297 14.97029703],0
n3,1,0.288844,1.125,[5 1] ; [7 5],[4. 2.] ; [8. 4.],0
d3,1,0.297679,1.084561,[17 12] ; [50 22],[19.23762376  9.76237624] ; [47.76237624 24.23762376],0
p9,1,0.322674,0.978079,[22  7] ; [59 11],[23.72727273  5.27272727] ; [57.27272727 12.72727273],0
s8,1,0.328476,0.954895,[ 5 24] ; [19 53],[ 6.89108911 22.10891089] ; [17.10891089 54.89108911],0
u3,1,0.333305,0.936013,[4 7] ; [15 13],[5.35897436 5.64102564] ; [13.64102564 14.35897436],0
v1,1,0.352659,0.863866,[18  9] ; [40 31],[15.97959184 11.02040816] ; [42.02040816 28.97959184],0
p5,1,0.355789,0.852702,[ 6 22] ; [10 62],[ 4.48 23.52] ; [11.52 60.48],0
p2,1,0.372998,0.793651,[24  4] ; [56 16],[22.4  5.6] ; [57.6 14.4],0
a1,1,0.381821,0.764831,[ 1 28] ; [ 6 66],[ 2.00990099 26.99009901] ; [ 4.99009901 67.00990099],0
d5,1,0.412738,0.6709,[25  4] ; [57 15],[23.54455446  5.45544554] ; [58.45544554 13.54455446],0
v3,1,0.478047,0.503315,[10 17] ; [21 50],[ 8.54081633 18.45918367] ; [22.45918367 48.54081633],0
n6,1,0.532701,0.389237,[24  5] ; [63  9],[24.98019802  4.01980198] ; [62.01980198  9.98019802],0
b4,1,0.539353,0.376741,[20  9] ; [45 27],[18.66336634 10.33663366] ; [46.33663366 25.66336634],0
a8,1,0.545994,0.364543,[ 2 25] ; [ 8 61],[ 2.8125 24.1875] ; [ 7.1875 61.8125],0
v2,1,0.594001,0.28414,[16 13] ; [34 35],[14.79591837 14.20408163] ; [35.20408163 33.79591837],0
r1,1,0.622459,0.242426,[22  7] ; [57 14],[22.91  6.09] ; [56.09 14.91],0
d4,1,0.68571,0.163769,[26  2] ; [65  7],[25.48  2.52] ; [65.52  6.48],0
r3,1,0.708736,0.139543,[25  3] ; [66  6],[25.48  2.52] ; [65.52  6.48],0
p3,1,0.730485,0.118666,[13 16] ; [35 37],[13.78217822 15.21782178] ; [34.21782178 37.78217822],0
a3,1,0.769017,0.086237,[18 10] ; [44 28],[17.36 10.64] ; [44.64 27.36],0
b3,1,0.773322,0.082963,[ 7 13] ; [14 22],[ 7.5 12.5] ; [13.5 22.5],0
b2,1,0.773322,0.082963,[ 7 13] ; [14 22],[ 7.5 12.5] ; [13.5 22.5],0
n1,1,0.793258,0.068687,[2 3] ; [4 8],[1.76470588 3.23529412] ; [4.23529412 7.76470588],0
p7,1,0.804956,0.060979,[17 11] ; [45 26],[17.53535354 10.46464646] ; [44.46464646 26.53535354],0
r2,1,0.809345,0.058212,[27  2] ; [67  4],[27.26  1.74] ; [66.74  4.26],0
u2,1,0.809423,0.058163,[4 6] ; [10 18],[3.68421053 6.31578947] ; [10.31578947 17.68421053],0
n5,1,0.823647,0.049665,[20  9] ; [48 24],[19.52475248  9.47524752] ; [48.47524752 23.52475248],0
