Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,7.9e-05,15.584416,[ 3 30] ; [22 20],[11. 22.] ; [14. 28.],1
u2,1,0.000578,11.84625,[2 8] ; [14  2],[6.15384615 3.84615385] ; [9.84615385 6.15384615],1
p11,1,0.001418,10.181818,[12 21] ; [32 12],[18.85714286 14.14285714] ; [25.14285714 18.85714286],0
r3,1,0.001757,9.788037,[19 14] ; [39  5],[24.85714286  8.14285714] ; [33.14285714 10.85714286],0
p4,1,0.002347,9.255928,[ 7 26] ; [24 19],[13.46052632 19.53947368] ; [17.53947368 25.46052632],0
p10,1,0.002737,8.975079,[12 20] ; [31 12],[18.34666667 13.65333333] ; [24.65333333 18.34666667],0
v2,1,0.003021,8.794749,[ 8 23] ; [25 16],[14.20833333 16.79166667] ; [18.79166667 22.20833333],0
p6,1,0.004146,8.218802,[ 3 30] ; [16 26],[ 8.36 24.64] ; [10.64 31.36],0
v4,1,0.004855,7.932534,[21 12] ; [38  4],[25.96  7.04] ; [33.04  8.96],0
s6,1,0.005522,7.7,[ 9 24] ; [26 18],[15. 18.] ; [20. 24.],0
s8,1,0.005653,7.657576,[ 4 29] ; [18 26],[ 9.42857143 23.57142857] ; [12.57142857 31.42857143],0
p2,1,0.006574,7.385854,[16 17] ; [33  9],[21.56 11.44] ; [27.44 14.56],0
p3,1,0.013823,6.060566,[ 4 29] ; [16 27],[ 8.68421053 24.31578947] ; [11.31578947 31.68421053],0
p9,1,0.014426,5.985249,[17 15] ; [35  9],[21.89473684 10.10526316] ; [30.10526316 13.89473684],0
s7,1,0.016975,5.698959,[ 5 27] ; [17 24],[ 9.64383562 22.35616438] ; [12.35616438 28.64383562],0
b3,1,0.019385,5.466463,[ 9 10] ; [ 4 22],[ 5.48888889 13.51111111] ; [ 7.51111111 18.48888889],0
b2,1,0.019385,5.466463,[ 9 10] ; [ 4 22],[ 5.48888889 13.51111111] ; [ 7.51111111 18.48888889],0
d5,1,0.021569,5.280243,[17 16] ; [33 10],[21.71052632 11.28947368] ; [28.28947368 14.71052632],0
b5,1,0.04522,4.010417,[15 18] ; [30 14],[19.28571429 13.71428571] ; [25.71428571 18.28571429],0
b1,1,0.04522,4.010417,[15 18] ; [30 14],[19.28571429 13.71428571] ; [25.71428571 18.28571429],0
d2,1,0.054319,3.702864,[18 15] ; [14 29],[13.89473684 19.10526316] ; [18.10526316 24.89473684],0
r1,1,0.081144,3.041842,[16 17] ; [30 14],[19.71428571 13.28571429] ; [26.28571429 17.71428571],0
s5,1,0.082763,3.009793,[ 3 29] ; [11 33],[ 5.89473684 26.10526316] ; [ 8.10526316 35.89473684],0
n1,1,0.114653,2.488889,[11  7] ; [3 7],[9. 9.] ; [5. 5.],0
s4,1,0.117395,2.451741,[ 2 31] ; [ 8 36],[ 4.28571429 28.71428571] ; [ 5.71428571 38.28571429],0
a4,1,0.137778,2.2026,[16 17] ; [14 30],[12.85714286 20.14285714] ; [17.14285714 26.85714286],0
u1,1,0.177007,1.822574,[ 1 32] ; [ 5 39],[ 2.57142857 30.42857143] ; [ 3.42857143 40.57142857],0
p1,1,0.182154,1.779966,[ 3 30] ; [ 1 43],[ 1.71428571 31.28571429] ; [ 2.28571429 41.71428571],0
u3,1,0.191473,1.70625,[3 7] ; [9 7],[4.61538462 5.38461538] ; [7.38461538 8.61538462],0
s3,1,0.205667,1.60167,[14 19] ; [24 18],[16.72 16.28] ; [21.28 20.72],0
a7,1,0.221669,1.493534,[18 15] ; [30 14],[20.57142857 12.42857143] ; [27.42857143 16.57142857],0
r2,1,0.290516,1.11723,[29  4] ; [33  9],[27.28  5.72] ; [34.72  7.28],0
s2,1,0.300536,1.071814,[10 23] ; [18 25],[12.15789474 20.84210526] ; [15.84210526 27.15789474],0
n4,1,0.301071,1.069444,[26  7] ; [30 14],[24.  9.] ; [32. 12.],0
r4,1,0.311587,1.023936,[18 15] ; [29 15],[20.14285714 12.85714286] ; [26.85714286 17.14285714],0
n2,1,0.423925,0.639408,[13  6] ; [9 2],[13.93333333  5.06666667] ; [8.06666667 2.93333333],0
a6,1,0.431796,0.617987,[21 12] ; [31 12],[22.57894737 10.42105263] ; [29.42105263 13.57894737],0
a3,1,0.450394,0.569661,[23  9] ; [28 16],[21.47368421 10.52631579] ; [29.52631579 14.47368421],0
v1,1,0.50388,0.446755,[12 20] ; [19 23],[13.40540541 18.59459459] ; [17.59459459 24.40540541],0
a5,1,0.546028,0.364481,[21 12] ; [25 19],[19.71428571 13.28571429] ; [26.28571429 17.71428571],0
d3,1,0.589119,0.291722,[16 17] ; [23 19],[17.16 15.84] ; [21.84 20.16],0
d1,1,0.685655,0.16383,[12 21] ; [18 26],[12.85714286 20.14285714] ; [17.14285714 26.85714286],0
a2,1,0.792196,0.069411,[ 6 27] ; [ 7 37],[ 5.57142857 27.42857143] ; [ 7.42857143 36.57142857],0
v3,1,0.810978,0.0572,[ 8 24] ; [11 29],[ 8.44444444 23.55555556] ; [10.55555556 29.44444444],0
p12,1,0.849127,0.036188,[ 1 32] ; [ 1 42],[ 0.86842105 32.13157895] ; [ 1.13157895 41.86842105],0
n3,1,0.89183,0.018493,[11  7] ; [7 4],[11.17241379  6.82758621] ; [6.82758621 4.17241379],0
a8,1,0.89406,0.017734,[ 6 26] ; [ 8 32],[ 6.22222222 25.77777778] ; [ 7.77777778 32.22222222],0
b4,1,0.8953,0.017319,[17 16] ; [22 22],[16.71428571 16.28571429] ; [22.28571429 21.71428571],0
d4,1,0.908729,0.013143,[20 13] ; [26 16],[20.24 12.76] ; [25.76 16.24],0
