Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.008496,6.925796,[9 8] ; [77 17],[13.17117117  3.82882883] ; [72.82882883 21.17117117],0
s7,1,0.098821,2.724463,[10  6] ; [35 52],[6.99029126 9.00970874] ; [38.00970874 48.99029126],0
u4,1,0.169296,1.889171,[ 1 16] ; [ 1 93],[ 0.30630631 16.69369369] ; [ 1.69369369 92.30630631],0
s8,1,0.169692,1.885665,[10  7] ; [38 55],[7.41818182 9.58181818] ; [40.58181818 52.41818182],0
n2,1,0.231998,1.428571,[3 3] ; [18  6],[4.2 1.8] ; [16.8  7.2],0
p12,1,0.244938,1.351947,[ 4 13] ; [12 82],[ 2.45045045 14.54954955] ; [13.54954955 80.45045045],0
a7,1,0.262727,1.254328,[11  6] ; [72 21],[12.82727273  4.17272727] ; [70.17272727 22.82727273],0
n5,1,0.268713,1.223303,[14  3] ; [65 29],[12.0990991  4.9009009] ; [66.9009009 27.0990991],0
v2,1,0.277353,1.180017,[13  3] ; [63 30],[11.1559633  4.8440367] ; [64.8440367 28.1559633],0
n6,1,0.283359,1.150911,[15  2] ; [72 22],[13.32432432  3.67567568] ; [73.67567568 20.32432432],0
n1,1,0.295366,1.095001,[3 2] ; [ 8 15],[1.96428571 3.03571429] ; [ 9.03571429 13.96428571],0
u2,1,0.304103,1.056114,[1 2] ; [16  9],[1.82142857 1.17857143] ; [15.17857143  9.82142857],0
d2,1,0.319551,0.990785,[11  6] ; [48 45],[9.11818182 7.88181818] ; [49.88181818 43.11818182],0
p4,1,0.35452,0.857214,[9 8] ; [38 55],[7.26363636 9.73636364] ; [39.73636364 53.26363636],0
u3,1,0.377822,0.777778,[1 2] ; [15 10],[1.71428571 1.28571429] ; [14.28571429 10.71428571],0
p8,1,0.40425,0.695647,[ 6 11] ; [24 70],[ 4.59459459 12.40540541] ; [25.40540541 68.59459459],0
s2,1,0.404736,0.694209,[10  7] ; [44 48],[8.42201835 8.57798165] ; [45.57798165 46.42201835],0
p9,1,0.408826,0.682212,[14  3] ; [67 25],[12.63302752  4.36697248] ; [68.36697248 23.63302752],0
b3,1,0.417887,0.65625,[4 3] ; [23 33],[3. 4.] ; [24. 32.],0
b2,1,0.417887,0.65625,[4 3] ; [23 33],[3. 4.] ; [24. 32.],0
a3,1,0.434337,0.611198,[14  3] ; [69 25],[12.71171171  4.28828829] ; [70.28828829 23.71171171],0
d3,1,0.456,0.555695,[10  7] ; [64 30],[11.33333333  5.66666667] ; [62.66666667 31.33333333],0
d5,1,0.459956,0.546002,[12  5] ; [74 20],[13.17117117  3.82882883] ; [72.82882883 21.17117117],0
s4,1,0.469663,0.522768,[ 1 16] ; [11 82],[ 1.85454545 15.14545455] ; [10.14545455 82.85454545],0
d1,1,0.472197,0.516829,[11  6] ; [52 42],[9.64864865 7.35135135] ; [53.35135135 40.64864865],0
a2,1,0.485613,0.486233,[ 3 14] ; [24 70],[ 4.13513514 12.86486486] ; [22.86486486 71.13513514],0
u1,1,0.520551,0.412802,[ 4 13] ; [16 78],[ 3.06306306 13.93693694] ; [16.93693694 77.06306306],0
r3,1,0.538244,0.378804,[16  1] ; [83 10],[15.3  1.7] ; [83.7  9.3],0
v4,1,0.545887,0.364738,[16  1] ; [84 10],[15.31531532  1.68468468] ; [84.68468468  9.31531532],0
p1,1,0.545887,0.364738,[ 1 16] ; [10 84],[ 1.68468468 15.31531532] ; [ 9.31531532 84.68468468],0
s3,1,0.588,0.293478,[7 9] ; [47 45],[8. 8.] ; [46. 46.],0
s5,1,0.614771,0.253285,[ 3 12] ; [24 68],[ 3.78504673 11.21495327] ; [23.21495327 68.78504673],0
p5,1,0.624638,0.239403,[ 1 16] ; [ 9 85],[ 1.53153153 15.46846847] ; [ 8.46846847 85.53153153],0
a8,1,0.647745,0.208755,[ 1 15] ; [ 8 73],[ 1.48453608 14.51546392] ; [ 7.51546392 73.48453608],0
d4,1,0.692356,0.156546,[13  4] ; [75 18],[13.6  3.4] ; [74.4 18.6],0
p11,1,0.709353,0.138924,[12  5] ; [62 32],[11.33333333  5.66666667] ; [62.66666667 31.33333333],0
a1,1,0.714855,0.133476,[ 1 16] ; [ 8 86],[ 1.37837838 15.62162162] ; [ 7.62162162 86.37837838],0
a4,1,0.730037,0.119077,[8 9] ; [40 54],[7.35135135 9.64864865] ; [40.64864865 53.35135135],0
s1,1,0.738225,0.111693,[ 1 15] ; [ 4 88],[ 0.74074074 15.25925926] ; [ 4.25925926 87.74074074],0
p2,1,0.81421,0.055224,[11  6] ; [58 36],[10.56756757  6.43243243] ; [58.43243243 35.56756757],0
b1,1,0.878786,0.023259,[ 6 11] ; [35 59],[ 6.27927928 10.72072072] ; [34.72072072 59.27927928],0
b5,1,0.878786,0.023259,[11  6] ; [59 35],[10.72072072  6.27927928] ; [59.27927928 34.72072072],0
a5,1,0.882196,0.021959,[12  5] ; [68 26],[12.25225225  4.74774775] ; [67.74774775 26.25225225],0
b4,1,0.905694,0.014036,[12  5] ; [65 29],[11.79279279  5.20720721] ; [65.20720721 28.79279279],0
a6,1,0.905694,0.014036,[12  5] ; [65 29],[11.79279279  5.20720721] ; [65.20720721 28.79279279],0
r2,1,0.92471,0.008931,[16  1] ; [89  5],[16.08108108  0.91891892] ; [88.91891892  5.08108108],0
p10,1,0.932783,0.007114,[12  5] ; [64 28],[11.85321101  5.14678899] ; [64.14678899 27.85321101],0
s6,1,0.943717,0.004984,[11  6] ; [61 32],[11.12727273  5.87272727] ; [60.87272727 32.12727273],0
r4,1,0.949736,0.003974,[14  3] ; [78 16],[14.09009009  2.90990991] ; [77.90990991 16.09009009],0
p3,1,0.975135,0.000971,[ 5 12] ; [28 66],[ 5.05405405 11.94594595] ; [27.94594595 66.05405405],0
v1,1,0.983856,0.000409,[9 7] ; [52 40],[9.03703704 6.96296296] ; [51.96296296 40.03703704],0
