Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,7.8e-05,15.61665,[33  9] ; [16 28],[23.93023256 18.06976744] ; [25.06976744 18.93023256],1
a4,1,0.000221,13.646111,[21 21] ; [ 6 39],[13.03448276 28.96551724] ; [13.96551724 31.03448276],1
d2,1,0.00047,12.231115,[24 18] ; [ 9 35],[16.11627907 25.88372093] ; [16.88372093 27.11627907],1
d1,1,0.001951,9.595529,[25 17] ; [12 33],[17.86206897 24.13793103] ; [19.13793103 25.86206897],0
d5,1,0.002135,9.429832,[36  6] ; [25 20],[29.44827586 12.55172414] ; [31.55172414 13.44827586],0
u2,1,0.002962,8.830684,[1 8] ; [19  9],[4.86486486 4.13513514] ; [15.13513514 12.86486486],0
a6,1,0.003503,8.524928,[29 13] ; [17 28],[22.20689655 19.79310345] ; [23.79310345 21.20689655],0
b4,1,0.003978,8.293647,[16 26] ; [31 14],[22.68965517 19.31034483] ; [24.31034483 20.68965517],0
p2,1,0.041065,4.173338,[25 15] ; [37  8],[29.17647059 10.82352941] ; [32.82352941 12.17647059],0
n4,1,0.060183,3.532331,[28 14] ; [21 24],[23.65517241 18.34482759] ; [25.34482759 19.65517241],0
n5,1,0.063064,3.454912,[29 12] ; [23 22],[24.79069767 16.20930233] ; [27.20930233 17.79069767],0
s7,1,0.065207,3.39973,[19 21] ; [12 31],[14.93975904 25.06024096] ; [16.06024096 26.93975904],0
p3,1,0.104484,2.635724,[15 24] ; [10 35],[11.60714286 27.39285714] ; [13.39285714 31.60714286],0
n1,1,0.111363,2.534768,[ 9 12] ; [ 5 19],[ 6.53333333 14.46666667] ; [ 7.46666667 16.53333333],0
d3,1,0.117331,2.452593,[28 14] ; [22 22],[24.41860465 17.58139535] ; [25.58139535 18.41860465],0
p9,1,0.156285,2.009806,[29 11] ; [26 19],[25.88235294 14.11764706] ; [29.11764706 15.88235294],0
r2,1,0.181221,1.787583,[29 10] ; [26 17],[26.15853659 12.84146341] ; [28.84146341 14.15853659],0
d4,1,0.190664,1.712479,[33  9] ; [29 15],[30.27906977 11.72093023] ; [31.72093023 12.27906977],0
a1,1,0.201122,1.634209,[ 5 37] ; [ 2 43],[ 3.37931034 38.62068966] ; [ 3.62068966 41.37931034],0
p7,1,0.236774,1.399698,[14 25] ; [21 22],[16.64634146 22.35365854] ; [18.35365854 24.64634146],0
p4,1,0.249314,1.327143,[19 22] ; [15 29],[16.4 24.6] ; [17.6 26.4],0
s2,1,0.254207,1.300035,[16 26] ; [12 33],[13.51724138 28.48275862] ; [14.48275862 30.51724138],0
n6,1,0.262421,1.25594,[30 12] ; [27 18],[27.51724138 14.48275862] ; [29.48275862 15.51724138],0
b3,1,0.284023,1.147741,[10 16] ; [ 5 16],[ 8.29787234 17.70212766] ; [ 6.70212766 14.29787234],0
b2,1,0.284023,1.147741,[10 16] ; [ 5 16],[ 8.29787234 17.70212766] ; [ 6.70212766 14.29787234],0
u3,1,0.288581,1.12623,[5 3] ; [12 17],[3.67567568 4.32432432] ; [13.32432432 15.67567568],0
p6,1,0.312951,1.018182,[12 28] ; [ 9 35],[10. 30.] ; [11. 33.],0
s8,1,0.350509,0.871614,[12 30] ; [ 9 36],[10.13793103 31.86206897] ; [10.86206897 34.13793103],0
s6,1,0.35351,0.860819,[20 22] ; [17 28],[17.86206897 24.13793103] ; [19.13793103 25.86206897],0
v1,1,0.383512,0.759413,[16 23] ; [14 30],[14.09638554 24.90361446] ; [15.90361446 28.09638554],0
r3,1,0.403358,0.698291,[24 18] ; [29 15],[25.88372093 16.11627907] ; [27.11627907 16.88372093],0
s5,1,0.4445,0.584638,[ 5 35] ; [ 8 35],[ 6.26506024 33.73493976] ; [ 6.73493976 36.26506024],0
a7,1,0.506793,0.440683,[24 18] ; [22 22],[22.46511628 19.53488372] ; [23.53488372 20.46511628],0
s3,1,0.538121,0.379033,[18 24] ; [16 28],[16.60465116 25.39534884] ; [17.39534884 26.60465116],0
b1,1,0.572687,0.318207,[24 18] ; [23 22],[22.68965517 19.31034483] ; [24.31034483 20.68965517],0
r1,1,0.591377,0.288199,[10 32] ; [13 32],[11.10344828 30.89655172] ; [11.89655172 33.10344828],0
p10,1,0.596211,0.280749,[25 15] ; [25 19],[23.80952381 16.19047619] ; [26.19047619 17.80952381],0
s1,1,0.598124,0.277834,[ 1 41] ; [ 2 43],[ 1.44827586 40.55172414] ; [ 1.55172414 43.44827586],0
n3,1,0.60006,0.274906,[13  8] ; [13 11],[12.13333333  8.86666667] ; [13.86666667 10.13333333],0
p5,1,0.600755,0.273859,[ 4 37] ; [ 3 42],[ 3.3372093 37.6627907] ; [ 3.6627907 41.3372093],0
b5,1,0.621426,0.243869,[23 19] ; [27 18],[24.13793103 17.86206897] ; [25.86206897 19.13793103],0
s4,1,0.714907,0.133425,[ 8 34] ; [10 35],[ 8.68965517 33.31034483] ; [ 9.31034483 35.68965517],0
