Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4.5e-05,16.665922,[25 18] ; [ 1 20],[17.46875 25.53125] ; [ 8.53125 12.46875],1
d5,1,0.000757,11.344703,[33 10] ; [ 7 14],[26.875 16.125] ; [13.125  7.875],1
s3,1,0.002377,9.232759,[25 17] ; [ 4 17],[19.33333333 22.66666667] ; [ 9.66666667 11.33333333],0
b5,1,0.00318,8.701129,[25 18] ; [ 4 17],[19.484375 23.515625] ; [ 9.515625 11.484375],0
d3,1,0.005868,7.590538,[26 17] ; [ 5 16],[20.828125 22.171875] ; [10.171875 10.828125],0
n5,1,0.006928,7.291667,[13 29] ; [14  7],[18. 24.] ; [ 9. 12.],0
s6,1,0.01796,5.6,[16 26] ; [ 2 19],[12. 30.] ; [ 6. 15.],0
s2,1,0.027385,4.866348,[18 25] ; [ 3 18],[14.109375 28.890625] ; [ 6.890625 14.109375],0
r3,1,0.055372,3.670837,[31 12] ; [10 11],[27.546875 15.453125] ; [13.453125  7.546875],0
r1,1,0.090454,2.866282,[28 15] ; [ 9 12],[24.859375 18.140625] ; [12.140625  8.859375],0
v2,1,0.11282,2.514266,[18 23] ; [ 4 14],[15.28813559 25.71186441] ; [ 6.71186441 11.28813559],0
a1,1,0.116992,2.457138,[ 4 39] ; [ 5 16],[ 6.046875 36.953125] ; [ 2.953125 18.046875],0
u2,1,0.123639,2.370612,[10  4] ; [4 6],[8.16666667 5.83333333] ; [5.83333333 4.16666667],0
p10,1,0.126177,2.33892,[19 23] ; [ 5 15],[16.25806452 25.74193548] ; [ 7.74193548 12.25806452],0
s7,1,0.129697,2.29613,[11 28] ; [ 2 17],[ 8.74137931 30.25862069] ; [ 4.25862069 14.74137931],0
d2,1,0.178509,1.809997,[22 21] ; [ 7 14],[19.484375 23.515625] ; [ 9.515625 11.484375],0
n4,1,0.183964,1.765308,[17 26] ; [12  9],[19.484375 23.515625] ; [ 9.515625 11.484375],0
b2,1,0.184946,1.757424,[ 9 19] ; [7 6],[10.92682927 17.07317073] ; [5.07317073 7.92682927],0
b3,1,0.184946,1.757424,[ 9 19] ; [7 6],[10.92682927 17.07317073] ; [5.07317073 7.92682927],0
p6,1,0.245043,1.351343,[ 6 35] ; [ 1 20],[ 4.62903226 36.37096774] ; [ 2.37096774 18.62903226],0
r4,1,0.247284,1.338586,[23 20] ; [ 8 13],[20.828125 22.171875] ; [10.171875 10.828125],0
p9,1,0.267236,1.230882,[21 21] ; [ 7 13],[18.96774194 23.03225806] ; [ 9.03225806 10.96774194],0
v4,1,0.326846,0.961354,[28 15] ; [11 10],[26.203125 16.796875] ; [12.796875  8.203125],0
a7,1,0.330129,0.948393,[24 19] ; [ 9 12],[22.171875 20.828125] ; [10.828125 10.171875],0
a3,1,0.339681,0.911637,[29 14] ; [11  9],[27.3015873 15.6984127] ; [12.6984127  7.3015873],0
s8,1,0.347512,0.882523,[ 8 35] ; [ 2 19],[ 6.71875 36.28125] ; [ 3.28125 17.71875],0
u3,1,0.407626,0.685714,[8 6] ; [4 6],[7. 7.] ; [5. 5.],0
a5,1,0.425944,0.633857,[27 16] ; [11 10],[25.53125 17.46875] ; [12.46875  8.53125],0
a2,1,0.465441,0.532779,[ 7 36] ; [ 2 19],[ 6.046875 36.953125] ; [ 2.953125 18.046875],0
p3,1,0.496116,0.463235,[ 9 33] ; [ 3 18],[ 8. 34.] ; [ 4. 17.],0
v3,1,0.527089,0.4,[ 9 31] ; [ 6 14],[10. 30.] ; [ 5. 15.],0
b4,1,0.532453,0.389708,[22 21] ; [ 9 12],[20.828125 22.171875] ; [10.171875 10.828125],0
p1,1,0.548671,0.359703,[ 4 39] ; [ 3 18],[ 4.703125 38.296875] ; [ 2.296875 18.703125],0
s1,1,0.57075,0.321429,[ 4 38] ; [ 3 18],[ 4.66666667 37.33333333] ; [ 2.33333333 18.66666667],0
a4,1,0.643177,0.214611,[19 24] ; [ 8 13],[18.140625 24.859375] ; [ 8.859375 12.140625],0
p4,1,0.659735,0.193846,[ 8 34] ; [ 5 16],[ 8.66666667 33.33333333] ; [ 4.33333333 16.66666667],0
n1,1,0.713926,0.134387,[11 12] ; [6 5],[11.5 11.5] ; [5.5 5.5],0
v1,1,0.746636,0.104379,[14 29] ; [ 6 15],[13.4375 29.5625] ; [ 6.5625 14.4375],0
p7,1,0.763196,0.090774,[10 30] ; [ 6 15],[10.49180328 29.50819672] ; [ 5.50819672 15.49180328],0
a6,1,0.790067,0.070875,[22 21] ; [10 11],[21.5 21.5] ; [10.5 10.5],0
a8,1,0.800091,0.064125,[ 5 38] ; [ 2 19],[ 4.703125 38.296875] ; [ 2.296875 18.703125],0
n2,1,0.884411,0.021135,[14  9] ; [7 5],[13.8  9.2] ; [7.2 4.8],0
p8,1,0.932318,0.007213,[ 9 34] ; [ 4 16],[ 8.87301587 34.12698413] ; [ 4.12698413 15.87301587],0
b1,1,0.933567,0.006949,[23 20] ; [11 10],[22.84375 20.15625] ; [11.15625  9.84375],0
p11,1,0.95055,0.003846,[14 29] ; [ 7 14],[14.109375 28.890625] ; [ 6.890625 14.109375],0
n3,1,1.0,0.0,[12 10] ; [6 5],[12. 10.] ; [6. 5.],0
r2,1,1.0,0.0,[32 10] ; [16  5],[32. 10.] ; [16.  5.],0
