Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,26.20198,[117   9] ; [56 30],[102.82075472  23.17924528] ; [70.17924528 15.82075472],1
p7,1,3e-06,21.603878,[67 59] ; [18 67],[50.75829384 75.24170616] ; [34.24170616 50.75829384],1
r3,1,4e-06,21.062294,[116  10] ; [58 28],[103.41509434  22.58490566] ; [70.58490566 15.41509434],1
p11,1,0.000111,14.933135,[75 52] ; [28 59],[61.12616822 65.87383178] ; [41.87383178 45.12616822],1
p8,1,0.000142,14.475289,[47 78] ; [12 75],[34.78773585 90.21226415] ; [24.21226415 62.78773585],1
p4,1,0.000148,14.401911,[58 68] ; [18 69],[44.95774648 81.04225352] ; [31.04225352 55.95774648],1
r4,1,0.000844,11.141798,[100  27] ; [50 37],[89.01869159 37.98130841] ; [60.98130841 26.01869159],1
p9,1,0.001001,10.825698,[54 70] ; [18 66],[42.92307692 81.07692308] ; [29.07692308 54.92307692],0
s1,1,0.00442,8.102837,[  2 123] ; [ 9 77],[  6.51658768 118.48341232] ; [ 4.48341232 81.51658768],0
s3,1,0.007355,7.184256,[61 63] ; [26 59],[51.61722488 72.38277512] ; [35.38277512 49.61722488],0
a7,1,0.0075,7.149104,[86 40] ; [43 43],[76.66981132 49.33018868] ; [52.33018868 33.66981132],0
a6,1,0.011706,6.354937,[84 43] ; [42 44],[75.12676056 51.87323944] ; [50.87323944 35.12676056],0
n3,1,0.013007,6.168116,[35 11] ; [19 19],[29.57142857 16.42857143] ; [24.42857143 13.57142857],0
p3,1,0.013531,6.0983,[45 82] ; [17 69],[36.96713615 90.03286385] ; [25.03286385 60.96713615],0
b5,1,0.014757,5.945256,[88 39] ; [46 41],[79.52336449 47.47663551] ; [54.47663551 32.52336449],0
p6,1,0.015075,5.907705,[35 88] ; [12 73],[27.79326923 95.20673077] ; [19.20673077 65.79326923],0
s8,1,0.023813,5.108229,[34 92] ; [12 74],[27.33962264 98.66037736] ; [18.66037736 67.33962264],0
v2,1,0.031066,4.649332,[60 64] ; [28 56],[52.46153846 71.53846154] ; [35.53846154 48.46153846],0
a1,1,0.033423,4.523967,[  5 122] ; [10 77],[  8.90186916 118.09813084] ; [ 6.09813084 80.90186916],0
d3,1,0.04046,4.19851,[80 47] ; [42 44],[72.74178404 54.25821596] ; [49.25821596 36.74178404],0
r1,1,0.044839,4.02468,[90 36] ; [50 36],[83.20754717 42.79245283] ; [56.79245283 29.20754717],0
n6,1,0.085055,2.965561,[85 41] ; [48 38],[79.04716981 46.95283019] ; [53.95283019 32.04716981],0
s7,1,0.088134,2.908126,[40 80] ; [18 63],[34.62686567 85.37313433] ; [23.37313433 57.62686567],0
n2,1,0.093928,2.805738,[33 12] ; [23 18],[29.30232558 15.69767442] ; [26.69767442 14.30232558],0
b2,1,0.108321,2.578549,[22 57] ; [23 33],[26.33333333 52.66666667] ; [18.66666667 37.33333333],0
b3,1,0.108321,2.578549,[22 57] ; [23 33],[26.33333333 52.66666667] ; [18.66666667 37.33333333],0
b1,1,0.111244,2.536458,[56 71] ; [48 39],[61.71962617 65.28037383] ; [42.28037383 44.71962617],0
v1,1,0.117158,2.454907,[51 74] ; [26 60],[45.61611374 79.38388626] ; [31.38388626 54.61611374],0
a8,1,0.186768,1.742926,[16 93] ; [ 7 76],[13.05729167 95.94270833] ; [ 9.94270833 73.05729167],0
u4,1,0.188247,1.731287,[  2 125] ; [ 4 83],[  3.56074766 123.43925234] ; [ 2.43925234 84.56074766],0
d5,1,0.188752,1.727331,[92 35] ; [55 31],[87.64788732 39.35211268] ; [59.35211268 26.64788732],0
s2,1,0.203759,1.615225,[43 81] ; [23 64],[38.78672986 85.21327014] ; [27.21327014 59.78672986],0
n1,1,0.25054,1.320291,[14 30] ; [18 23],[16.56470588 27.43529412] ; [15.43529412 25.56470588],0
s5,1,0.287449,1.13153,[24 97] ; [12 73],[21.14563107 99.85436893] ; [14.85436893 70.14563107],0
r2,1,0.30186,1.065958,[110  16] ; [69 15],[107.4  18.6] ; [71.6 12.4],0
u2,1,0.403278,0.69853,[19 29] ; [18 19],[20.89411765 27.10588235] ; [16.10588235 20.89411765],0
a2,1,0.467221,0.528541,[ 27 100] ; [15 72],[ 24.92523364 102.07476636] ; [17.07476636 69.92523364],0
s6,1,0.475367,0.509474,[59 67] ; [36 50],[56.46226415 69.53773585] ; [38.53773585 47.46226415],0
p12,1,0.515149,0.423595,[  3 123] ; [ 1 86],[  2.36619718 123.63380282] ; [ 1.63380282 85.36619718],0
b4,1,0.529278,0.395778,[77 50] ; [49 38],[74.77570093 52.22429907] ; [51.22429907 35.77570093],0
n4,1,0.537585,0.380034,[80 46] ; [51 35],[77.85849057 48.14150943] ; [53.14150943 32.85849057],0
s4,1,0.575916,0.312884,[ 21 104] ; [12 74],[ 19.54976303 105.45023697] ; [13.45023697 72.54976303],0
a3,1,0.614836,0.253193,[77 49] ; [49 36],[75.24170616 50.75829384] ; [50.75829384 34.24170616],0
p1,1,0.698714,0.149813,[  7 118] ; [ 6 81],[  7.66509434 117.33490566] ; [ 5.33490566 81.66509434],0
u3,1,0.709809,0.138468,[23 27] ; [19 19],[23.86363636 26.13636364] ; [18.13636364 19.86363636],0
u1,1,0.748131,0.103109,[ 18 109] ; [11 76],[ 17.21028037 109.78971963] ; [11.78971963 75.21028037],0
v3,1,0.77404,0.082423,[32 90] ; [23 59],[32.89215686 89.10784314] ; [22.10784314 59.89215686],0
d2,1,0.798272,0.065323,[60 66] ; [42 43],[60.90995261 65.09004739] ; [41.09004739 43.90995261],0
d4,1,0.808591,0.058682,[92 33] ; [62 24],[91.23222749 33.76777251] ; [62.76777251 23.23222749],0
a5,1,0.817389,0.053317,[75 52] ; [50 37],[74.18224299 52.81775701] ; [50.81775701 36.18224299],0
n5,1,0.873983,0.025154,[66 60] ; [46 40],[66.56603774 59.43396226] ; [45.43396226 40.56603774],0
d1,1,0.903301,0.01476,[58 69] ; [39 48],[57.56542056 69.43457944] ; [39.43457944 47.56542056],0
a4,1,0.935846,0.006479,[53 74] ; [35 50],[52.71698113 74.28301887] ; [35.28301887 49.71698113],0
