Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.027357,4.868144,[1 1] ; [ 3 44],[0.16326531 1.83673469] ; [ 3.83673469 43.16326531],0
r2,1,0.027357,4.868144,[1 1] ; [44  3],[1.83673469 0.16326531] ; [43.16326531  3.83673469],0
r4,1,0.027357,4.868144,[1 1] ; [44  3],[1.83673469 0.16326531] ; [43.16326531  3.83673469],0
r3,1,0.096287,2.765999,[1 1] ; [42  5],[1.75510204 0.24489796] ; [41.24489796  5.75510204],0
p9,1,0.147155,2.1015,[1 1] ; [40  6],[1.70833333 0.29166667] ; [39.29166667  6.70833333],0
s6,1,0.147155,2.1015,[1 1] ; [40  6],[1.70833333 0.29166667] ; [39.29166667  6.70833333],0
p1,1,0.28904,1.124086,[1 1] ; [ 9 38],[0.40816327 1.59183673] ; [ 9.59183673 37.40816327],0
p10,1,0.299498,1.07643,[1 1] ; [37  9],[1.58333333 0.41666667] ; [36.41666667  9.58333333],0
p2,1,0.391661,0.733779,[1 1] ; [36 11],[1.51020408 0.48979592] ; [35.48979592 11.51020408],0
r1,1,0.391661,0.733779,[1 1] ; [36 11],[1.51020408 0.48979592] ; [35.48979592 11.51020408],0
s4,1,0.442721,0.589221,[1 1] ; [12 35],[0.53061224 1.46938776] ; [12.46938776 34.53061224],0
n4,1,0.54356,0.368982,[1 1] ; [33 14],[1.3877551 0.6122449] ; [32.6122449 14.3877551],0
p7,1,0.593235,0.28532,[1 1] ; [32 15],[1.34693878 0.65306122] ; [31.65306122 15.34693878],0
s2,1,0.642412,0.215602,[1 1] ; [31 16],[1.30612245 0.69387755] ; [30.69387755 16.30612245],0
a7,1,0.642412,0.215602,[1 1] ; [31 16],[1.30612245 0.69387755] ; [30.69387755 16.30612245],0
s3,1,0.659572,0.194043,[1 1] ; [30 16],[1.29166667 0.70833333] ; [29.70833333 16.29166667],0
a5,1,0.691118,0.157878,[1 1] ; [30 17],[1.26530612 0.73469388] ; [29.73469388 17.26530612],0
d3,1,0.739397,0.110657,[1 1] ; [18 29],[0.7755102 1.2244898] ; [18.2244898 28.7755102],0
v1,1,0.758298,0.094689,[1 1] ; [18 28],[0.79166667 1.20833333] ; [18.20833333 27.79166667],0
p6,1,0.758298,0.094689,[1 1] ; [18 28],[0.79166667 1.20833333] ; [18.20833333 27.79166667],0
p8,1,0.758298,0.094689,[1 1] ; [28 18],[1.20833333 0.79166667] ; [27.79166667 18.20833333],0
s7,1,0.798438,0.065214,[1 1] ; [26 18],[1.17391304 0.82608696] ; [25.82608696 18.17391304],0
b1,1,0.8349,0.04344,[1 1] ; [20 27],[0.85714286 1.14285714] ; [20.14285714 26.85714286],0
v2,1,0.855578,0.033126,[1 1] ; [20 26],[0.875 1.125] ; [20.125 25.875],0
a3,1,0.95196,0.003629,[1 1] ; [22 24],[0.95833333 1.04166667] ; [22.04166667 23.95833333],0
p3,1,0.976486,0.000869,[1 1] ; [23 24],[0.97959184 1.02040816] ; [23.02040816 23.97959184],0
p4,1,1.0,0.0,[1 1] ; [23 23],[1. 1.] ; [23. 23.],0
