Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.000109,14.968317,[  8 123] ; [3 3],[ 10.51824818 120.48175182] ; [0.48175182 5.51824818],1
a1,1,0.001493,10.08682,[  1 130] ; [1 5],[  1.91240876 129.08759124] ; [0.08759124 5.91240876],0
a4,1,0.018991,5.502345,[31 99] ; [4 2],[33.45588235 96.54411765] ; [1.54411765 4.45588235],0
s7,1,0.045232,4.009973,[44 79] ; [4 1],[46.125 76.875] ; [1.875 3.125],0
u1,1,0.082062,3.023581,[  4 127] ; [1 5],[  4.7810219 126.2189781] ; [0.2189781 5.7810219],0
s2,1,0.090907,2.858245,[42 85] ; [4 2],[43.92481203 83.07518797] ; [2.07518797 3.92481203],0
p8,1,0.106312,2.608199,[63 64] ; [5 1],[64.93233083 62.06766917] ; [3.06766917 2.93233083],0
p1,1,0.140404,2.173524,[ 16 113] ; [2 4],[ 17.2 111.8] ; [0.8 5.2],0
b5,1,0.193129,1.693588,[74 57] ; [5 1],[75.54014599 55.45985401] ; [3.45985401 2.54014599],0
a7,1,0.193129,1.693588,[74 57] ; [5 1],[75.54014599 55.45985401] ; [3.45985401 2.54014599],0
a6,1,0.230207,1.439581,[77 54] ; [5 1],[78.40875912 52.59124088] ; [3.59124088 2.40875912],0
b4,1,0.264439,1.245367,[74 57] ; [2 4],[72.67153285 58.32846715] ; [3.32846715 2.67153285],0
p6,1,0.284781,1.14413,[38 91] ; [3 3],[39.17777778 89.82222222] ; [1.82222222 4.17777778],0
p4,1,0.383173,0.760496,[63 67] ; [4 2],[64.04411765 65.95588235] ; [2.95588235 3.04411765],0
s8,1,0.399788,0.708964,[43 86] ; [3 3],[43.95555556 85.04444444] ; [2.04444444 3.95555556],0
a8,1,0.415447,0.663158,[ 11 110] ; [1 4],[ 11.52380952 109.47619048] ; [0.47619048 4.52380952],0
v3,1,0.427818,0.628739,[41 87] ; [1 5],[40.11940299 87.88059701] ; [1.88059701 4.11940299],0
b2,1,0.457523,0.551948,[20 60] ; [2 3],[20.70588235 59.29411765] ; [1.29411765 3.70588235],0
b3,1,0.457523,0.551948,[20 60] ; [2 3],[20.70588235 59.29411765] ; [1.29411765 3.70588235],0
v1,1,0.528432,0.397406,[59 68] ; [2 4],[58.2481203 68.7518797] ; [2.7518797 3.2481203],0
p3,1,0.542525,0.370879,[60 70] ; [3 2],[60.66666667 69.33333333] ; [2.33333333 2.66666667],0
v2,1,0.545994,0.364543,[56 66] ; [2 4],[55.28125 66.71875] ; [2.71875 3.28125],0
s5,1,0.560245,0.33928,[29 97] ; [2 4],[29.59090909 96.40909091] ; [1.40909091 4.59090909],0
p5,1,0.657789,0.196221,[ 14 115] ; [1 5],[ 14.33333333 114.66666667] ; [0.66666667 5.33333333],0
n5,1,0.663769,0.188978,[99 32] ; [5 1],[99.44525547 31.55474453] ; [4.55474453 1.44525547],0
s6,1,0.688553,0.160657,[74 53] ; [3 3],[73.52631579 53.47368421] ; [3.47368421 2.52631579],0
p7,1,0.738657,0.111311,[76 51] ; [4 2],[76.39097744 50.60902256] ; [3.60902256 2.39097744],0
p10,1,0.827742,0.047349,[102  26] ; [5 1],[102.20895522  25.79104478] ; [4.79104478 1.20895522],0
p9,1,0.869144,0.027141,[104  25] ; [5 1],[104.15555556  24.84444444] ; [4.84444444 1.15555556],0
n1,1,0.870756,0.026471,[15 19] ; [1 1],[15.11111111 18.88888889] ; [0.88888889 1.11111111],0
s3,1,0.879008,0.023173,[59 67] ; [3 3],[59.18181818 66.81818182] ; [2.81818182 3.18181818],0
b1,1,0.898816,0.016169,[47 84] ; [2 4],[46.8540146 84.1459854] ; [2.1459854 3.8540146],0
s4,1,0.904911,0.014271,[ 24 105] ; [1 5],[ 23.88888889 105.11111111] ; [1.11111111 4.88888889],0
