Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,8.8e-05,15.377774,[3 6] ; [ 1 63],[0.49315068 8.50684932] ; [ 3.50684932 60.49315068],1
s8,1,0.000225,13.611564,[8 1] ; [17 47],[3.08219178 5.91780822] ; [21.91780822 42.08219178],1
s2,1,0.000496,12.131967,[8 1] ; [18 44],[3.29577465 5.70422535] ; [22.70422535 39.29577465],1
p12,1,0.000871,11.084009,[3 6] ; [ 2 61],[0.625 8.375] ; [ 4.375 58.625],1
p3,1,0.001792,9.751768,[6 3] ; [12 52],[2.21917808 6.78082192] ; [15.78082192 48.21917808],0
a2,1,0.003072,8.764278,[5 4] ; [ 9 55],[1.7260274 7.2739726] ; [12.2739726 51.7260274],0
b3,1,0.007354,7.184406,[7 2] ; [15 34],[3.4137931 5.5862069] ; [18.5862069 30.4137931],0
b2,1,0.007354,7.184406,[7 2] ; [15 34],[3.4137931 5.5862069] ; [18.5862069 30.4137931],0
s3,1,0.011009,6.4639,[8 1] ; [27 35],[4.43661972 4.56338028] ; [30.56338028 31.43661972],0
s7,1,0.011781,6.343513,[7 2] ; [21 41],[3.54929577 5.45070423] ; [24.45070423 37.54929577],0
v3,1,0.043534,4.074546,[4 2] ; [17 46],[1.82608696 4.17391304] ; [19.17391304 43.82608696],0
a4,1,0.045053,4.016655,[7 2] ; [27 37],[4.19178082 4.80821918] ; [29.80821918 34.19178082],0
d2,1,0.056491,3.63753,[8 1] ; [35 28],[5.375 3.625] ; [37.625 25.375],0
u1,1,0.058103,3.590711,[4 5] ; [11 53],[1.84931507 7.15068493] ; [13.15068493 50.84931507],0
p4,1,0.062122,3.479812,[6 3] ; [22 42],[3.45205479 5.54794521] ; [24.54794521 39.45205479],0
v1,1,0.064728,3.411894,[5 2] ; [22 40],[2.73913043 4.26086957] ; [24.26086957 37.73913043],0
n1,1,0.0651,3.402446,[2 1] ; [ 4 18],[0.72 2.28] ; [ 5.28 16.72],0
p8,1,0.081758,3.02961,[5 4] ; [17 46],[2.75 6.25] ; [19.25 43.75],0
s6,1,0.082516,3.014645,[7 2] ; [30 34],[4.56164384 4.43835616] ; [32.43835616 31.56164384],0
n5,1,0.08593,2.949013,[8 1] ; [38 26],[5.67123288 3.32876712] ; [40.32876712 23.67123288],0
n2,1,0.111824,2.528259,[1 2] ; [17  5],[2.16 0.84] ; [15.84  6.16],0
p6,1,0.149821,2.074074,[4 5] ; [14 49],[2.25 6.75] ; [15.75 47.25],0
n3,1,0.152053,2.05153,[1 2] ; [17  6],[2.07692308 0.92307692] ; [15.92307692  7.07692308],0
a3,1,0.159512,1.978847,[8 1] ; [42 22],[6.16438356 2.83561644] ; [43.83561644 20.16438356],0
v2,1,0.174842,1.840932,[5 2] ; [28 35],[3.3 3.7] ; [29.7 33.3],0
b4,1,0.182174,1.779802,[4 5] ; [43 21],[5.79452055 3.20547945] ; [41.20547945 22.79452055],0
n4,1,0.184011,1.76493,[8 1] ; [43 21],[6.28767123 2.71232877] ; [44.71232877 19.28767123],0
a5,1,0.189456,1.72184,[7 2] ; [35 29],[5.17808219 3.82191781] ; [36.82191781 27.17808219],0
p2,1,0.220704,1.49979,[5 4] ; [48 16],[6.53424658 2.46575342] ; [46.46575342 17.53424658],0
a1,1,0.258454,1.277017,[1 8] ; [ 2 62],[0.36986301 8.63013699] ; [ 2.63013699 61.36986301],0
s1,1,0.271821,1.207534,[1 8] ; [ 2 60],[0.38028169 8.61971831] ; [ 2.61971831 59.38028169],0
d5,1,0.276071,1.186329,[8 1] ; [46 18],[6.65753425 2.34246575] ; [47.34246575 16.65753425],0
r1,1,0.355985,0.852007,[8 1] ; [48 16],[6.90410959 2.09589041] ; [49.09589041 14.90410959],0
a6,1,0.416866,0.659133,[7 2] ; [41 23],[5.91780822 3.08219178] ; [42.08219178 21.91780822],0
p1,1,0.436661,0.605042,[1 8] ; [ 3 60],[0.5 8.5] ; [ 3.5 59.5],0
n6,1,0.499491,0.456017,[8 1] ; [50 13],[7.25 1.75] ; [50.75 12.25],0
b5,1,0.613204,0.255535,[6 3] ; [37 27],[5.30136986 3.69863014] ; [37.69863014 26.30136986],0
d3,1,0.675526,0.175206,[6 3] ; [38 26],[5.42465753 3.57534247] ; [38.57534247 25.42465753],0
p7,1,0.701192,0.147235,[4 4] ; [27 36],[3.49295775 4.50704225] ; [27.50704225 35.49295775],0
s5,1,0.704304,0.144033,[2 5] ; [14 49],[1.6 5.4] ; [14.4 48.6],0
a8,1,0.768779,0.08642,[1 8] ; [ 8 46],[1.28571429 7.71428571] ; [ 7.71428571 46.28571429],0
s4,1,0.796713,0.066359,[1 8] ; [ 9 54],[1.25 7.75] ; [ 8.75 54.25],0
v4,1,0.905539,0.014082,[8 1] ; [56  8],[7.89041096 1.10958904] ; [56.10958904  7.89041096],0
a7,1,1.0,0.0,[6 3] ; [42 21],[6. 3.] ; [42. 21.],0
