Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,32.516275,[54 64] ; [ 22 131],[33.09225092 84.90774908] ; [ 42.90774908 110.09225092],1
s3,1,0.0,31.978849,[67 50] ; [ 36 117],[44.63333333 72.36666667] ; [58.36666667 94.63333333],1
s8,1,0.000296,13.096229,[27 94] ; [ 11 143],[ 16.72 104.28] ; [ 21.28 132.72],1
s4,1,0.000479,12.196489,[28 90] ; [ 13 141],[ 17.78676471 100.21323529] ; [ 23.21323529 130.78676471],1
p10,1,0.000581,11.835072,[87 32] ; [80 72],[73.33210332 45.66789668] ; [93.66789668 58.33210332],1
s5,1,0.001085,10.675971,[32 86] ; [ 17 131],[21.73684211 96.26315789] ; [ 27.26315789 120.73684211],0
p9,1,0.001232,10.442475,[93 27] ; [89 62],[80.5904059 39.4095941] ; [101.4095941  49.5904059],0
p2,1,0.001332,10.298143,[92 28] ; [89 64],[79.56043956 40.43956044] ; [101.43956044  51.56043956],0
v1,1,0.001351,10.272115,[59 58] ; [ 47 104],[46.2761194 70.7238806] ; [59.7238806 91.2761194],0
v4,1,0.00217,9.400076,[112   8] ; [123  30],[103.2967033  16.7032967] ; [131.7032967  21.2967033],0
r1,1,0.002214,9.363366,[91 28] ; [90 63],[79.1875 39.8125] ; [101.8125  51.1875],0
r3,1,0.002605,9.065051,[113   8] ; [122  29],[104.54044118  16.45955882] ; [130.45955882  20.54044118],0
n6,1,0.0029,8.869343,[98 23] ; [99 54],[86.99635036 34.00364964] ; [110.00364964  42.99635036],0
p4,1,0.004872,7.926212,[49 71] ; [ 38 115],[38.24175824 81.75824176] ; [ 48.75824176 104.24175824],0
b1,1,0.008873,6.848307,[37 84] ; [71 83],[47.52 73.48] ; [60.48 93.52],0
r4,1,0.012014,6.308737,[100  21] ; [107  47],[91.08 29.92] ; [115.92  38.08],0
v2,1,0.012781,6.199204,[58 53] ; [54 93],[48.18604651 62.81395349] ; [63.81395349 83.18604651],0
p12,1,0.037925,4.30839,[  7 114] ; [  2 152],[  3.96 117.04] ; [  5.04 148.96],0
p11,1,0.046294,3.970865,[87 34] ; [93 61],[79.2 41.8] ; [100.8  53.2],0
d5,1,0.049891,3.845116,[93 28] ; [101  52],[85.67153285 35.32846715] ; [108.32846715  44.67153285],0
p3,1,0.059056,3.563688,[38 82] ; [ 33 120],[31.20879121 88.79120879] ; [ 39.79120879 113.20879121],0
b5,1,0.066504,3.367277,[80 41] ; [85 69],[72.6 48.4] ; [92.4 61.6],0
