Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-05,19.557235,[46 42] ; [ 9 48],[33.37931034 54.62068966] ; [21.62068966 35.37931034],1
s2,1,4.9e-05,16.485168,[44 42] ; [10 47],[32.47552448 53.52447552] ; [21.52447552 35.47552448],1
s7,1,0.000146,14.429542,[46 39] ; [11 41],[35.3649635 49.6350365] ; [21.6350365 30.3649635],1
s5,1,0.00083,11.172952,[28 57] ; [ 5 52],[19.75352113 65.24647887] ; [13.24647887 43.75352113],1
p9,1,0.001022,10.786638,[75 12] ; [35 21],[66.92307692 20.07692308] ; [43.07692308 12.92307692],0
p10,1,0.001158,10.555794,[71 14] ; [33 23],[62.69503546 22.30496454] ; [41.30496454 14.69503546],0
s3,1,0.002188,9.384886,[53 31] ; [21 36],[44.08510638 39.91489362] ; [29.91489362 27.08510638],0
r1,1,0.002988,8.814735,[74 12] ; [37 20],[66.75524476 19.24475524] ; [44.24475524 12.75524476],0
p5,1,0.028058,4.824514,[13 74] ; [ 2 55],[ 9.0625 77.9375] ; [ 5.9375 51.0625],0
s4,1,0.039628,4.233757,[19 68] ; [ 5 52],[14.5 72.5] ; [ 9.5 47.5],0
a4,1,0.074363,3.183989,[16 70] ; [18 39],[20.44755245 65.55244755] ; [13.55244755 43.44755245],0
b4,1,0.083438,2.99663,[50 38] ; [24 33],[44.91034483 43.08965517] ; [29.08965517 27.91034483],0
u3,1,0.127417,2.323693,[25 17] ; [11 16],[21.91304348 20.08695652] ; [14.08695652 12.91304348],0
a8,1,0.151508,2.056998,[13 67] ; [ 4 48],[10.3030303 69.6969697] ; [ 6.6969697 45.3030303],0
n5,1,0.190842,1.711107,[68 19] ; [39 18],[64.64583333 22.35416667] ; [42.35416667 14.64583333],0
n2,1,0.289601,1.121475,[17  4] ; [14  1],[18.08333333  2.91666667] ; [12.91666667  2.08333333],0
u2,1,0.290747,1.116157,[21 21] ; [10 17],[18.86956522 23.13043478] ; [12.13043478 14.86956522],0
n4,1,0.295433,1.094695,[65 22] ; [38 19],[62.22916667 24.77083333] ; [40.77083333 16.22916667],0
a6,1,0.297037,1.087447,[57 31] ; [32 25],[54.0137931 33.9862069] ; [34.9862069 22.0137931],0
n6,1,0.328168,0.956115,[75 13] ; [45 12],[72.82758621 15.17241379] ; [47.17241379  9.82758621],0
b5,1,0.331171,0.944312,[50 38] ; [37 20],[52.8 35.2] ; [34.2 22.8],0
v1,1,0.356539,0.850048,[42 42] ; [24 33],[39.31914894 44.68085106] ; [26.68085106 30.31914894],0
d5,1,0.371976,0.797051,[46 42] ; [25 31],[43.38888889 44.61111111] ; [27.61111111 28.38888889],0
s1,1,0.381097,0.767161,[ 6 79] ; [ 2 54],[ 4.82269504 80.17730496] ; [ 3.17730496 52.82269504],0
v3,1,0.503814,0.446893,[32 53] ; [18 38],[30.14184397 54.85815603] ; [19.85815603 36.14184397],0
b2,1,0.505046,0.444317,[11 40] ; [10 26],[12.31034483 38.68965517] ; [ 8.68965517 27.31034483],0
b3,1,0.505046,0.444317,[11 40] ; [10 26],[12.31034483 38.68965517] ; [ 8.68965517 27.31034483],0
p12,1,0.520608,0.412688,[ 7 80] ; [ 3 54],[ 6.04166667 80.95833333] ; [ 3.95833333 53.04166667],0
u1,1,0.552368,0.353092,[ 3 85] ; [ 1 56],[ 2.42758621 85.57241379] ; [ 1.57241379 55.42758621],0
p6,1,0.559248,0.341008,[24 63] ; [18 38],[25.55244755 61.44755245] ; [16.44755245 39.55244755],0
p1,1,0.574748,0.314803,[11 77] ; [ 9 48],[12.13793103 75.86206897] ; [ 7.86206897 49.13793103],0
v2,1,0.581126,0.304418,[38 44] ; [22 31],[36.44444444 45.55555556] ; [23.55555556 29.44444444],0
r2,1,0.584017,0.299785,[85  3] ; [54  3],[84.35862069  3.64137931] ; [54.64137931  2.35862069],0
d1,1,0.584017,0.299785,[ 3 85] ; [ 3 54],[ 3.64137931 84.35862069] ; [ 2.35862069 54.64137931],0
a7,1,0.676684,0.173883,[58 30] ; [35 21],[56.83333333 31.16666667] ; [36.16666667 19.83333333],0
p8,1,0.684267,0.165362,[41 46] ; [24 31],[39.82394366 47.17605634] ; [25.17605634 29.82394366],0
p4,1,0.710928,0.137352,[46 42] ; [28 29],[44.91034483 43.08965517] ; [29.08965517 27.91034483],0
v4,1,0.745491,0.105359,[87  1] ; [55  1],[86.77777778  1.22222222] ; [55.22222222  0.77777778],0
a1,1,0.755297,0.097133,[ 1 87] ; [ 1 56],[ 1.2137931 86.7862069] ; [ 0.7862069 56.2137931],0
