Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4.3e-05,16.71358,[29 39] ; [ 7 57],[18.54545455 49.45454545] ; [17.45454545 46.54545455],1
d5,1,0.001783,9.760349,[62 10] ; [43 25],[54. 18.] ; [51. 17.],0
a3,1,0.004542,8.053392,[55 17] ; [37 32],[46.9787234 25.0212766] ; [45.0212766 23.9787234],0
v1,1,0.005215,7.803435,[39 32] ; [21 46],[30.86956522 40.13043478] ; [29.13043478 37.86956522],0
a5,1,0.012989,6.170552,[54 18] ; [38 31],[46.9787234 25.0212766] ; [45.0212766 23.9787234],0
d1,1,0.014155,6.018669,[42 30] ; [26 43],[34.72340426 37.27659574] ; [33.27659574 35.72340426],0
b5,1,0.057187,3.617151,[40 32] ; [49 20],[45.44680851 26.55319149] ; [43.55319149 25.44680851],0
s1,1,0.133752,2.24841,[ 2 68] ; [ 6 62],[ 4.05797101 65.94202899] ; [ 3.94202899 64.05797101],0
d4,1,0.150619,2.065972,[61 11] ; [51 17],[57.6 14.4] ; [54.4 13.6],0
d3,1,0.167824,1.902276,[51 21] ; [40 27],[47.13669065 24.86330935] ; [43.86330935 23.13669065],0
s3,1,0.196437,1.668669,[34 37] ; [40 28],[37.79856115 33.20143885] ; [36.20143885 31.79856115],0
r1,1,0.201101,1.634359,[57 14] ; [49 20],[53.75714286 17.24285714] ; [52.24285714 16.75714286],0
s7,1,0.218143,1.516544,[26 42] ; [18 46],[22.66666667 45.33333333] ; [21.33333333 42.66666667],0
p10,1,0.223576,1.481271,[45 24] ; [38 31],[41.5 27.5] ; [41.5 27.5],0
n5,1,0.240109,1.379957,[32 39] ; [24 44],[28.60431655 42.39568345] ; [27.39568345 40.60431655],0
b2,1,0.285992,1.138393,[12 28] ; [ 9 36],[ 9.88235294 30.11764706] ; [11.11764706 33.88235294],0
b3,1,0.285992,1.138393,[12 28] ; [ 9 36],[ 9.88235294 30.11764706] ; [11.11764706 33.88235294],0
n3,1,0.287471,1.131429,[18  6] ; [12  8],[16.36363636  7.63636364] ; [13.63636364  6.36363636],0
p3,1,0.291884,1.110912,[29 40] ; [23 46],[26. 43.] ; [26. 43.],0
a8,1,0.297967,1.08327,[ 5 59] ; [ 9 58],[ 6.83969466 57.16030534] ; [ 7.16030534 59.83969466],0
p8,1,0.298277,1.081882,[31 38] ; [25 44],[28. 41.] ; [28. 41.],0
a2,1,0.299663,1.075695,[ 9 63] ; [13 56],[11.23404255 60.76595745] ; [10.76595745 58.23404255],0
p4,1,0.301499,1.067551,[36 34] ; [29 39],[32.97101449 37.02898551] ; [32.02898551 35.97101449],0
s4,1,0.312021,1.022103,[10 62] ; [14 55],[12.25531915 59.74468085] ; [11.74468085 57.25531915],0
s6,1,0.315003,1.009583,[41 30] ; [34 35],[38.03571429 32.96428571] ; [36.96428571 32.03571429],0
a6,1,0.398961,0.711457,[46 26] ; [48 20],[48.34285714 23.65714286] ; [45.65714286 22.34285714],0
p5,1,0.424354,0.638225,[ 4 67] ; [ 2 67],[ 3.04285714 67.95714286] ; [ 2.95714286 66.04285714],0
u2,1,0.432988,0.614796,[13  4] ; [21 11],[11.79591837  5.20408163] ; [22.20408163  9.79591837],0
p9,1,0.434983,0.609481,[49 21] ; [44 25],[46.83453237 23.16546763] ; [46.16546763 22.83453237],0
r4,1,0.454057,0.560504,[57 15] ; [58 11],[58.72340426 13.27659574] ; [56.27659574 12.72340426],0
a7,1,0.474763,0.51087,[50 22] ; [44 25],[48. 24.] ; [46. 23.],0
p2,1,0.510932,0.432158,[49 21] ; [51 17],[50.72463768 19.27536232] ; [49.27536232 18.72463768],0
n4,1,0.561211,0.337612,[39 33] ; [34 35],[37.27659574 34.72340426] ; [35.72340426 33.27659574],0
p1,1,0.573572,0.316742,[ 6 66] ; [ 4 64],[ 5.14285714 66.85714286] ; [ 4.85714286 63.14285714],0
a4,1,0.591215,0.288451,[23 49] ; [25 44],[24.5106383 47.4893617] ; [23.4893617 45.5106383],0
s5,1,0.60317,0.270241,[17 51] ; [14 52],[15.73134328 52.26865672] ; [15.26865672 50.73134328],0
n2,1,0.607936,0.263191,[18  6] ; [15  7],[17.2173913  6.7826087] ; [15.7826087  6.2173913],0
a1,1,0.61432,0.253932,[ 2 70] ; [ 3 66],[ 2.55319149 69.44680851] ; [ 2.44680851 66.55319149],0
p7,1,0.623557,0.2409,[39 31] ; [34 32],[37.57352941 32.42647059] ; [35.42647059 30.57352941],0
b4,1,0.655329,0.199247,[38 34] ; [39 30],[39.31914894 32.68085106] ; [37.68085106 31.31914894],0
b1,1,0.672314,0.178907,[35 37] ; [36 33],[36.25531915 35.74468085] ; [34.74468085 34.25531915],0
s2,1,0.696152,0.152505,[32 40] ; [28 40],[30.85714286 41.14285714] ; [29.14285714 38.85714286],0
s8,1,0.712056,0.136232,[24 48] ; [21 48],[22.9787234 49.0212766] ; [22.0212766 46.9787234],0
n1,1,0.750455,0.101149,[ 8 14] ; [ 7 15],[ 7.5 14.5] ; [ 7.5 14.5],0
u3,1,0.773848,0.082567,[11  6] ; [22 10],[11.44897959  5.55102041] ; [21.55102041 10.44897959],0
d2,1,0.813422,0.055703,[30 42] ; [27 41],[29.31428571 42.68571429] ; [27.68571429 40.31428571],0
p6,1,0.844099,0.038672,[17 50] ; [18 49],[17.5 49.5] ; [17.5 49.5],0
v4,1,0.853298,0.034192,[63  8] ; [61  7],[63.3381295  7.6618705] ; [60.6618705  7.3381295],0
u1,1,0.938565,0.00594,[ 6 66] ; [ 6 63],[ 6.12765957 65.87234043] ; [ 5.87234043 63.12765957],0
r2,1,0.975595,0.000936,[62  8] ; [61  8],[61.94244604  8.05755396] ; [61.05755396  7.94244604],0
p11,1,0.988096,0.000223,[46 26] ; [44 25],[45.95744681 26.04255319] ; [44.04255319 24.95744681],0
