Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.000126,14.695279,[  8 121] ; [3 3],[ 10.51111111 118.48888889] ; [0.48888889 5.51111111],1
s5,1,0.003341,8.611076,[ 25 115] ; [4 2],[ 27.80821918 112.19178082] ; [1.19178082 4.80821918],0
v3,1,0.007215,7.218564,[43 97] ; [5 1],[46.02739726 93.97260274] ; [1.97260274 4.02739726],0
p1,1,0.013086,6.157482,[  9 134] ; [2 4],[ 10.55704698 132.44295302] ; [0.44295302 5.55704698],0
s7,1,0.049216,3.867964,[39 96] ; [4 2],[41.17021277 93.82978723] ; [1.82978723 4.17021277],0
s3,1,0.053804,3.718764,[62 81] ; [5 1],[64.30201342 78.69798658] ; [2.69798658 3.30201342],0
p3,1,0.082108,3.022677,[46 96] ; [4 2],[47.97297297 94.02702703] ; [2.02702703 3.97297297],0
p4,1,0.09816,2.735185,[61 82] ; [4 1],[62.80405405 80.19594595] ; [2.19594595 2.80405405],0
s2,1,0.101654,2.679404,[48 93] ; [4 2],[49.87755102 91.12244898] ; [2.12244898 3.87755102],0
s8,1,0.1488,2.084507,[ 34 108] ; [3 3],[ 35.5 106.5] ; [1.5 4.5],0
a5,1,0.185749,1.751013,[87 57] ; [2 4],[85.44 58.56] ; [3.56 2.44],0
a1,1,0.207325,1.590009,[  7 137] ; [1 5],[  7.68 136.32] ; [0.32 5.68],0
d4,1,0.208118,1.584468,[105  38] ; [3 3],[103.65100671  39.34899329] ; [4.34899329 1.65100671],0
p11,1,0.299896,1.074656,[79 65] ; [2 4],[77.76 66.24] ; [3.24 2.76],0
s1,1,0.32349,0.974784,[  9 133] ; [1 5],[  9.59459459 132.40540541] ; [0.40540541 5.59459459],0
p6,1,0.343928,0.895733,[ 31 110] ; [2 3],[ 31.86986301 109.13013699] ; [1.13013699 3.86986301],0
a7,1,0.428286,0.627468,[94 49] ; [3 3],[93.09395973 49.90604027] ; [3.90604027 2.09395973],0
p8,1,0.443036,0.588407,[50 94] ; [3 3],[50.88 93.12] ; [2.12 3.88],0
a4,1,0.451064,0.567978,[50 93] ; [3 3],[50.86577181 92.13422819] ; [2.13422819 3.86577181],0
v1,1,0.4659,0.531684,[51 93] ; [3 3],[51.84 92.16] ; [2.16 3.84],0
p2,1,0.489117,0.478469,[92 52] ; [3 3],[91.2 52.8] ; [3.8 2.2],0
r2,1,0.533243,0.388207,[130  13] ; [5 1],[129.56375839  13.43624161] ; [5.43624161 0.56375839],0
d1,1,0.546755,0.363164,[66 78] ; [2 4],[65.28 78.72] ; [2.72 3.28],0
v2,1,0.583605,0.300443,[63 78] ; [2 4],[62.34693878 78.65306122] ; [2.65306122 3.34693878],0
a6,1,0.585135,0.298007,[88 56] ; [3 3],[87.36 56.64] ; [3.64 2.36],0
b5,1,0.591119,0.2886,[80 64] ; [4 2],[80.64 63.36] ; [3.36 2.64],0
b1,1,0.613907,0.254525,[81 63] ; [4 2],[81.6 62.4] ; [3.4 2.6],0
p7,1,0.660261,0.193206,[71 71] ; [3 2],[71.4829932 70.5170068] ; [2.5170068 2.4829932],0
d3,1,0.66067,0.192711,[83 61] ; [4 2],[83.52 60.48] ; [3.48 2.52],0
d5,1,0.675973,0.174694,[107  37] ; [4 2],[106.56  37.44] ; [4.44 1.56],0
a3,1,0.684634,0.164956,[84 60] ; [4 2],[84.48 59.52] ; [3.52 2.48],0
b2,1,0.712471,0.135822,[23 64] ; [2 4],[23.38709677 63.61290323] ; [1.61290323 4.38709677],0
b3,1,0.712471,0.135822,[23 64] ; [2 4],[23.38709677 63.61290323] ; [1.61290323 4.38709677],0
p10,1,0.718886,0.129562,[ 39 104] ; [1 4],[ 38.64864865 104.35135135] ; [1.35135135 3.64864865],0
u3,1,0.776712,0.080432,[36 24] ; [1 1],[35.80645161 24.19354839] ; [1.19354839 0.80645161],0
b4,1,0.810052,0.057772,[89 55] ; [4 2],[89.28 54.72] ; [3.72 2.28],0
u1,1,0.84764,0.036914,[ 20 124] ; [1 5],[ 20.16 123.84] ; [0.84 5.16],0
d2,1,0.906388,0.013829,[68 75] ; [3 3],[68.1409396 74.8590604] ; [2.8590604 3.1409396],0
u2,1,0.923436,0.009236,[31 27] ; [1 1],[30.93333333 27.06666667] ; [1.06666667 0.93333333],0
