Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.014856,5.933469,[12 13] ; [14 50],[ 7.30337079 17.69662921] ; [18.69662921 45.30337079],0
p7,1,0.016309,5.769231,[15 10] ; [21 44],[10. 15.] ; [26. 39.],0
p4,1,0.016309,5.769231,[15 10] ; [21 44],[10. 15.] ; [26. 39.],0
d3,1,0.023712,5.115607,[20  5] ; [34 29],[15.34090909  9.65909091] ; [38.65909091 24.34090909],0
p6,1,0.031309,4.635925,[ 8 17] ; [ 8 56],[ 4.49438202 20.50561798] ; [11.50561798 52.49438202],0
a5,1,0.03417,4.486154,[17  8] ; [28 37],[12.5 12.5] ; [32.5 32.5],0
b1,1,0.046834,3.951353,[ 8 17] ; [36 29],[12.22222222 12.77777778] ; [31.77777778 33.22222222],0
r1,1,0.094535,2.79541,[19  6] ; [37 28],[15.55555556  9.44444444] ; [40.44444444 24.55555556],0
v3,1,0.127462,2.323145,[ 8 16] ; [11 50],[ 5.36470588 18.63529412] ; [13.63529412 47.36470588],0
u3,1,0.166045,1.918292,[3 5] ; [20 11],[4.71794872 3.28205128] ; [18.28205128 12.71794872],0
v4,1,0.171062,1.873616,[20  5] ; [58  6],[21.91011236  3.08988764] ; [56.08988764  7.91011236],0
n1,1,0.201625,1.630567,[3 5] ; [ 6 29],[1.6744186 6.3255814] ; [ 7.3255814 27.6744186],0
n2,1,0.225818,1.467011,[6 2] ; [18 17],[4.46511628 3.53488372] ; [19.53488372 15.46511628],0
n6,1,0.250432,1.32089,[10 14] ; [36 29],[12.40449438 11.59550562] ; [33.59550562 31.40449438],0
d2,1,0.275953,1.186914,[ 8 17] ; [29 36],[10.27777778 14.72222222] ; [26.72222222 38.27777778],0
r2,1,0.280783,1.163298,[23  2] ; [54 11],[21.38888889  3.61111111] ; [55.61111111  9.38888889],0
a3,1,0.289084,1.12388,[16  9] ; [33 31],[13.76404494 11.23595506] ; [35.23595506 28.76404494],0
r4,1,0.3006,1.071531,[19  6] ; [42 23],[16.94444444  8.05555556] ; [44.05555556 20.94444444],0
s4,1,0.306942,1.043787,[ 5 20] ; [20 45],[ 6.94444444 18.05555556] ; [18.05555556 46.94444444],0
u1,1,0.312145,1.021576,[ 1 24] ; [ 7 58],[ 2.22222222 22.77777778] ; [ 5.77777778 59.22222222],0
v2,1,0.35567,0.853125,[11 13] ; [21 39],[ 9.14285714 14.85714286] ; [22.85714286 37.14285714],0
b4,1,0.383926,0.758093,[16  9] ; [35 30],[14.16666667 10.83333333] ; [36.83333333 28.16666667],0
d5,1,0.406926,0.687764,[17  8] ; [49 15],[18.53932584  6.46067416] ; [47.46067416 16.53932584],0
s3,1,0.431742,0.618132,[10 15] ; [32 33],[11.66666667 13.33333333] ; [30.33333333 34.66666667],0
s7,1,0.493204,0.469528,[ 8 16] ; [15 43],[ 6.73170732 17.26829268] ; [16.26829268 41.73170732],0
n3,1,0.502197,0.450291,[4 4] ; [22 13],[4.8372093 3.1627907] ; [21.1627907 13.8372093],0
b2,1,0.505485,0.443402,[4 8] ; [ 7 23],[3.14285714 8.85714286] ; [ 7.85714286 22.14285714],0
b3,1,0.505485,0.443402,[4 8] ; [ 7 23],[3.14285714 8.85714286] ; [ 7.85714286 22.14285714],0
a4,1,0.505641,0.443077,[ 7 18] ; [23 42],[ 8.33333333 16.66666667] ; [21.66666667 43.33333333],0
p2,1,0.511619,0.430754,[15 10] ; [34 31],[13.61111111 11.38888889] ; [35.38888889 29.61111111],0
s8,1,0.518912,0.416055,[ 5 20] ; [17 47],[ 6.17977528 18.82022472] ; [15.82022472 48.17977528],0
s5,1,0.541451,0.372858,[ 5 20] ; [16 45],[ 6.10465116 18.89534884] ; [14.89534884 46.10465116],0
p10,1,0.563084,0.334393,[13 12] ; [28 34],[11.7816092 13.2183908] ; [29.2183908 32.7816092],0
n5,1,0.617569,0.2493,[ 5 20] ; [16 48],[ 5.8988764 19.1011236] ; [15.1011236 48.8988764],0
s6,1,0.659233,0.194457,[14 11] ; [32 31],[13.06818182 11.93181818] ; [32.93181818 30.06818182],0
r3,1,0.732373,0.116944,[20  5] ; [54 11],[20.55555556  4.44444444] ; [53.44444444 11.55555556],0
d1,1,0.753152,0.098901,[11 14] ; [31 34],[11.66666667 13.33333333] ; [30.33333333 34.66666667],0
u2,1,0.769943,0.085526,[5 4] ; [15 15],[4.61538462 4.38461538] ; [15.38461538 14.61538462],0
s2,1,0.791233,0.070072,[10 15] ; [28 37],[10.55555556 14.44444444] ; [27.44444444 37.55555556],0
p9,1,0.800338,0.063963,[13 12] ; [33 27],[13.52941176 11.47058824] ; [32.47058824 27.52941176],0
d4,1,0.829096,0.046596,[19  6] ; [50 14],[19.38202247  5.61797753] ; [49.61797753 14.38202247],0
p1,1,0.895488,0.017256,[ 2 22] ; [ 6 59],[ 2.15730337 21.84269663] ; [ 5.84269663 59.15730337],0
a1,1,0.89903,0.0161,[ 1 24] ; [ 3 62],[ 1.11111111 23.88888889] ; [ 2.88888889 62.11111111],0
a2,1,0.91618,0.011077,[ 4 21] ; [11 54],[ 4.16666667 20.83333333] ; [10.83333333 54.16666667],0
v1,1,0.923843,0.009138,[ 9 16] ; [22 41],[ 8.80681818 16.19318182] ; [22.19318182 40.80681818],0
a7,1,0.945402,0.00469,[17  8] ; [44 20],[17.13483146  7.86516854] ; [43.86516854 20.13483146],0
a6,1,0.958032,0.002769,[14 11] ; [36 29],[13.88888889 11.11111111] ; [36.11111111 28.88888889],0
s1,1,0.961065,0.002383,[ 2 23] ; [ 5 60],[ 1.94444444 23.05555556] ; [ 5.05555556 59.94444444],0
b5,1,0.977681,0.000783,[17  8] ; [44 21],[16.94444444  8.05555556] ; [44.05555556 20.94444444],0
