Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.2e-05,17.268672,[ 17 116] ; [5 2],[ 20.9 112.1] ; [1.1 5.9],1
p6,1,0.011628,6.366775,[ 14 117] ; [3 4],[ 16.13768116 114.86231884] ; [0.86231884 6.13768116],0
s6,1,0.03038,4.687668,[57 73] ; [6 1],[59.7810219 70.2189781] ; [3.2189781 3.7810219],0
p1,1,0.052462,3.760965,[ 10 123] ; [2 5],[ 11.4 121.6] ; [0.6 6.4],0
s7,1,0.060681,3.51867,[38 88] ; [4 2],[40.09090909 85.90909091] ; [1.90909091 4.09090909],0
s8,1,0.069434,3.296354,[34 98] ; [4 3],[36.08633094 95.91366906] ; [1.91366906 5.08633094],0
p9,1,0.071697,3.243739,[64 62] ; [6 1],[66.31578947 59.68421053] ; [3.68421053 3.31578947],0
p10,1,0.081038,3.04396,[61 69] ; [5 1],[63.08823529 66.91176471] ; [2.91176471 3.08823529],0
a6,1,0.113415,2.505977,[73 59] ; [6 1],[75.02158273 56.97841727] ; [3.97841727 3.02158273],0
b4,1,0.117066,2.45614,[74 59] ; [6 1],[76. 57.] ; [4. 3.],0
a5,1,0.125675,2.345128,[75 58] ; [6 1],[76.95 56.05] ; [4.05 2.95],0
v2,1,0.132519,2.262748,[53 70] ; [1 6],[51.09230769 71.90769231] ; [2.90769231 4.09230769],0
s5,1,0.145993,2.113624,[ 25 101] ; [3 4],[26.52631579 99.47368421] ; [1.47368421 5.52631579],0
v3,1,0.159033,1.983399,[39 85] ; [4 3],[40.70229008 83.29770992] ; [2.29770992 4.70229008],0
n4,1,0.160397,1.970476,[78 54] ; [6 1],[79.76978417 52.23021583] ; [4.23021583 2.76978417],0
v1,1,0.165256,1.925457,[42 90] ; [4 3],[43.68345324 88.31654676] ; [2.31654676 4.68345324],0
d5,1,0.180597,1.792705,[89 43] ; [3 4],[87.36690647 44.63309353] ; [4.63309353 2.36690647],0
b1,1,0.214453,1.541108,[63 70] ; [5 2],[64.6 68.4] ; [3.4 3.6],0
p11,1,0.214453,1.541108,[63 70] ; [5 2],[64.6 68.4] ; [3.4 3.6],0
n6,1,0.219898,1.505039,[83 49] ; [6 1],[84.51798561 47.48201439] ; [4.48201439 2.51798561],0
r3,1,0.245253,1.350146,[101  31] ; [4 3],[99.71223022 32.28776978] ; [5.28776978 1.71223022],0
u3,1,0.264004,1.247637,[27 23] ; [1 3],[25.92592593 24.07407407] ; [2.07407407 1.92592593],0
a3,1,0.275453,1.189388,[83 48] ; [3 4],[81.63768116 49.36231884] ; [4.36231884 2.63768116],0
p4,1,0.297323,1.086163,[ 22 109] ; [2 4],[ 22.94890511 108.05109489] ; [1.05109489 4.94890511],0
a7,1,0.468875,0.524626,[76 56] ; [5 2],[76.92086331 55.07913669] ; [4.07913669 2.92086331],0
b5,1,0.478636,0.50197,[77 56] ; [5 2],[77.9 55.1] ; [4.1 2.9],0
p7,1,0.484005,0.489825,[ 27 100] ; [2 4],[27.69172932 99.30827068] ; [1.30827068 4.69172932],0
s1,1,0.531755,0.391038,[ 10 120] ; [1 6],[ 10.4379562 119.5620438] ; [0.5620438 6.4379562],0
s3,1,0.544163,0.367878,[49 81] ; [3 3],[49.70588235 80.29411765] ; [2.29411765 3.70588235],0
r1,1,0.619953,0.245933,[82 50] ; [5 2],[82.61870504 49.38129496] ; [4.38129496 2.61870504],0
n3,1,0.664558,0.188034,[28 24] ; [2 1],[28.36363636 23.63636364] ; [1.63636364 1.36363636],0
a8,1,0.668026,0.18392,[ 12 116] ; [1 6],[ 12.32592593 115.67407407] ; [0.67407407 6.32592593],0
a2,1,0.698176,0.150376,[ 27 106] ; [1 6],[ 26.6 106.4] ; [1.4 5.6],0
s2,1,0.723241,0.125409,[46 85] ; [2 5],[45.56521739 85.43478261] ; [2.43478261 4.56521739],0
r4,1,0.74383,0.106789,[87 46] ; [5 2],[87.4 45.6] ; [4.6 2.4],0
b2,1,0.774095,0.082382,[28 55] ; [2 3],[28.29545455 54.70454545] ; [1.70454545 3.29545455],0
b3,1,0.774095,0.082382,[28 55] ; [2 3],[28.29545455 54.70454545] ; [1.70454545 3.29545455],0
d1,1,0.815722,0.054313,[63 70] ; [3 4],[62.7 70.3] ; [3.3 3.7],0
d2,1,0.84801,0.036733,[61 70] ; [3 4],[60.75362319 70.24637681] ; [3.24637681 3.75362319],0
a4,1,0.899776,0.015862,[53 78] ; [3 4],[53.15942029 77.84057971] ; [2.84057971 4.15942029],0
u2,1,0.906126,0.013907,[26 23] ; [2 2],[25.88679245 23.11320755] ; [2.11320755 1.88679245],0
r2,1,0.924157,0.009063,[108  20] ; [6 1],[108.08888889  19.91111111] ; [5.91111111 1.08888889],0
d4,1,0.940113,0.005644,[96 36] ; [5 2],[95.91366906 36.08633094] ; [5.08633094 1.91366906],0
d3,1,0.986516,0.000286,[75 57] ; [4 3],[75.02158273 56.97841727] ; [3.97841727 3.02158273],0
